,ID,s_walls,L,b1,t_p,t_w,h_w,alpha_l,h_v,l_v,oo,uu,d4_plate,d3_plate,d2_plate,d1_plate,s_plate,d4_walls,d3_walls,d2_walls,d1_walls,fcc,fsy,fsu_fac,esu,s1,beta1,s2,beta2,h_G,gamma_E,phi_k,q_Gl,b_Bs,Q_k,l_sec,b_sec1_b1,b_sec2_b1,h_S1_3,h_S7_9,mesh_size_factor,b2,b_sec1_b2,b_sec2_b2,ecu,fsu,eta_min_s,x_s,y_s,z_s,Location_s,GP_count_s,eta_min_c,x_c,y_c,z_c,Location_c,GP_count_c,eta_min_shear,x_c_shear,y_c_shear,z_c_shear,Location_c_shear,element_count_shear,eta_min_shear_reduced,x_c_shear_reduced,y_c_shear_reduced,z_c_shear_reduced,Location_c_shear_reduced,element_count_shear_reduced,eta_min_c_stresses,x_c_stresses,y_c_stresses,z_c_stresses,Location_c_stresses
0,0,100.0,5800,9720,1000,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,6.1570601025521645,9642.4013671875,2226.798583984375,-941.1764526367188,eta_1,0,14.797529779071112,9642.4013671875,2226.798583984375,-941.1764526367188,eta_3_top,0,0.5353141877899712,9536.4,178.20000000000005,0.0,bot,27,1.2522405677103028,9536.4,5221.8,0.0,bot,0,7.657609435993352,9642.4013671875,2438.801513671875,-941.1764526367188,eta_y_top_stresses
1,1,128.57142857142858,5800,9720,1000,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,6.143734011515778,9642.4013671875,2226.798583984375,-941.1764526367188,eta_1,0,14.76836025273602,9642.4013671875,2226.798583984375,-941.1764526367188,eta_3_top,0,0.5245046896550137,9536.4,178.20000000000005,0.0,bot,27,1.278141568415084,9536.4,5221.8,0.0,bot,0,7.643069513397051,9642.4013671875,2438.801513671875,-941.1764526367188,eta_y_top_stresses
2,2,157.14285714285714,5800,9720,1000,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,6.135321874801306,9642.4013671875,2226.798583984375,-941.1764526367188,eta_1,0,14.748458581400811,9642.4013671875,2226.798583984375,-941.1764526367188,eta_3_top,0,0.516337002767462,9536.4,178.20000000000005,0.0,bot,27,1.3006346244707891,9536.4,5221.8,0.0,bot,0,7.633137091545282,9642.4013671875,2438.801513671875,-941.1764526367188,eta_y_top_stresses
3,3,185.7142857142857,5800,9720,1000,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,6.131184387633505,9642.4013671875,2226.798583984375,-941.1764526367188,eta_1,0,14.735653452188693,9642.4013671875,2226.798583984375,-941.1764526367188,eta_3_top,0,0.5098010754567205,9536.4,178.20000000000005,0.0,bot,27,1.3205348073517833,9536.4,5221.8,0.0,bot,0,7.626742164332685,9642.4013671875,2438.801513671875,-941.1764526367188,eta_y_top_stresses
4,4,214.28571428571428,5800,9720,1000,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,6.126843243386423,9642.4013671875,2226.798583984375,-941.1764526367188,eta_1,0,14.723484079361729,9642.4013671875,2226.798583984375,-941.1764526367188,eta_3_top,0,0.50431729962443,9536.4,178.20000000000005,0.0,bot,27,1.3387980088762357,9536.4,5221.8,0.0,bot,0,7.620666659573118,9642.4013671875,2438.801513671875,-941.1764526367188,eta_y_top_stresses
5,5,242.8571428571429,5800,9720,1000,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,6.123626185379062,9642.4013671875,2226.798583984375,-941.1764526367188,eta_1,0,14.713522355860125,9642.4013671875,2226.798583984375,-941.1764526367188,eta_3_top,0,0.4995927312969782,9536.4,178.20000000000005,0.0,bot,27,1.35575987668299,9536.4,5221.8,0.0,bot,0,7.61569240773694,9642.4013671875,2438.801513671875,-941.1764526367188,eta_y_top_stresses
6,6,271.42857142857144,5800,9720,1000,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,6.121123893490759,9642.4013671875,2226.798583984375,-941.1764526367188,eta_1,0,14.638493189970724,9642.4013671875,5247.05859375,-3715.376953125,eta_3_bot,0,0.4954473315294009,9536.4,178.20000000000005,0.0,bot,27,1.3715919685809457,9536.4,5221.8,0.0,bot,0,7.578260473923129,9642.4013671875,5247.05859375,-3715.376953125,eta_y_bot_stresses
7,7,300.0,5800,9720,1000,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,6.119094568026736,9642.4013671875,2226.798583984375,-941.1764526367188,eta_1,0,14.3766520589397,9642.4013671875,5247.05859375,-3715.376953125,eta_3_bot,0,0.4917498583834556,9536.4,178.20000000000005,0.0,bot,27,1.386555093815799,9536.4,5221.8,0.0,bot,0,7.447503579991975,9642.4013671875,5247.05859375,-3715.376953125,eta_y_bot_stresses
8,8,328.57142857142856,5800,9720,1000,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,6.117532511519984,9642.4013671875,2226.798583984375,-941.1764526367188,eta_1,0,14.147122285428187,9642.4013671875,5247.05859375,-3715.376953125,eta_3_bot,0,0.4884151678835398,9536.4,178.20000000000005,0.0,bot,27,1.400780387358194,9536.4,5221.8,0.0,bot,0,7.332890371697194,9642.4013671875,5247.05859375,-3715.376953125,eta_y_bot_stresses
9,9,357.1428571428572,5800,9720,1000,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,6.116207094869291,9642.4013671875,2226.798583984375,-941.1764526367188,eta_1,0,13.943363528493212,9642.4013671875,5247.05859375,-3715.376953125,eta_3_bot,0,0.4853597290358306,9536.4,178.20000000000005,0.0,bot,27,1.4144467319536134,9536.4,5221.8,0.0,bot,0,7.231144681237737,9642.4013671875,5247.05859375,-3715.376953125,eta_y_bot_stresses
