,eta_min_s,x_s,y_s,z_s,Location_s,GP_count_s,eta_min_c,x_c,y_c,z_c,Location_c,GP_count_c,eta_min_shear,x_c_shear,y_c_shear,z_c_shear,Location_c_shear,element_count_shear,eta_min_shear_reduced,x_c_shear_reduced,y_c_shear_reduced,z_c_shear_reduced,Location_c_shear_reduced,element_count_shear_reduced,eta_min_c_stresses,x_c_stresses,y_c_stresses,z_c_stresses,Location_c_stresses,ID
0,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,0
0,0.999134152606273,9909.6123046875,3939.299560546875,-349.060302734375,eta_1,210,1.0739620533435639,9751.244140625,3939.299560546875,-349.060302734375,eta_3_top,0,0.15378136539558865,9643.077168591997,0.0,-576.6093436501583,bot,87,0.15378136539558865,9643.077168591997,0.0,-576.6093436501583,bot,54,1.0049688529380802,9751.244140625,4146.5107421875,-349.060302734375,eta_y_top_stresses,1
0,0.9800528640520326,10109.0791015625,205.77723693847656,-595.4346923828125,eta_4,782,0.2197538970925852,10312.9873046875,205.77723693847656,-436.707275390625,eta_3_bot,601,0.009043137435167539,10211.033545411497,7300.0996761095785,-516.0708442854934,bot,206,0.21523971723788696,10211.03354541146,2940.897298089859,0.0,top,45,0.7367439181627696,10312.9873046875,205.77723693847656,-436.707275390625,eta_y_bot_stresses,2
0,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,3
0,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,4
0,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,5
0,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,6
0,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,7
0,1.7908119188518619,11191.7880859375,8201.0576171875,-1187.9989013671875,eta_4,0,7.833733523584768,11191.7880859375,8201.0576171875,-1187.9989013671875,eta_3_bot,0,1.0807710379023798,11006.490742373242,8201.310867822536,0.0,bot,0,1.9763403828763761,11006.490742373206,8481.190142525891,-1000.7249920363241,bot,0,4.183982252694931,11191.7880859375,8201.0576171875,-1187.9989013671875,eta_y_bot_stresses,8
0,1.0705045716325905,12662.8291015625,3930.8076171875,-1022.2843017578125,eta_1,0,7.067576058630062,12435.70703125,3930.8076171875,-1022.2843017578125,eta_3_top,0,0.210755464120184,9466.478959740247,7912.837548744668,0.0,bot,62,0.210755464120184,9466.478959740247,7912.837548744668,0.0,bot,31,3.8052774798200355,12435.70703125,3930.8076171875,-1022.2843017578125,eta_y_top_stresses,9
