,ID,d1_plate,L,b1,t_p,t_w,h_w,alpha_l,h_v,l_v,oo,uu,d4_plate,d3_plate,d2_plate,s_plate,d4_walls,d3_walls,d2_walls,d1_walls,s_walls,fcc,fsy,fsu_fac,esu,ecu,s,beta,h_G,gamma_E,phi_k,q_Gl,b_Bs,Q_k,l_sec,b_sec1_b1,b_sec2_b1,h_S1_3,h_S7_9,mesh_size_factor,b2,b_sec1_b2,b_sec2_b2,fsu,eta_min_s,x_s,y_s,z_s,Location_s,GP_count_s,eta_min_c,x_c,y_c,z_c,Location_c,GP_count_c,eta_min_shear,x_c_shear,y_c_shear,z_c_shear,Location_c_shear,element_count_shear,eta_min_shear_reduced,x_c_shear_reduced,y_c_shear_reduced,z_c_shear_reduced,Location_c_shear_reduced,element_count_shear_reduced,eta_min_c_stresses,x_c_stresses,y_c_stresses,z_c_stresses,Location_c_stresses
0,0,10.0,5000,9720,250,400,2780,90,0,0,30,30,30,30,30,300,30,30,30,30,200,25,390,1.046,0.045,-0.002,0.5,0.0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,407.94,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,
1,1,11.428571428571429,5000,9720,250,400,2780,90,0,0,30,30,30,30,30,300,30,30,30,30,200,25,390,1.046,0.045,-0.002,0.5,0.0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,407.94,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,
2,2,12.857142857142858,5000,9720,250,400,2780,90,0,0,30,30,30,30,30,300,30,30,30,30,200,25,390,1.046,0.045,-0.002,0.5,0.0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,407.94,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,
3,3,14.285714285714285,5000,9720,250,400,2780,90,0,0,30,30,30,30,30,300,30,30,30,30,200,25,390,1.046,0.045,-0.002,0.5,0.0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,407.94,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,
4,4,15.714285714285715,5000,9720,250,400,2780,90,0,0,30,30,30,30,30,300,30,30,30,30,200,25,390,1.046,0.045,-0.002,0.5,0.0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,407.94,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,
5,5,17.142857142857142,5000,9720,250,400,2780,90,0,0,30,30,30,30,30,300,30,30,30,30,200,25,390,1.046,0.045,-0.002,0.5,0.0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,407.94,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,
6,6,18.57142857142857,5000,9720,250,400,2780,90,0,0,30,30,30,30,30,300,30,30,30,30,200,25,390,1.046,0.045,-0.002,0.5,0.0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,407.94,1.024100570072875,4626.208984375,2149.50390625,-196.42857360839844,eta_1,0.0,2.120946236134347,4626.208984375,2149.50390625,-196.42857360839844,eta_3_top,0.0,0.4331853643826971,4811.4,0.0,-479.35,bot,14.0,0.4331853643826971,4811.4,0.0,-479.35,bot,14.0,1.387593943370828,4626.208984375,2450.49609375,-196.42857360839844,eta_y_top_stresses
7,7,20.0,5000,9720,250,400,2780,90,0,0,30,30,30,30,30,300,30,30,30,30,200,25,390,1.046,0.045,-0.002,0.5,0.0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,407.94,1.036502734652693,4626.208984375,2149.50390625,-192.3076934814453,eta_1,0.0,2.3173478526128566,4626.208984375,2149.50390625,-192.3076934814453,eta_3_top,0.0,0.4558912465293042,4811.4,0.0,-479.35,bot,14.0,0.4558912465293042,4811.4,0.0,-479.35,bot,14.0,1.477460889435174,4626.208984375,2450.49609375,-192.3076934814453,eta_y_top_stresses
8,8,21.42857142857143,5000,9720,250,400,2780,90,0,0,30,30,30,30,30,300,30,30,30,30,200,25,390,1.046,0.045,-0.002,0.5,0.0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,407.94,1.1548628832743486,4626.208984375,2149.50390625,-208.3333282470703,eta_1,0.0,2.6118672848132976,4626.208984375,2149.50390625,-208.3333282470703,eta_3_top,0.0,0.5285960997439488,4811.4,0.0,-479.35,bot,10.0,0.5285960997439488,4811.4,0.0,-479.35,bot,10.0,1.615129426563735,4626.208984375,2450.49609375,-208.3333282470703,eta_y_top_stresses
9,9,22.857142857142858,5000,9720,250,400,2780,90,0,0,30,30,30,30,30,300,30,30,30,30,200,25,390,1.046,0.045,-0.002,0.5,0.0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,407.94,1.297460779676431,4626.208984375,2149.50390625,-204.5454559326172,eta_1,0.0,2.9447000966376344,4996.5908203125,2450.49609375,-204.5454559326172,eta_3_top,0.0,0.5510038665537309,4811.4,0.0,-479.35,bot,10.0,0.5510038665537309,4811.4,0.0,-479.35,bot,10.0,1.7734849511707986,4996.5908203125,2149.50390625,-204.5454559326172,eta_y_top_stresses
