,L,b1,t_p,t_w,h_w,d1_plate,d4_plate,d2_plate,s_plate,d1_walls,d4_walls,s_walls,fcc,s,beta,h_G,eta_min_c,eta_min_s,eta_min_shear
8005,7316.767441920156,9858.69352748222,670.1119098082048,296.96010946159055,4578.954788217859,19.123075145543204,23.41440753673521,29.35136502758904,437.5757071611699,14.570059153998397,20.392475295550536,329.74366920781387,26.21613973975552,0.8415175152394327,-0.8993710612039649,763.0835245612288,0.9713496697725216,0.999918312349078,0.2556413715437357
9031,4109.497290077492,10040.817949225637,216.86646082164907,627.3471987350255,2757.955442146627,25.327086160132914,13.85283340934109,28.44523030928781,376.1951916007074,22.440790623850763,14.78586651501343,156.65980703065122,45.467104123357466,0.3573282959235516,-17.68619883440168,480.8884783526004,2.988711904766875,0.9998996862440848,0.4780114383465082
3424,6481.21477417473,19642.42535075486,630.4524527051934,808.7004328665356,3575.0748193653208,20.01854779159035,15.454917786103044,20.99162867857308,235.7756667847304,17.670411750509736,20.88060796663972,159.5396648082324,31.00316849181629,0.5889355422743581,47.46089112620403,300.38136987449815,14.35852192935123,2.190584584764676,2.1000735883760533
1287,4983.830507971253,5045.232703114533,813.2434893267622,281.5925739670017,3852.597076892939,25.990575308020897,13.49055455686465,19.389876560555912,179.93037305768826,10.911357327648654,23.13408047568152,229.05215318693325,49.855574165835336,0.6150930753342375,0.4135774542514241,671.1776796931176,3.8326329505430414,1.029085310001688,0.178854531770628
1280,11350.654319025778,14992.11297170178,915.5168259939944,996.7795735902318,2742.3462270563573,24.76201340005144,25.4042204217616,18.91985442708064,404.1691999879858,16.415384593502015,12.309846243704328,236.9479856805466,39.76184335840689,0.6666404755260037,13.325371423492683,575.3212797343106,7.989915879218341,1.485492377058642,0.9503303115697712
8747,3570.8980896531884,11579.723148869123,479.7551406767156,972.6920856438978,2280.8350410512617,29.94091328276504,15.370063995581845,25.1048971618662,188.6668003936866,23.50361616404161,18.548048748029885,499.8826760139287,46.89050752977482,0.2667344333623481,-32.67405109686221,539.5141174070432,56.31668438404797,8.300856315713864,4.344983283888556
842,5333.366843822455,4345.865486316656,586.572095220033,816.7200317615409,2748.691200102549,25.412858092818595,23.47491437976188,21.852736842618604,255.78749229647173,11.481801443825304,14.480182143511527,476.87062100899385,28.686688680831008,0.5597090719702884,41.69452116607877,1467.1639528449607,14.3171720986359,3.283805972742797,1.9747046069730785
1762,10597.00985838148,16982.257863952407,651.029563332731,712.0131985672421,2075.934118715851,10.366932717541337,28.29312083650813,12.99129020346177,151.37422581829853,12.980724873662153,26.939381434534663,347.0116059111158,45.64928252021191,0.6514143008346758,-48.031675074374576,889.812448692606,5.171001532199286,1.0781473749826207,0.735613065532387
7667,10371.18613488457,18866.43192578011,864.5910360103919,209.33380940163863,2315.86510281246,29.77565607293178,21.9844346287178,22.888293415847947,370.55723310847577,17.243520930448852,11.085252933311374,240.7896122763362,49.25461873042867,0.7261668193090814,-25.20808737105469,1012.2985322393076,1.6783821351567072,0.9994780667778926,0.3996961179022621
1021,7105.651076246772,10751.934403576004,1157.3876589037482,223.0340441052085,3497.393359159382,23.27854247093387,20.70877158336967,14.11667497359334,434.4154536959166,17.226814191352325,27.39273989431346,262.03492017558386,40.61067397391842,0.6951413304795157,-37.509678170279024,1043.4855414804324,2.994854787049473,1.242401828498228,0.0507058583223254
3245,6115.329558980019,13810.701937208378,796.4171033977854,582.5614231927901,3904.417147258234,13.600854822812112,11.581722826734987,18.127015196142537,368.7985640147745,25.4858445583592,18.829241150973125,103.5213101908808,35.63248002329346,0.8046589744164122,-5.064796384704266,1062.8876988760294,14.363783078887389,1.074892556154496,1.8152737794825768
