,ID,d1_plate,L,b1,t_p,t_w,h_w,alpha_l,h_v,l_v,oo,uu,d4_plate,d3_plate,d2_plate,s_plate,d4_walls,d3_walls,d2_walls,d1_walls,s_walls,fcc,fsy,fsu_fac,esu,ecu,s,beta,h_G,gamma_E,phi_k,q_Gl,b_Bs,Q_k,l_sec,b_sec1_b1,b_sec2_b1,h_S1_3,h_S7_9,mesh_size_factor,b2,b_sec1_b2,b_sec2_b2,fsu,eta_min_s,x_s,y_s,z_s,Location_s,GP_count_s,eta_min_c,x_c,y_c,z_c,Location_c,GP_count_c,eta_min_shear,x_c_shear,y_c_shear,z_c_shear,Location_c_shear,element_count_shear,eta_min_shear_reduced,x_c_shear_reduced,y_c_shear_reduced,z_c_shear_reduced,Location_c_shear_reduced,element_count_shear_reduced,eta_min_c_stresses,x_c_stresses,y_c_stresses,z_c_stresses,Location_c_stresses
0,0,10.0,5000,9720,250,400,2780,90,0,0,30,30,30,30,30,300,30,30,30,30,200,25,390,1.046,0.045,-0.002,0.5,0.0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,407.94,0.998949934441124,4740.1728515625,2012.0731201171875,-210.0,eta_1,603.0,0.8164051924906117,4740.1728515625,2141.06982421875,-210.0,eta_3_top,86.0,0.0857835399244602,4811.4,0.0,-364.675,bot,91.0,0.0857835399244602,4811.4,0.0,-364.675,bot,80.0,0.9756210057556122,4740.1728515625,2141.06982421875,-210.0,eta_y_top_stresses
1,1,11.428571428571429,5000,9720,250,400,2780,90,0,0,30,30,30,30,30,300,30,30,30,30,200,25,390,1.046,0.045,-0.002,0.5,0.0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,407.94,0.999117419469677,4740.1728515625,2012.0731201171875,-204.5454559326172,eta_1,399.0,0.9134647313260706,4740.1728515625,2141.06982421875,-204.5454559326172,eta_3_top,59.0,0.0947923222160297,4811.4,0.0,-364.675,bot,88.0,0.0947923222160297,4811.4,0.0,-364.675,bot,79.0,0.9881685173060688,4740.1728515625,2141.06982421875,-204.5454559326172,eta_y_top_stresses
2,2,12.857142857142858,5000,9720,250,400,2780,90,0,0,30,30,30,30,30,300,30,30,30,30,200,25,390,1.046,0.045,-0.002,0.5,0.0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,407.94,0.99942671834245,4740.1728515625,2012.0731201171875,-212.5,eta_1,222.0,1.0627297518903032,4740.1728515625,2012.0731201171875,-212.5,eta_3_top,0.0,0.1154109445057958,4811.4,0.0,-364.675,bot,82.0,0.1154109445057958,4811.4,0.0,-364.675,bot,72.0,1.0034963209605627,4740.1728515625,2141.06982421875,-212.5,eta_y_top_stresses
3,3,14.285714285714285,5000,9720,250,400,2780,90,0,0,30,30,30,30,30,300,30,30,30,30,200,25,390,1.046,0.045,-0.002,0.5,0.0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,407.94,0.999717098876716,4740.1728515625,2012.0731201171875,-208.3333282470703,eta_1,112.0,1.1824863750789991,4740.1728515625,2012.0731201171875,-208.3333282470703,eta_3_top,0.0,0.1313302970406522,4811.4,0.0,-364.675,bot,76.0,0.1313302970406522,4811.4,0.0,-364.675,bot,65.0,1.024397043988064,4740.1728515625,2012.0731201171875,-208.3333282470703,eta_y_top_stresses
4,4,15.714285714285715,5000,9720,250,400,2780,90,0,0,30,30,30,30,30,300,30,30,30,30,200,25,390,1.046,0.045,-0.002,0.5,0.0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,407.94,0.9998274217666584,4740.1728515625,2012.0731201171875,-203.125,eta_1,78.0,1.3693188920898356,4740.1728515625,2012.0731201171875,-203.125,eta_3_top,0.0,0.1479550076043635,4811.4,0.0,-364.675,bot,70.0,0.1479550076043635,4811.4,0.0,-364.675,bot,61.0,1.0784501533446396,4740.1728515625,2012.0731201171875,-203.125,eta_y_top_stresses
5,5,17.142857142857142,5000,9720,250,400,2780,90,0,0,30,30,30,30,30,300,30,30,30,30,200,25,390,1.046,0.045,-0.002,0.5,0.0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,407.94,1.0023022796882777,4740.1728515625,2012.0731201171875,-200.0,eta_1,0.0,1.5029737484127017,4740.1728515625,2012.0731201171875,-200.0,eta_3_top,0.0,0.1619913961278803,4811.4,0.0,-364.675,bot,66.0,0.1619913961278803,4811.4,0.0,-364.675,bot,57.0,1.1261161932251536,4740.1728515625,2012.0731201171875,-200.0,eta_y_top_stresses
6,6,18.57142857142857,5000,9720,250,400,2780,90,0,0,30,30,30,30,30,300,30,30,30,30,200,25,390,1.046,0.045,-0.002,0.5,0.0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,407.94,1.0113623196143036,4740.1728515625,2012.0731201171875,-196.42857360839844,eta_1,0.0,1.6099214256778052,4740.1728515625,2012.0731201171875,-196.42857360839844,eta_3_top,0.0,0.1756626350880416,4811.4,0.0,-364.675,bot,62.0,0.1756626350880416,4811.4,0.0,-364.675,bot,53.0,1.1675813147364906,4740.1728515625,2012.0731201171875,-196.42857360839844,eta_y_top_stresses
7,7,20.0,5000,9720,250,400,2780,90,0,0,30,30,30,30,30,300,30,30,30,30,200,25,390,1.046,0.045,-0.002,0.5,0.0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,407.94,1.0202061085338896,4740.1728515625,2012.0731201171875,-192.3076934814453,eta_1,0.0,1.733850436195887,4740.1728515625,2012.0731201171875,-192.3076934814453,eta_3_top,0.0,0.1869985003851002,4811.4,0.0,-364.675,bot,63.0,0.1869985003851002,4811.4,0.0,-364.675,bot,52.0,1.2182341303683053,4740.1728515625,2012.0731201171875,-192.3076934814453,eta_y_top_stresses
8,8,21.42857142857143,5000,9720,250,400,2780,90,0,0,30,30,30,30,30,300,30,30,30,30,200,25,390,1.046,0.045,-0.002,0.5,0.0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,407.94,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,
9,9,22.857142857142858,5000,9720,250,400,2780,90,0,0,30,30,30,30,30,300,30,30,30,30,200,25,390,1.046,0.045,-0.002,0.5,0.0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,407.94,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,
