,ID,t_p,L,b1,t_w,h_w,d1_plate,d4_plate,d2_plate,s_plate,d1_walls,d4_walls,s_walls,fcc,fsy,fsu_fac,s,beta,ecu,fsu,b2,alpha_l,l_sec,b_sec1_b1,b_sec2_b1,b_sec1_b2,b_sec2_b2,h_S1_3,h_S7_9,h_v,l_v,left_p,right_p,h_b,b_b,esu,h_G,gamma_E,phi_k,q_Gl,b_Bs,Q_k,withMPCs,offsetmodeling,mesh_size_factor,oo,uu,d3_plate,d2_walls,d3_walls,eta_min_s,x_s,y_s,z_s,Location_s,GP_count_s,eta_min_c,x_c,y_c,z_c,Location_c,GP_count_c
10,10,726.3157894736842,5800,9720,400,2580,24,24,12,200,14,24,200,12.8,390,1.08,0.18179012,5,-0.002,421.2000000000001,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,7.024585271346392,225.94854736328125,2506.003662109375,-683.59130859375,eta_1_x,0,6.2799419426278345,225.94854736328125,5247.05859375,-1397.7940673828125,eta_3_bot,0
11,11,778.9473684210526,5800,9720,400,2580,24,24,12,200,14,24,200,12.8,390,1.08,0.18179012,5,-0.002,421.2000000000001,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,7.597826244475038,225.94854736328125,1975.9962158203125,-733.126953125,eta_1_x,0,6.788371953457809,225.94854736328125,5247.05859375,-958.8690185546876,eta_3_bot,0
12,12,831.578947368421,5800,9720,400,2580,24,24,12,200,14,24,200,12.8,390,1.08,0.18179012,5,-0.002,421.2000000000001,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,8.18046994006798,225.94854736328125,1975.9962158203125,-782.6625366210938,eta_1_x,0,7.301073371777588,225.94854736328125,5247.05859375,-1503.0570068359375,eta_3_bot,0
13,13,884.2105263157895,5800,9720,400,2580,24,24,12,200,14,24,200,12.8,390,1.08,0.18179012,5,-0.002,421.2000000000001,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,8.732093635235628,225.94854736328125,1975.9962158203125,-832.1981201171875,eta_1_x,0,7.791060657587759,225.94854736328125,5247.05859375,-1064.1329345703125,eta_3_bot,0
14,14,936.8421052631578,5800,9720,400,2580,24,24,12,200,14,24,200,12.8,390,1.08,0.18179012,5,-0.002,421.2000000000001,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,9.315886499828975,225.94854736328125,1975.9962158203125,-881.7337646484375,eta_1_x,0,8.319412263430046,225.94854736328125,5247.05859375,-1608.320068359375,eta_3_bot,0
15,15,989.4736842105262,5800,9720,400,2580,24,24,12,200,14,24,200,12.8,390,1.08,0.18179012,5,-0.002,421.2000000000001,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,9.887851507210488,225.94854736328125,2506.003662109375,-931.2693481445312,eta_1_x,0,8.836556817647736,225.94854736328125,5247.05859375,-1660.9520263671875,eta_3_bot,0
16,16,1042.1052631578946,5800,9720,400,2580,24,24,12,200,14,24,200,12.8,390,1.08,0.18179012,5,-0.002,421.2000000000001,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,9.64939938082268,225.94854736328125,2506.003662109375,-980.804931640625,eta_1_x,0,10.103478630656529,225.94854736328125,5247.05859375,-1713.5830078125,eta_3_bot,0
17,17,1094.7368421052631,5800,9720,400,2580,24,24,12,200,14,24,200,12.8,390,1.08,0.18179012,5,-0.002,421.2000000000001,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,10.38510410927157,225.94854736328125,2506.003662109375,-1030.340576171875,eta_1_x,0,10.410045093774436,225.94854736328125,5247.05859375,-1766.2149658203125,eta_3_bot,0
18,18,1147.3684210526317,5800,9720,400,2580,24,24,12,200,14,24,200,12.8,390,1.08,0.18179012,5,-0.002,421.2000000000001,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,11.100110410834873,225.94854736328125,2506.003662109375,-1079.876220703125,eta_1_x,0,10.7551331205923,225.94854736328125,5247.05859375,-1327.2900390625,eta_3_bot,0
19,19,1200.0,5800,9720,400,2580,24,24,12,200,14,24,200,12.8,390,1.08,0.18179012,5,-0.002,421.2000000000001,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,11.78801767681026,225.94854736328125,2506.003662109375,-1129.4117431640625,eta_1_x,0,11.156891200162354,225.94854736328125,5247.05859375,-1379.9219970703125,eta_3_bot,0
