,eta_min_s,x_s,y_s,z_s,Location_s,GP_count_s,eta_min_c,x_c,y_c,z_c,Location_c,GP_count_c,eta_min_shear,x_c_shear,y_c_shear,z_c_shear,Location_c_shear,element_count_shear,eta_min_shear_reduced,x_c_shear_reduced,y_c_shear_reduced,z_c_shear_reduced,Location_c_shear_reduced,element_count_shear_reduced,eta_min_c_stresses,x_c_stresses,y_c_stresses,z_c_stresses,Location_c_stresses,ID
0,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,0
0,1.0254107770749024,10224.07421875,3946.073974609375,-349.060302734375,eta_1,0,2.799100172704818,9661.6044921875,3946.073974609375,-349.060302734375,eta_3_top,0,0.8623873155569993,9942.839110289944,8444.710897785853,-756.0121232966587,bot,8,0.8623873155569993,9942.839110289944,8444.710897785853,-756.0121232966587,bot,7,1.7039685613918665,9661.6044921875,4498.63671875,-349.060302734375,eta_y_top_stresses,1
0,0.9991707695431019,10201.0341796875,205.77723693847656,-1029.086181640625,eta_4,44,1.475395208742101,10201.0341796875,3888.883544921875,-331.28265380859375,eta_3_top,0,0.13510795316013324,9946.149155372845,0.0,-790.9950364176079,bot,18,0.13510795316013324,9946.149155372845,0.0,-790.9950364176079,bot,14,1.1160691953565762,10201.0341796875,3411.21630859375,-331.28265380859375,eta_y_top_stresses,2
0,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,3
0,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,4
0,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,5
0,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,6
0,0.9945112502536683,10478.4296875,2833.824951171875,-166.78671264648438,eta_1,291,0.13020015010569785,9889.7392578125,2833.824951171875,-166.78671264648438,eta_3_top,333,0.02401876726100796,11825.750557583619,0.0,-2007.991772688104,top,150,0.02401876726100796,11825.750557583619,0.0,-2007.991772688104,top,105,0.598859601067412,9889.7392578125,3155.029052734375,-166.78671264648438,eta_y_top_stresses,7
0,2.2751853275393215,10920.494140625,8201.0576171875,-950.5452880859375,eta_4,0,9.629919560551699,10920.494140625,8201.0576171875,-1699.6417236328125,eta_3_bot,0,1.6557864631223038,10364.602774550445,7781.491955767504,0.0,bot,0,1.6557864631223038,10364.602774550445,7781.491955767504,0.0,bot,0,5.078811041217748,10920.494140625,8201.0576171875,-1699.6417236328125,eta_y_bot_stresses,8
0,1.5779542329803466,12640.0078125,3797.464599609375,-1022.2843017578125,eta_1,0,10.165535397471468,12640.0078125,2994.319580078125,-1022.2843017578125,eta_3_top,0,1.0926959934579097,13691.188578136724,675.0869677057242,0.0,bot,0,1.0926959934579097,13691.188578136724,675.0869677057242,0.0,bot,0,5.363173319605272,12640.0078125,2994.319580078125,-1022.2843017578125,eta_y_top_stresses,9
0,1.0742646951750037,6264.1171875,10018.337890625,-201.8699188232422,eta_4,0,1.3858746661230683,6264.1171875,9631.1884765625,-201.8699188232422,eta_3_bot,0,0.354029474605169,5780.384353595152,9824.763679124148,0.0,bot,38,0.354029474605169,5780.384353595152,9824.763679124148,0.0,bot,27,1.0846510038292008,6264.1171875,9631.1884765625,-201.8699188232422,eta_y_bot_stresses,10
0,1.0298310975319802,9234.79296875,176.11117553710938,-310.7090759277344,eta_4,0,4.6824585967548655,9234.79296875,1848.1817626953125,-310.7090759277344,eta_3_top,0,0.9806874268261874,8931.464844987604,416.6833765119776,0.0,bot,1,1.6211768316881292,9982.225414986147,4634.0242175726,0.0,bot,0,2.6214227379340604,9234.79296875,2343.90625,-310.7090759277344,eta_y_top_stresses,11
0,0.9983054899924335,3796.72314453125,3478.862548828125,-230.38140869140625,eta_1,31,0.5767165465601114,3796.72314453125,3051.557373046875,-230.38140869140625,eta_3_top,46,0.14719996451097303,3603.456229548078,6171.246606813251,0.0,bot,28,0.14719996451097303,3603.456229548078,6171.246606813251,0.0,bot,9,0.9295490407130975,3796.72314453125,3478.862548828125,-230.38140869140625,eta_y_top_stresses,12
0,1.3108160227224246,7689.89501953125,143.57081604003906,-1329.5572509765625,eta_4,0,10.397236894494778,8168.65283203125,7019.58837890625,-863.1148071289062,eta_3_bot,0,2.5136021919586033,7362.897192929344,0.0,-1096.3357710803723,bot,0,2.5136021919586033,7362.897192929344,0.0,-1096.3357710803723,bot,0,5.462397920724505,8168.65283203125,7019.58837890625,-863.1148071289062,eta_y_bot_stresses,13
0,1.050439064713427,8825.619140625,9335.0888671875,-1259.2720947265625,eta_4,0,5.824623319453695,8825.619140625,290.0461730957031,-1259.2720947265625,eta_3_bot,0,0.8862524668521413,8376.363667742347,0.0,-1057.4965317606975,bot,2,0.8862524668521413,8376.363667742347,0.0,-1057.4965317606975,bot,2,3.1864051678704133,8825.619140625,290.0461730957031,-1259.2720947265625,eta_y_bot_stresses,14
0,19.80877057516223,12919.6240234375,122.66542053222656,-930.0219116210938,eta_4,0,100.33209414783092,12919.6240234375,1309.4044189453125,-4132.39453125,eta_3_bot,0,9.691390504397544,12261.969477708006,1758.9678295146496,-3809.3417601233978,bot,0,24.01509365625619,12261.969477708006,1758.9678295146496,-1537.258274880758,top,0,50.446353266490384,12919.6240234375,1309.4044189453125,-4132.39453125,eta_y_bot_stresses,15
0,5.238275294724295,3845.973876953125,5404.16015625,-1129.1494140625,eta_4,0,61.8858201400389,3110.894287109375,2371.20166015625,-876.6182861328125,eta_3_top,0,6.551333619992513,2608.8253201136476,973.6166620801284,0.0,bot,0,7.324902629996462,2608.8253201136476,4927.090380829741,0.0,bot,0,31.209990937254283,3110.894287109375,2371.20166015625,-876.6182861328125,eta_y_top_stresses,16
0,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,17
0,4.2336963218355175,6106.15576171875,2293.75048828125,-3603.16357421875,eta_1,0,45.86807969906519,3401.06640625,375.3594970703125,-2732.307373046875,eta_3_top,0,6.26168588136166,2852.1666137955795,0.0,-4653.9199915424615,bot,0,10.982673100565819,4753.611022992633,0.0,-1681.5503277352657,top,0,23.25872552013663,3401.06640625,375.3594970703125,-2732.307373046875,eta_y_top_stresses,18
0,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,19
0,0.9995953890583463,8894.4638671875,4874.1962890625,-1065.2528076171875,eta_1,24,2.571731601986925,6420.5419921875,5556.72265625,-1065.2528076171875,eta_3_top,0,0.1145454572516049,5327.961296764554,9857.218006092897,0.0,bot,12,0.1145454572516049,5327.961296764554,9857.218006092897,0.0,bot,12,1.5962628382810962,6420.5419921875,4874.1962890625,-1065.2528076171875,eta_y_top_stresses,20
0,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,21
0,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,22
0,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,23
0,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,24
0,2.6139495753735615,7896.43994140625,2442.9833984375,-569.0795288085938,eta_1,0,15.5103085509578,7896.43994140625,3098.24755859375,-569.0795288085938,eta_3_top,0,2.7361348821732903,7420.419995990822,550.7849438616552,0.0,bot,0,2.8185348406083475,10743.36901776449,6125.396193855378,0.0,bot,0,8.015369130276623,7896.43994140625,3098.24755859375,-569.0795288085938,eta_y_top_stresses,25
0,3.7199102281212055,6896.9912109375,2097.7392578125,-609.2810668945312,eta_1,0,9.520981890045677,6896.9912109375,2660.400634765625,-609.2810668945312,eta_3_top,0,1.7131475770003757,5587.754580399495,472.94762827816174,0.0,bot,0,1.7131475770003757,5587.754580399495,472.94762827816174,0.0,bot,0,5.046651872488762,6896.9912109375,2660.400634765625,-609.2810668945312,eta_y_top_stresses,26
0,1.3870564717138705,16311.1142578125,4157.8994140625,-880.0840454101562,eta_4,0,6.648116236889896,16311.1142578125,4157.8994140625,-523.657958984375,eta_3_bot,0,1.7229126299186073,15279.56736692298,0.0,-3826.025539401994,bot,0,1.9555619799509558,15279.56736692298,0.0,-701.8708836964388,bot,0,3.5971405740883537,16311.1142578125,4157.8994140625,-523.657958984375,eta_y_bot_stresses,27
0,1.2963639242573102,14227.5205078125,7194.55224609375,-733.3661499023438,eta_1,0,6.226289542245542,14227.5205078125,9869.99609375,-733.3661499023438,eta_3_bot,0,0.8928618225151576,13750.623867893308,10410.446762955075,0.0,bot,1,0.8928618225151576,13750.623867893308,10410.446762955075,0.0,bot,1,3.395237188106031,14227.5205078125,9869.99609375,-733.3661499023438,eta_y_bot_stresses,28
0,0.9951571373108182,231.12347412109375,4904.3525390625,-426.2706604003906,eta_1,183,0.3631845972704546,1956.251708984375,5591.10205078125,-426.2706604003906,eta_3_top,98,0.021364243745837706,546.8437834558575,10495.454384321609,-2383.3513518658656,top,93,0.040832931108545766,546.8437834558576,9918.20439318392,0.0,bot,19,0.8529888180921195,1956.251708984375,4904.3525390625,-426.2706604003906,eta_y_top_stresses,29
0,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,30
0,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,31
0,1.4043744996493983,1203.40966796875,10575.6669921875,-3668.54931640625,eta_1,0,4.847169920062703,115.00362396240234,128.1544189453125,-4269.24365234375,eta_3_bot,0,0.39220298429399925,272.1014298983496,10262.288176579777,0.0,bot,6,0.39220298429399925,272.1014298983496,10262.288176579777,0.0,bot,6,2.702339829694061,115.00362396240234,128.1544189453125,-4269.24365234375,eta_y_bot_stresses,32
0,32.76110343754833,7967.2421875,360.74237060546875,-484.64892578125,eta_4,0,103.88355299120056,7967.2421875,360.74237060546875,-484.64892578125,eta_3_bot,0,10.202955115717122,7561.6813171847425,1386.0690326951005,-2953.95874840175,bot,0,20.925867275973253,7561.681317184742,0.0,-1007.1634958098643,top,0,52.21162967038252,7967.2421875,360.74237060546875,-484.64892578125,eta_y_bot_stresses,33
0,1.0401406324161038,1589.374755859375,420.76763916015625,-160.14524841308594,eta_4,0,1.0253515128705275,1589.374755859375,420.76763916015625,-160.14524841308594,eta_3_bot,0,0.2969931349330367,1994.7862254914976,7816.760897688696,0.0,bot,38,0.2969931349330367,1994.7862254914976,7816.760897688696,0.0,bot,14,1.0051643610335157,2400.1982421875,420.76763916015625,-160.14524841308594,eta_y_bot_stresses,34
0,6.363455857890042,260.1142883300781,283.65386962890625,-4929.2255859375,eta_4,0,40.933387053452,970.7597045898438,283.65386962890625,-3541.811279296875,eta_3_top,0,4.7820662051063705,615.4368971189275,0.0,-4531.261774607225,bot,0,9.820387022533533,4308.058279832492,1821.6085638318157,-1732.3143442595272,bot,0,20.72321280048363,970.7597045898438,283.65386962890625,-3541.811279296875,eta_y_top_stresses,35
0,1.0257923192847123,1576.6531982421875,2467.79638671875,-579.9071655273438,eta_1,0,5.061184063600537,1576.6531982421875,235.15342712402344,-579.9071655273438,eta_3_bot,0,0.8661347472242261,1952.3913563086164,556.3792071397005,0.0,bot,3,1.0420008549085351,1952.3913563086164,6187.611182432425,0.0,bot,0,2.8079972130444677,1576.6531982421875,235.15342712402344,-579.9071655273438,eta_y_bot_stresses,36
0,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,37
0,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,38
0,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,39
0,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,40
0,0.976883706724886,15242.494140625,4643.91162109375,-343.8505859375,eta_1,470,0.12395745920772831,11036.08984375,4643.91162109375,-343.8505859375,eta_3_top,242,0.009690302619147136,14938.923140028714,8237.958208168331,0.0,bot,82,0.009690302619147136,14938.923140028714,8237.958208168331,0.0,bot,38,0.5853458382613838,11036.08984375,4643.91162109375,-343.8505859375,eta_y_top_stresses,41
0,1.0170217901413823,344.14910888671875,274.3123474121094,-1992.2867431640625,eta_4,0,3.5562552810430796,344.14910888671875,9809.6767578125,-1090.5372314453125,eta_3_bot,0,0.56813275584492,814.2655193932337,10083.989423906332,-1541.4119327311214,bot,4,0.56813275584492,814.2655193932337,10083.989423906332,-1541.4119327311214,bot,4,2.071649416103303,344.14910888671875,9809.6767578125,-1090.5372314453125,eta_y_bot_stresses,42
0,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,43
0,1.0204104607966438,6265.71337890625,11187.953125,-296.7178955078125,eta_4,0,1.2109411540145614,7274.46923828125,5897.7646484375,-296.7178955078125,eta_3_top,0,0.1770898611426896,5548.159534761514,10916.775831917475,0.0,bot,64,0.1770898611426896,5548.159534761514,10916.775831917475,0.0,bot,14,1.036730719655441,7274.46923828125,6456.55322265625,-296.7178955078125,eta_y_top_stresses,44
0,6.089780073450846,328.3525695800781,887.9140014648438,-506.6183776855469,eta_1,0,96.55503089210197,1882.133544921875,887.9140014648438,-506.6183776855469,eta_3_top,0,7.878380348929858,2330.671807938641,1844.9851395940009,0.0,bot,0,7.878380348929858,2330.671807938641,1844.9851395940009,0.0,bot,0,48.56605348986238,1225.428466796875,887.9140014648438,-506.6183776855469,eta_y_top_stresses,45
0,0.9998469281257972,16099.03515625,294.55029296875,-473.46337890625,eta_4,10,2.3432874273283817,16099.03515625,3920.242919921875,-473.46337890625,eta_3_top,0,0.21793252033093585,15696.780941577112,696.9136263095207,0.0,bot,7,0.21793252033093585,15696.780941577112,696.9136263095207,0.0,bot,5,1.4963172461215872,16099.03515625,3920.242919921875,-473.46337890625,eta_y_top_stresses,46
0,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,47
0,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,48
0,1.9223100057026943,5412.89794921875,2062.90576171875,-455.1960144042969,eta_1,0,7.6898862718482786,5412.89794921875,2616.224365234375,-455.1960144042969,eta_3_top,0,1.3126336792893756,5137.362538647335,465.0942833761399,0.0,bot,0,1.5990535638180838,5137.362538647334,5172.412181789192,0.0,bot,0,4.112351368175029,5412.89794921875,2616.224365234375,-455.1960144042969,eta_y_top_stresses,49
