,ID,fcc,L,b1,t_p,t_w,h_w,alpha_l,h_v,l_v,oo,uu,d4_plate,d3_plate,d2_plate,d1_plate,s_plate,d4_walls,d3_walls,d2_walls,d1_walls,s_walls,fsy,fsu_fac,esu,ecu,s,beta,h_G,gamma_E,phi_k,q_Gl,b_Bs,Q_k,l_sec,b_sec1_b1,b_sec2_b1,h_S1_3,h_S7_9,mesh_size_factor,b2,b_sec1_b2,b_sec2_b2,fsu,eta_min_s,x_s,y_s,z_s,Location_s,GP_count_s,eta_min_c,x_c,y_c,z_c,Location_c,GP_count_c,eta_min_shear,x_c_shear,y_c_shear,z_c_shear,Location_c_shear,element_count_shear,eta_min_shear_reduced,x_c_shear_reduced,y_c_shear_reduced,z_c_shear_reduced,Location_c_shear_reduced,element_count_shear_reduced,eta_min_c_stresses,x_c_stresses,y_c_stresses,z_c_stresses,Location_c_stresses
0,0,25.0,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,390,1.046,0.045,-0.002,0.5,0.0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,407.94,1.0373779056761163,4708.51611328125,75.3161849975586,-352.941162109375,eta_4,0,5.093258535979417,4708.51611328125,75.3161849975586,-352.941162109375,eta_3_bot,0,0.7624716405945297,4811.400000000001,178.20000000000005,0.0,bot,7,1.312648970034846,4811.400000000001,5221.8,0.0,bot,0,2.823867564506901,4708.51611328125,75.3161849975586,-352.941162109375,eta_y_bot_stresses
1,1,26.785714285714285,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,390,1.046,0.045,-0.002,0.5,0.0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,407.94,1.03782311218472,4708.51611328125,75.3161849975586,-352.941162109375,eta_4,0,5.195668202344087,4708.51611328125,75.3161849975586,-352.941162109375,eta_3_bot,0,0.7697710303813963,4811.400000000001,178.20000000000005,0.0,bot,7,1.3236103781303343,4811.400000000001,5221.8,0.0,bot,0,2.8744795284527784,4708.51611328125,75.3161849975586,-352.941162109375,eta_y_bot_stresses
2,2,28.571428571428573,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,390,1.046,0.045,-0.002,0.5,0.0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,407.94,1.038656670573143,4708.51611328125,75.3161849975586,-352.941162109375,eta_4,0,5.398249776688134,4708.51611328125,75.3161849975586,-352.941162109375,eta_3_bot,0,0.7835759607734167,4811.400000000001,178.20000000000005,0.0,bot,7,1.3447856765532769,4811.400000000001,5221.8,0.0,bot,0,2.9746706094845123,4708.51611328125,75.3161849975586,-352.941162109375,eta_y_bot_stresses
3,3,30.357142857142858,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,390,1.046,0.045,-0.002,0.5,0.0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,407.94,1.0395249507560351,4708.51611328125,75.3161849975586,-352.941162109375,eta_4,0,5.598274683328884,4708.51611328125,75.3161849975586,-352.941162109375,eta_3_bot,0,0.7966699637903952,4811.400000000001,178.20000000000005,0.0,bot,7,1.3654030086139235,4811.400000000001,5221.8,0.0,bot,0,3.073683383663538,4708.51611328125,75.3161849975586,-352.941162109375,eta_y_bot_stresses
4,4,32.142857142857146,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,390,1.046,0.045,-0.002,0.5,0.0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,407.94,1.0403291903716294,4708.51611328125,75.3161849975586,-352.941162109375,eta_4,0,5.79545666606564,4708.51611328125,75.3161849975586,-352.941162109375,eta_3_bot,0,0.809061538764451,4811.400000000001,178.20000000000005,0.0,bot,7,1.38561660477117,4811.400000000001,5221.8,0.0,bot,0,3.1713624054841048,4708.51611328125,75.3161849975586,-352.941162109375,eta_y_bot_stresses
5,5,33.92857142857143,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,390,1.046,0.045,-0.002,0.5,0.0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,407.94,1.040727147813627,4708.51611328125,75.3161849975586,-352.941162109375,eta_4,0,5.893234626275863,4708.51611328125,75.3161849975586,-352.941162109375,eta_3_bot,0,0.8150623833777878,4811.400000000001,178.20000000000005,0.0,bot,7,1.3955741481673265,4811.400000000001,5221.8,0.0,bot,0,3.219823989721309,4708.51611328125,75.3161849975586,-352.941162109375,eta_y_bot_stresses
6,6,35.714285714285715,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,390,1.046,0.045,-0.002,0.5,0.0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,407.94,1.0416224052237577,4708.51611328125,75.3161849975586,-352.941162109375,eta_4,0,6.086226215733387,4708.51611328125,75.3161849975586,-352.941162109375,eta_3_bot,0,0.8267974522331485,4811.400000000001,178.20000000000005,0.0,bot,7,1.4152358016756763,4811.400000000001,5221.8,0.0,bot,0,3.3155195470694188,4708.51611328125,75.3161849975586,-352.941162109375,eta_y_bot_stresses
7,7,37.5,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,390,1.046,0.045,-0.002,0.5,0.0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,407.94,1.0427705096969715,4708.51611328125,75.3161849975586,-352.941162109375,eta_4,0,6.276736088456619,4708.51611328125,75.3161849975586,-352.941162109375,eta_3_bot,0,0.8382731296349926,4811.400000000001,178.20000000000005,0.0,bot,7,1.434554446398748,4811.400000000001,5221.8,0.0,bot,0,3.41003752192278,4708.51611328125,75.3161849975586,-352.941162109375,eta_y_bot_stresses
8,8,39.285714285714285,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,390,1.046,0.045,-0.002,0.5,0.0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,407.94,1.0457203765998964,4708.51611328125,75.3161849975586,-352.941162109375,eta_4,0,6.46526200466797,4708.51611328125,75.3161849975586,-352.941162109375,eta_3_bot,0,0.8495418734791708,4811.400000000001,178.20000000000005,0.0,bot,7,1.4535559589064364,4811.400000000001,5221.8,0.0,bot,0,3.503617580469568,4708.51611328125,75.3161849975586,-352.941162109375,eta_y_bot_stresses
9,9,41.07142857142857,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,390,1.046,0.045,-0.002,0.5,0.0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,407.94,1.0496141638274947,4708.51611328125,75.3161849975586,-352.941162109375,eta_4,0,6.651627157584752,4708.51611328125,75.3161849975586,-352.941162109375,eta_3_bot,0,0.8605979258434477,4811.400000000001,178.20000000000005,0.0,bot,5,1.4721862175915248,4811.400000000001,5221.8,0.0,bot,0,3.596166151750737,4708.51611328125,75.3161849975586,-352.941162109375,eta_y_bot_stresses
