,L,b1,t_p,t_w,h_w,d1_plate,d4_plate,d2_plate,s_plate,d1_walls,d4_walls,s_walls,fcc,s,beta,h_G,eta_min_c,eta_min_s,eta_min_shear
19,7705.961776949261,9326.279654890668,342.99927356796275,390.2695164602312,4142.77844884933,28.66280581870676,17.188142719693754,27.35781496664734,310.10428328339094,30.07113088617191,22.85646946736777,215.1653587210286,26.93214620896605,0.6981306243112938,10.227625522831367,1313.1837963427045,0.4906822552864989,0.99597791876681,0.0222827764356877
20,15679.395501689614,12617.062043067624,667.5516557537152,617.3072312968881,2055.98731189646,26.62679572310994,20.26496489461071,16.733452958342532,284.5407437920863,27.70772901437258,16.805868820510174,170.21933296408434,40.12320266779661,0.7490191525628518,18.053875416859974,548.2789998930313,1.019284268562447,0.9978610331981448,0.0238738055930694
21,10182.879849508648,6437.780411358476,755.65592774499,1101.6929327478458,4195.681943836762,24.853962624449835,19.45466198999364,16.617917766683316,402.7233286077597,19.8076670446222,17.187511124081123,499.25500737447584,26.015935242598424,0.4501566406253364,4.6810503566536426,974.53878187542,4.311352050549106,1.0392367129080224,0.4707746361185679
22,12786.041581006406,10214.19501113407,863.5577025586283,543.2664719848954,4329.7363065079,22.75312355237192,24.47239278847541,28.038944227535136,126.0677574154596,20.932701613571403,12.114623318113177,338.9360773581159,40.24143227268304,0.6360266669513356,22.06344241372873,1114.6837760030028,1.6736160107236937,0.9990452989464252,0.1546390911493984
23,6454.631739056173,5010.160462967976,476.2903389967056,202.8872995248552,2563.746705822772,18.34113794445154,29.62500998602859,27.87041656533264,321.8056704873058,12.393769050106863,20.946866641999456,448.9133186241447,35.24950058657183,0.8200673568773326,8.671415528579287,537.4764824308774,0.4922879605047944,0.9983991255114548,0.167562382820557
24,5988.214985872868,5311.21003860866,366.5738584741748,145.1773244063625,3560.6126526489165,21.963967169103547,18.495850514185523,9.642542641270104,363.5666040432333,16.69041252515547,28.04596686881602,97.93416716778614,26.671543876371924,0.3963016214252142,-36.43714438233167,439.8313098884292,0.6651713175324387,0.9983342434760282,0.0518856966632603
25,10640.32634642636,10843.842160164852,490.11512503975007,667.0498959349947,4465.207348608237,29.50710874006965,25.26438951368777,13.021423882180212,294.7015708108436,11.68153605842232,20.349473094826795,159.99959653477794,49.82219990370998,0.738612924925818,-32.08013716793758,1312.9931721938883,2.612586800587852,1.0246216788600804,0.2141875977559937
26,8909.20181405833,7140.797888212946,591.483492409927,1005.7441504387544,5012.342596660997,11.10128290327966,15.148024465619631,15.376729904913164,230.42852443863748,24.573215794766043,25.8274056844636,386.8850435501183,29.93128148106004,0.5579439412726822,20.81854864064729,1554.8383656757633,0.4759067778505648,0.993532863405983,0.0188453903102757
27,14317.642561261817,3686.094316401002,765.2577378226821,987.4802341530996,1880.1604039977324,24.04265378014403,16.79312203658578,21.77932845388609,228.3928048550482,16.393876948950375,27.7026371582978,286.3289938235889,43.90389655624371,0.3550897032640975,37.60896281093504,1112.388483213032,3.44457079659414,1.0187043555424802,0.273789673426389
28,12967.03910056722,12313.520585399188,711.8299583237679,601.9901844649625,2296.149194511758,23.17209673152733,27.241532506248124,26.755721888186,217.2851801280328,18.798116913916385,27.075365644745304,125.68257294100428,43.45766304380935,0.5002205910118234,29.198043297405327,1396.770235883558,2.664164356931269,1.0540880643468211,0.215678339987896
29,14015.136093765264,17339.370896120065,982.043639667848,731.6246812586319,3250.0870270739706,19.26331072143928,19.275896796537303,27.65730089699432,419.3647153039655,10.08265173072881,19.428695021472056,260.7974815995853,29.41955052072254,0.4065540825473442,14.134120638604868,236.82520454910508,0.0,0.0,0.0
30,4773.205698407979,7542.858002750623,217.51927846241412,935.6097408713176,2658.90305008408,17.06343760145863,28.38040121299638,27.83025624881145,475.765471529253,24.93530234872834,13.843826485254684,167.190166599642,39.1790799364152,0.2533770172905168,-35.95399949332851,695.3641466194877,1.5709977689467158,1.003266812155683,0.3963867507033109
31,7712.849787603101,15203.824801488336,581.078220601645,253.60763407930835,3245.289241259013,17.970360520710493,29.745722172488065,27.25179837423917,418.3722901019809,29.81764671353569,22.249069961029,373.7937784903153,40.455457063721,0.7756688936343283,-14.42432076174413,993.4958574739304,0.8554781284744727,0.9984436374416364,0.1751050013798961
32,4583.070426481785,14908.294094003944,227.81701004539937,354.93173120407664,3172.6026103839777,16.517335342360404,28.163997697384765,26.3580147169482,380.9024598655101,28.25264548921654,19.97636310921068,392.0971402155066,41.49084646363541,0.5300941816366409,39.7605661287988,593.7148256039018,0.0,0.0,0.0
33,6702.510596935051,4822.943031183153,385.7930851705081,447.973997487445,2336.8235422459493,13.21597282417608,19.980595182470008,20.61291386792041,259.9624211798616,19.42644630421824,16.803763165650352,244.50891839928624,40.38445286554112,0.2709445711456652,41.3901292308373,853.090042139953,1.214728703621475,0.9988608405972575,0.0905363926743825
34,17606.38315318379,19025.59419296198,983.9544959744492,630.3182129281403,3455.8284885425323,29.285242131278924,22.817108286511505,24.696376280595125,318.2016161380589,29.83832355128163,23.09675745476937,284.0889013731733,31.77148506847216,0.3990186129808621,-24.498966976232342,665.7305804649504,0.8615890824698487,0.9954761932423386,0.0112311009059395
35,12716.523095834817,18820.19700645436,1050.7307547865876,491.1189063211567,3039.5832533031844,19.31633348716124,27.49337179035745,27.9835718209267,266.76733663096127,13.857887128889384,22.777447746778364,195.2439652056133,42.96071724202036,0.8676469214726552,43.232169109792906,1493.3896518893264,3.270784189617066,1.1128637211180614,0.6389476783421693
36,10396.165579804856,16053.609613678773,773.1149626627582,341.6810684942456,4627.063099015047,15.60025310832206,19.025705953813937,22.89376752556277,354.45391848706856,23.275764354598056,26.81134745482471,123.46213849542488,34.46584762769751,0.703973189031309,41.15296088612644,1015.323259402494,1.2910914152288324,0.9955164218779214,0.015768270791202
37,10679.133602533984,19474.471215696645,733.3658338087217,421.1077270838903,4645.285488947282,18.865544096024777,9.979118927239048,19.48945310912456,408.7756538922436,23.00317459196088,22.657750633232656,461.7711220795355,41.69351786334727,0.1861822074254399,-27.343037739490875,748.1185062319519,0.0,0.0,0.0
