,ID,L,b1,t_p,t_w,h_w,d1_plate,d4_plate,d2_plate,s_plate,d1_walls,d4_walls,s_walls,fcc,fsy,fsu_fac,s,beta,ecu,fsu,b2,alpha_l,l_sec,b_sec1_b1,b_sec2_b1,b_sec1_b2,b_sec2_b2,h_S1_3,h_S7_9,h_v,l_v,left_p,right_p,h_b,b_b,esu,h_G,gamma_E,phi_k,q_Gl,b_Bs,Q_k,withMPCs,offsetmodeling,mesh_size_factor,oo,uu,d3_plate,d2_walls,d3_walls,eta_min_s,x_s,y_s,z_s,Location_s,GP_count_s,eta_min_c,x_c,y_c,z_c,Location_c,GP_count_c
0,0,2000.0,9720,700,700,2580,30,30,20,200,30,30,200,12.8,390,1.08,0.18179012,5,-0.002,421.2000000000001,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,1,30,30,12,12,12,32.243557969836615,505.9508666992188,302.5423583984375,-3190.0390625,eta_4_x,0,34.71901288325422,135.56912231445312,302.5423583984375,-3190.0390625,eta_3_bot,0
1,1,2842.1052631578946,9720,700,700,2580,30,30,20,200,30,30,200,12.8,390,1.08,0.18179012,5,-0.002,421.2000000000001,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,1,30,30,12,12,12,39.88517334465441,4626.208984375,74.692138671875,-652.5423583984375,eta_3_y,0,31.668932129026075,135.56912231445312,302.5423583984375,-3190.0390625,eta_3_bot,0
2,2,3684.210526315789,9720,700,700,2580,30,30,20,200,30,30,200,12.8,390,1.08,0.18179012,5,-0.002,421.2000000000001,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,1,30,30,12,12,12,35.365613523064255,4626.208984375,1599.3134765625,-652.5423583984375,eta_3_y,0,32.487899317001954,135.56912231445312,302.5423583984375,-3190.0390625,eta_3_bot,0
3,3,4526.315789473684,9720,700,700,2580,30,30,20,200,30,30,200,12.8,390,1.08,0.18179012,5,-0.002,421.2000000000001,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,1,30,30,12,12,12,27.11991513301704,4626.208984375,2050.619384765625,-652.5423583984375,eta_3_y,0,26.485073747829308,135.56912231445312,1400.1453857421875,-652.5423583984375,eta_3_top,0
4,4,5368.421052631578,9720,700,700,2580,30,30,20,200,30,30,200,12.8,390,1.08,0.18179012,5,-0.002,421.2000000000001,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,1,30,30,12,12,12,15.995248807117026,135.56912231445312,4263.416015625,-652.5423583984375,eta_4_x,0,16.696848150947265,135.56912231445312,2181.476318359375,-652.5423583984375,eta_3_top,0
5,5,6210.526315789473,9720,700,700,2580,30,30,20,200,30,30,200,12.8,390,1.08,0.18179012,5,-0.002,421.2000000000001,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,1,30,30,12,12,12,11.99794804380812,135.56912231445312,5032.46435546875,-652.5423583984375,eta_4_x,0,11.998344930948756,135.56912231445312,2935.548095703125,-652.5423583984375,eta_3_top,0
6,6,7052.631578947368,9720,700,700,2580,30,30,20,200,30,30,200,12.8,390,1.08,0.18179012,5,-0.002,421.2000000000001,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,1,30,30,12,12,12,8.645328137259886,135.56912231445312,2750.451904296875,-652.5423583984375,eta_1_x,0,8.36345332148583,135.56912231445312,2750.451904296875,-652.5423583984375,eta_3_top,0
7,7,7894.736842105262,9720,700,700,2580,30,30,20,200,30,30,200,12.8,390,1.08,0.18179012,5,-0.002,421.2000000000001,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,1,30,30,12,12,12,6.020773272447534,135.56912231445312,468.1307373046875,-652.5423583984375,eta_4_x,0,6.238541108595018,135.56912231445312,125.4352569580078,-652.5423583984375,eta_3_bot,0
8,8,8736.842105263157,9720,700,700,2580,30,30,20,200,30,30,200,12.8,390,1.08,0.18179012,5,-0.002,421.2000000000001,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,1,30,30,12,12,12,5.076432793471481,135.56912231445312,522.92236328125,-652.5423583984375,eta_4_x,0,5.231172601235608,135.56912231445312,522.92236328125,-652.5423583984375,eta_3_bot,0
9,9,9578.947368421052,9720,700,700,2580,30,30,20,200,30,30,200,12.8,390,1.08,0.18179012,5,-0.002,421.2000000000001,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,1,30,30,12,12,12,3.993147339313333,135.56912231445312,462.17230224609375,-652.5423583984375,eta_4_x,0,4.148344575521272,135.56912231445312,123.83869934082033,-652.5423583984375,eta_3_bot,0
10,10,10421.052631578948,9720,700,700,2580,30,30,20,200,30,30,200,12.8,390,1.08,0.18179012,5,-0.002,421.2000000000001,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,1,30,30,12,12,12,3.46186988098399,135.56912231445312,506.0052795410156,-652.5423583984375,eta_4_x,0,3.5858475629565767,135.56912231445312,135.58370971679688,-652.5423583984375,eta_3_bot,0
11,11,11263.157894736842,9720,700,700,2580,30,30,20,200,30,30,200,12.8,390,1.08,0.18179012,5,-0.002,421.2000000000001,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,1,30,30,12,12,12,2.98124138530598,135.56912231445312,549.8390502929688,-652.5423583984375,eta_4_x,0,3.064762453055973,135.56912231445312,147.3289337158203,-652.5423583984375,eta_3_bot,0
12,12,12105.263157894737,9720,700,700,2580,30,30,20,200,30,30,200,12.8,390,1.08,0.18179012,5,-0.002,421.2000000000001,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,1,30,30,12,12,12,2.4725986287445503,135.56912231445312,10910.5361328125,-652.5423583984375,eta_4_x,0,2.528401752263456,135.56912231445312,132.561767578125,-652.5423583984375,eta_3_bot,0
13,13,12947.368421052632,9720,700,700,2580,30,30,20,200,30,30,200,12.8,390,1.08,0.18179012,5,-0.002,421.2000000000001,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,1,30,30,12,12,12,2.218421154331307,135.56912231445312,11716.1123046875,-652.5423583984375,eta_4_x,0,2.266758347140587,135.56912231445312,142.3494873046875,-652.5423583984375,eta_3_bot,0
14,14,13789.473684210525,9720,700,700,2580,30,30,20,200,30,30,200,12.8,390,1.08,0.18179012,5,-0.002,421.2000000000001,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,1,30,30,12,12,12,1.9103130277448075,135.56912231445312,12602.8017578125,-652.5423583984375,eta_4_x,0,1.917343044969291,135.56912231445312,130.40328979492188,-652.5423583984375,eta_3_bot,0
15,15,14631.57894736842,9720,700,700,2580,30,30,20,200,30,30,200,12.8,390,1.08,0.18179012,5,-0.002,421.2000000000001,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,1,30,30,12,12,12,1.8316188741918,135.56912231445312,13413.59765625,-652.5423583984375,eta_4_x,0,1.7107937151453,135.56912231445312,13792.7861328125,-652.5423583984375,eta_3_bot,0
16,16,15473.684210526317,9720,700,700,2580,30,30,20,200,30,30,200,12.8,390,1.08,0.18179012,5,-0.002,421.2000000000001,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,1,30,30,12,12,12,1.817571951488396,135.56912231445312,14224.392578125,-652.5423583984375,eta_4_x,0,1.3913806297284423,135.56912231445312,14626.501953125,-652.5423583984375,eta_3_bot,0
17,17,16315.78947368421,9720,700,700,2580,30,30,20,200,30,30,200,12.8,390,1.08,0.18179012,5,-0.002,421.2000000000001,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,1,30,30,12,12,12,1.7986317324063246,135.56912231445312,15107.7626953125,-652.5423583984375,eta_4_x,0,0.9664715735368392,135.56912231445312,15479.6640625,-652.5423583984375,eta_3_bot,2
18,18,17157.894736842107,9720,700,700,2580,30,30,20,200,30,30,200,12.8,390,1.08,0.18179012,5,-0.002,421.2000000000001,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,1,30,30,12,12,12,1.7928019559530617,135.56912231445312,15922.47265625,-652.5423583984375,eta_4_x,0,0.830777111539108,135.56912231445312,143.46591186523438,-652.5423583984375,eta_3_bot,22
19,19,18000.0,9720,700,700,2580,30,30,20,200,30,30,200,12.8,390,1.08,0.18179012,5,-0.002,421.2000000000001,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,1,30,30,12,12,12,1.779721907891069,135.56912231445312,500.28265380859375,-652.5423583984375,eta_4_x,0,0.6308585905380772,135.56912231445312,500.28265380859375,-652.5423583984375,eta_3_bot,48
