,ID,s_walls,L,b1,t_p,t_w,h_w,alpha_l,h_v,l_v,oo,uu,d4_plate,d3_plate,d2_plate,d1_plate,s_plate,d4_walls,d3_walls,d2_walls,d1_walls,fcc,fsy,fsu_fac,esu,s1,beta1,s2,beta2,h_G,gamma_E,phi_k,q_Gl,b_Bs,Q_k,l_sec,b_sec1_b1,b_sec2_b1,h_S1_3,h_S7_9,mesh_size_factor,b2,b_sec1_b2,b_sec2_b2,ecu,fsu,eta_min_s,x_s,y_s,z_s,Location_s,GP_count_s,eta_min_c,x_c,y_c,z_c,Location_c,GP_count_c,eta_min_shear,x_c_shear,y_c_shear,z_c_shear,Location_c_shear,element_count_shear,eta_min_shear_reduced,x_c_shear_reduced,y_c_shear_reduced,z_c_shear_reduced,Location_c_shear_reduced,element_count_shear_reduced,eta_min_c_stresses,x_c_stresses,y_c_stresses,z_c_stresses,Location_c_stresses
0,0,100.0,5800,9720,1000,400,2780,90,0,0,30,30,30,12,14,30,200,24,12,12,14,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,7.028618472475914,5627.083984375,2071.6015625,-941.1764526367188,eta_3,0,11.246609357292789,9642.4013671875,152.94117736816406,-1064.6231689453125,eta_3_bot,0,3.7284156596903446,9169.2,0.0,-1152.9,bot,0,4.558490547980692,9536.4,0.0,-1458.7,bot,0,5.885010153703385,9642.4013671875,152.94117736816406,-1064.6231689453125,eta_y_bot_stresses
1,1,128.57142857142858,5800,9720,1000,400,2780,90,0,0,30,30,30,12,14,30,200,24,12,12,14,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,6.982058661601717,5627.083984375,2071.6015625,-941.1764526367188,eta_3,0,10.853811804336756,9642.4013671875,152.94117736816406,-1064.6231689453125,eta_3_bot,0,3.71724856313748,9169.2,0.0,-1152.9,bot,0,4.600839134972796,9536.4,0.0,-1458.7,bot,0,5.689044072607622,9642.4013671875,152.94117736816406,-1064.6231689453125,eta_y_bot_stresses
2,2,157.14285714285714,5800,9720,1000,400,2780,90,0,0,30,30,30,12,14,30,200,24,12,12,14,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,6.849493930491374,9063.1982421875,152.94117736816406,-1241.1768798828125,eta_4,0,10.574184227634746,9642.4013671875,152.94117736816406,-1064.6231689453125,eta_3_bot,0,3.703217342203068,9169.2,0.0,-1152.9,bot,0,4.6325541349197765,9536.4,0.0,-1458.7,bot,0,5.549558336165947,9642.4013671875,152.94117736816406,-1064.6231689453125,eta_y_bot_stresses
3,3,185.7142857142857,5800,9720,1000,400,2780,90,0,0,30,30,30,12,14,30,200,24,12,12,14,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,6.041878156491295,9063.1982421875,152.94117736816406,-1241.1768798828125,eta_4,0,10.36007750759844,9642.4013671875,152.94117736816406,-1064.6231689453125,eta_3_bot,0,3.68871568075714,9169.2,0.0,-1152.9,bot,0,4.657205146117816,9536.4,0.0,-1458.7,bot,0,5.442770237893652,9642.4013671875,152.94117736816406,-1064.6231689453125,eta_y_bot_stresses
4,4,214.28571428571428,5800,9720,1000,400,2780,90,0,0,30,30,30,12,14,30,200,24,12,12,14,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,5.430413112561991,9063.1982421875,152.94117736816406,-1241.1768798828125,eta_4,0,10.189053717198082,9642.4013671875,152.94117736816406,-1064.6231689453125,eta_3_bot,0,3.6738233674277785,9169.2,0.0,-1152.9,bot,0,4.678441637442191,9536.4,0.0,-1458.7,bot,0,5.357478517700559,9642.4013671875,152.94117736816406,-1064.6231689453125,eta_y_bot_stresses
5,5,242.8571428571429,5800,9720,1000,400,2780,90,0,0,30,30,30,12,14,30,200,24,12,12,14,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,4.95057149886129,9063.1982421875,152.94117736816406,-1241.1768798828125,eta_4,0,10.047352711625257,9642.4013671875,152.94117736816406,-1064.6231689453125,eta_3_bot,0,3.660273243512228,9169.2,0.0,-1152.9,bot,0,4.697826060893013,9536.4,0.0,-1458.7,bot,0,5.286815370923296,9642.4013671875,152.94117736816406,-1064.6231689453125,eta_y_bot_stresses
6,6,271.42857142857144,5800,9720,1000,400,2780,90,0,0,30,30,30,12,14,30,200,24,12,12,14,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,4.560424467726969,8908.001953125,152.94117736816406,-1241.1768798828125,eta_4,0,9.925870535012397,9642.4013671875,152.94117736816406,-1064.6231689453125,eta_3_bot,0,3.6462599109882734,9169.2,0.0,-1152.9,bot,0,4.712734515105493,9536.4,0.0,-1458.7,bot,0,5.226241802112532,9642.4013671875,152.94117736816406,-1064.6231689453125,eta_y_bot_stresses
7,7,300.0,5800,9720,1000,400,2780,90,0,0,30,30,30,12,14,30,200,24,12,12,14,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,4.23784817109287,8908.001953125,152.94117736816406,-1241.1768798828125,eta_4,0,9.820937554539348,9642.4013671875,152.94117736816406,-1064.6231689453125,eta_3_bot,0,3.633178329681429,9169.2,0.0,-1152.9,bot,0,4.726760135921311,9536.4,0.0,-1458.7,bot,0,5.1739210192675245,9642.4013671875,152.94117736816406,-1064.6231689453125,eta_y_bot_stresses
8,8,328.57142857142856,5800,9720,1000,400,2780,90,0,0,30,30,30,12,14,30,200,24,12,12,14,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,3.965229625372449,8908.001953125,152.94117736816406,-1241.1768798828125,eta_4,0,9.728973638697823,9642.4013671875,152.94117736816406,-1064.6231689453125,eta_3_bot,0,3.6203361831024767,9169.2,0.0,-1152.9,bot,0,4.73851793763219,9536.4,0.0,-1458.7,bot,0,5.128071339503884,9642.4013671875,152.94117736816406,-1064.6231689453125,eta_y_bot_stresses
9,9,357.1428571428572,5800,9720,1000,400,2780,90,0,0,30,30,30,12,14,30,200,24,12,12,14,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,3.732412211395805,8908.001953125,152.94117736816406,-1241.1768798828125,eta_4,0,9.646254978064148,9642.4013671875,152.94117736816406,-1064.6231689453125,eta_3_bot,0,3.608452306601017,9169.2,0.0,-1152.9,bot,0,4.7491558011443695,9536.4,0.0,-1458.7,bot,0,5.086833715246748,9642.4013671875,152.94117736816406,-1064.6231689453125,eta_y_bot_stresses
10,10,385.7142857142857,5800,9720,1000,400,2780,90,0,0,30,30,30,12,14,30,200,24,12,12,14,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,3.5293310041883856,75.3161849975586,152.94117736816406,-1241.1768798828125,eta_4,0,9.5732290712706,9642.4013671875,152.94117736816406,-1064.6231689453125,eta_3_bot,0,3.596518977764611,9169.2,0.0,-1152.9,bot,0,4.759016009858308,9536.4,0.0,-1458.7,bot,0,5.050429446737541,9642.4013671875,152.94117736816406,-1064.6231689453125,eta_y_bot_stresses
11,11,414.2857142857143,5800,9720,1000,400,2780,90,0,0,30,30,30,12,14,30,200,24,12,12,14,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,3.3509885818538336,75.3161849975586,152.94117736816406,-1241.1768798828125,eta_4,0,9.505595540192916,9642.4013671875,152.94117736816406,-1064.6231689453125,eta_3_bot,0,3.5854326616859726,9169.2,0.0,-1152.9,bot,0,4.767647430233708,9536.4,0.0,-1458.7,bot,0,5.016715881690922,9642.4013671875,152.94117736816406,-1064.6231689453125,eta_y_bot_stresses
12,12,442.8571428571429,5800,9720,1000,400,2780,90,0,0,30,30,30,12,14,30,200,24,12,12,14,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,3.193252892503411,75.3161849975586,152.94117736816406,-1241.1768798828125,eta_4,0,9.44474869087461,9642.4013671875,152.94117736816406,-1064.6231689453125,eta_3_bot,0,3.5743023111284717,9169.2,0.0,-1152.9,bot,0,4.776068624784723,9536.4,0.0,-1458.7,bot,0,4.986385147613799,9642.4013671875,152.94117736816406,-1064.6231689453125,eta_y_bot_stresses
13,13,471.4285714285714,5800,9720,1000,400,2780,90,0,0,30,30,30,12,14,30,200,24,12,12,14,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,3.05250430842054,75.3161849975586,152.94117736816406,-1241.1768798828125,eta_4,0,9.389971297104193,9642.4013671875,152.94117736816406,-1064.6231689453125,eta_3_bot,0,3.564294917913531,9169.2,0.0,-1152.9,bot,0,4.7842594330223065,9536.4,0.0,-1458.7,bot,0,4.959082194750079,9642.4013671875,152.94117736816406,-1064.6231689453125,eta_y_bot_stresses
14,14,500.0,5800,9720,1000,400,2780,90,0,0,30,30,30,12,14,30,200,24,12,12,14,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,2.925999927599109,75.3161849975586,152.94117736816406,-1241.1768798828125,eta_4,0,9.338673858261307,9642.4013671875,152.94117736816406,-1064.6231689453125,eta_3_bot,0,3.554064939157352,9169.2,0.0,-1152.9,bot,0,4.791752201695174,9536.4,0.0,-1458.7,bot,0,4.933514906068359,9642.4013671875,152.94117736816406,-1064.6231689453125,eta_y_bot_stresses
