,ID,L,b1,t_p,t_w,h_w,d1_plate,d4_plate,d2_plate,s_plate,d1_walls,d4_walls,s_walls,fcc,fsy,fsu_fac,s,beta,ecu,fsu,b2,alpha_l,l_sec,b_sec1_b1,b_sec2_b1,b_sec1_b2,b_sec2_b2,h_S1_3,h_S7_9,h_v,l_v,left_p,right_p,h_b,b_b,esu,h_G,gamma_E,phi_k,q_Gl,b_Bs,Q_k,withMPCs,offsetmodeling,mesh_size_factor,oo,uu,d3_plate,d2_walls,d3_walls,eta_min_s,x_s,y_s,z_s,Location_s,GP_count_s,eta_min_c,x_c,y_c,z_c,Location_c,GP_count_c
0,0,2000.0,9720,400,400,2580,24,24,12,200,14,24,200,12.8,390,1.08,0.18179012,5,-0.002,421.2000000000001,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,1,30,30,12,12,12,14.233044708942025,993.8837890625,152.94117736816406,-2920.026123046875,eta_4_x,0.0,9.71666717135654,75.3161849975586,152.94117736816406,-2920.026123046875,eta_3_bot,0.0
1,1,2842.1052631578946,9720,400,400,2580,24,24,12,200,14,24,200,12.8,390,1.08,0.18179012,5,-0.002,421.2000000000001,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,1,30,30,12,12,12,14.952192575795696,1500.9161376953125,2230.242431640625,-352.941162109375,eta_4_x,0.0,11.405291623594296,75.3161849975586,152.94117736816406,-2920.026123046875,eta_3_bot,0.0
2,2,3684.210526315789,9720,400,400,2580,24,24,12,200,14,24,200,12.8,390,1.08,0.18179012,5,-0.002,421.2000000000001,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,1,30,30,12,12,12,10.30412799099954,1500.9161376953125,2999.291015625,-352.941162109375,eta_4_x,0.0,9.87390370542898,1500.9161376953125,1749.5535888671875,-352.941162109375,eta_3_top,0.0
3,3,4526.315789473684,9720,400,400,2580,24,24,12,200,14,24,200,12.8,390,1.08,0.18179012,5,-0.002,421.2000000000001,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,1,30,30,12,12,12,6.687820375039305,993.8837890625,4054.37646484375,-352.941162109375,eta_4_x,0.0,6.759113732593576,1500.9161376953125,1989.03857421875,-352.941162109375,eta_3_top,0.0
4,4,5368.421052631578,9720,400,400,2580,24,24,12,200,14,24,200,12.8,390,1.08,0.18179012,5,-0.002,421.2000000000001,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,1,30,30,12,12,12,4.38584740615901,637.4838256835938,258.61920166015625,-352.941162109375,eta_4_x,0.0,4.0042539541434845,431.7161865234375,152.94117736816406,-623.8259887695312,eta_3_bot,0.0
5,5,6210.526315789473,9720,400,400,2580,24,24,12,200,14,24,200,12.8,390,1.08,0.18179012,5,-0.002,421.2000000000001,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,1,30,30,12,12,12,3.207023628815985,75.3161849975586,302.4529724121094,-352.941162109375,eta_4_x,0.0,2.909266054829922,281.0838317871094,152.94117736816406,-623.8259887695312,eta_3_bot,0.0
6,6,7052.631578947368,9720,400,400,2580,24,24,12,200,14,24,200,12.8,390,1.08,0.18179012,5,-0.002,421.2000000000001,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,1,30,30,12,12,12,2.2677448717813165,75.3161849975586,288.5722961425781,-352.941162109375,eta_4_x,0.0,2.122679606132441,75.3161849975586,152.94117736816406,-623.8259887695312,eta_3_bot,0.0
7,7,7894.736842105262,9720,400,400,2580,24,24,12,200,14,24,200,12.8,390,1.08,0.18179012,5,-0.002,421.2000000000001,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,1,30,30,12,12,12,1.839873279127178,75.3161849975586,278.6570739746094,-352.941162109375,eta_4_x,0.0,1.7314929093918383,281.0838317871094,152.94117736816406,-623.8259887695312,eta_3_bot,0.0
8,8,8736.842105263157,9720,400,400,2580,24,24,12,200,14,24,200,12.8,390,1.08,0.18179012,5,-0.002,421.2000000000001,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,1,30,30,12,12,12,1.802876553142996,75.3161849975586,309.96746826171875,-352.941162109375,eta_4_x,0.0,1.2523439117106856,75.3161849975586,83.05553436279297,-352.941162109375,eta_3_bot,0.0
9,9,9578.947368421052,9720,400,400,2580,24,24,12,200,14,24,200,12.8,390,1.08,0.18179012,5,-0.002,421.2000000000001,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,1,30,30,12,12,12,1.7733183718815704,75.3161849975586,298.6176452636719,-352.941162109375,eta_4_x,0.0,0.7636182295816576,75.3161849975586,298.6176452636719,-352.941162109375,eta_3_bot,46.0
10,10,10421.052631578948,9720,400,400,2580,24,24,12,200,14,24,200,12.8,390,1.08,0.18179012,5,-0.002,421.2000000000001,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,1,30,30,12,12,12,0.0,,,,,,0.0,,,,,
11,11,11263.157894736842,9720,400,400,2580,24,24,12,200,14,24,200,12.8,390,1.08,0.18179012,5,-0.002,421.2000000000001,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,1,30,30,12,12,12,1.6969030908675058,75.3161849975586,314.1419372558594,-352.941162109375,eta_4_x,0.0,0.1854828284779072,75.3161849975586,84.174072265625,-352.941162109375,eta_3_bot,1366.0
