,ID,d1_walls,L,b1,t_p,t_w,h_w,alpha_l,h_v,l_v,oo,uu,d4_plate,d3_plate,d2_plate,d1_plate,s_plate,d4_walls,d3_walls,d2_walls,s_walls,fcc,fsy,fsu_fac,esu,s1,beta1,s2,beta2,h_G,gamma_E,phi_k,q_Gl,b_Bs,Q_k,l_sec,b_sec1_b1,b_sec2_b1,h_S1_3,h_S7_9,mesh_size_factor,b2,b_sec1_b2,b_sec2_b2,ecu,fsu,eta_min_s,x_s,y_s,z_s,Location_s,GP_count_s,eta_min_c,x_c,y_c,z_c,Location_c,GP_count_c,eta_min_shear,x_c_shear,y_c_shear,z_c_shear,Location_c_shear,element_count_shear,eta_min_shear_reduced,x_c_shear_reduced,y_c_shear_reduced,z_c_shear_reduced,Location_c_shear_reduced,element_count_shear_reduced,eta_min_c_stresses,x_c_stresses,y_c_stresses,z_c_stresses,Location_c_stresses
0,0,10.0,5800,9720,1200,400,2780,90,0,0,30,30,30,12,14,30,200,24,12,12,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,14.572828867258355,225.94854736328125,1975.9962158203125,-1129.4117431640625,eta_1,0,16.3717767041328,225.94854736328125,160.0,-1923.530517578125,eta_3_bot,0,4.77998688964707,534.5999999999999,0.0,-1658.7,bot,0,4.77998688964707,534.5999999999999,0.0,-1658.7,bot,0,8.444015225511116,225.94854736328125,160.0,-1923.530517578125,eta_y_bot_stresses
1,1,11.428571428571429,5800,9720,1200,400,2780,90,0,0,30,30,30,12,14,30,200,24,12,12,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,14.611643194872508,225.94854736328125,1975.9962158203125,-1129.4117431640625,eta_1,0,16.60496883941028,225.94854736328125,154.2857208251953,-1923.530517578125,eta_3_bot,0,4.763005104393935,534.5999999999999,0.0,-1658.7,bot,0,4.763005104393935,534.5999999999999,0.0,-1658.7,bot,0,8.560508051794338,225.94854736328125,154.2857208251953,-1923.530517578125,eta_y_bot_stresses
2,2,12.857142857142858,5800,9720,1200,400,2780,90,0,0,30,30,30,12,14,30,200,24,12,12,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,14.612578727662038,225.94854736328125,1975.9962158203125,-1129.4117431640625,eta_1,0,16.705562757980086,225.94854736328125,152.94117736816406,-1923.530517578125,eta_3_bot,0,4.763221568937779,534.5999999999999,0.0,-1658.7,bot,0,4.763221568937779,534.5999999999999,0.0,-1658.7,bot,0,8.610771687427807,225.94854736328125,152.94117736816406,-1923.530517578125,eta_y_bot_stresses
3,3,14.285714285714285,5800,9720,1200,400,2780,90,0,0,30,30,30,12,14,30,200,24,12,12,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,14.625196923731869,225.94854736328125,1975.9962158203125,-1129.4117431640625,eta_1,0,16.816224632408407,225.94854736328125,152.94117736816406,-1923.530517578125,eta_3_bot,0,4.7603767664406025,534.5999999999999,0.0,-1658.7,bot,0,4.7603767664406025,534.5999999999999,0.0,-1658.7,bot,0,8.666056579627384,225.94854736328125,152.94117736816406,-1923.530517578125,eta_y_bot_stresses
4,4,15.714285714285715,5800,9720,1200,400,2780,90,0,0,30,30,30,12,14,30,200,24,12,12,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,14.640164508989672,225.94854736328125,1975.9962158203125,-1129.4117431640625,eta_1,0,16.938605219222826,225.94854736328125,152.94117736816406,-1923.530517578125,eta_3_bot,0,4.7574534466168,534.5999999999999,0.0,-1658.7,bot,0,4.7574534466168,534.5999999999999,0.0,-1658.7,bot,0,8.727197628317217,225.94854736328125,152.94117736816406,-1923.530517578125,eta_y_bot_stresses
5,5,17.142857142857142,5800,9720,1200,400,2780,90,0,0,30,30,30,12,14,30,200,24,12,12,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,14.655128624315251,225.94854736328125,1975.9962158203125,-1129.4117431640625,eta_1,0,17.072306185894906,225.94854736328125,152.94117736816406,-1923.530517578125,eta_3_bot,0,4.754275307477112,534.5999999999999,0.0,-1658.7,bot,0,4.754275307477112,534.5999999999999,0.0,-1658.7,bot,0,8.793996086974989,225.94854736328125,152.94117736816406,-1923.530517578125,eta_y_bot_stresses
6,6,18.57142857142857,5800,9720,1200,400,2780,90,0,0,30,30,30,12,14,30,200,24,12,12,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,14.671410801909031,225.94854736328125,1975.9962158203125,-1129.4117431640625,eta_1,0,17.2179240244548,225.94854736328125,152.94117736816406,-1923.530517578125,eta_3_bot,0,4.750997005908368,534.5999999999999,0.0,-1658.7,bot,0,4.750997005908368,534.5999999999999,0.0,-1658.7,bot,0,8.866750688188722,225.94854736328125,152.94117736816406,-1923.530517578125,eta_y_bot_stresses
7,7,20.0,5800,9720,1200,400,2780,90,0,0,30,30,30,12,14,30,200,24,12,12,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,14.687989802497317,225.94854736328125,1975.9962158203125,-1129.4117431640625,eta_1,0,17.37447195715613,225.94854736328125,152.94117736816406,-1923.530517578125,eta_3_bot,0,4.747549857354702,534.5999999999999,0.0,-1658.7,bot,0,4.747549857354702,534.5999999999999,0.0,-1658.7,bot,0,8.944965686933909,225.94854736328125,152.94117736816406,-1923.530517578125,eta_y_bot_stresses
8,8,21.42857142857143,5800,9720,1200,400,2780,90,0,0,30,30,30,12,14,30,200,24,12,12,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,14.705920439514102,225.94854736328125,1975.9962158203125,-1129.4117431640625,eta_1,0,17.543139356438616,225.94854736328125,152.94117736816406,-1923.530517578125,eta_3_bot,0,4.744123532013855,534.5999999999999,0.0,-1658.7,bot,0,4.744123532013855,534.5999999999999,0.0,-1658.7,bot,0,9.029238468492926,225.94854736328125,152.94117736816406,-1923.530517578125,eta_y_bot_stresses
9,9,22.857142857142858,5800,9720,1200,400,2780,90,0,0,30,30,30,12,14,30,200,24,12,12,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,14.72309551845168,225.94854736328125,1975.9962158203125,-1129.4117431640625,eta_1,0,17.7222760573696,225.94854736328125,152.94117736816406,-1923.530517578125,eta_3_bot,0,4.740870992118453,534.5999999999999,0.0,-1658.7,bot,0,4.740870992118453,534.5999999999999,0.0,-1658.7,bot,0,9.118749170636686,225.94854736328125,152.94117736816406,-1923.530517578125,eta_y_bot_stresses
