,ID,d1_plate,L,b1,t_p,t_w,h_w,alpha_l,h_v,l_v,oo,uu,d4_plate,d3_plate,d2_plate,s_plate,d4_walls,d3_walls,d2_walls,d1_walls,s_walls,fcc,fsy,fsu_fac,esu,s1,beta1,s2,beta2,h_G,gamma_E,phi_k,q_Gl,b_Bs,Q_k,l_sec,b_sec1_b1,b_sec2_b1,h_S1_3,h_S7_9,mesh_size_factor,b2,b_sec1_b2,b_sec2_b2,ecu,fsu,eta_min_s,x_s,y_s,z_s,Location_s,GP_count_s,eta_min_c,x_c,y_c,z_c,Location_c,GP_count_c,eta_min_shear,x_c_shear,y_c_shear,z_c_shear,Location_c_shear,element_count_shear,eta_min_shear_reduced,x_c_shear_reduced,y_c_shear_reduced,z_c_shear_reduced,Location_c_shear_reduced,element_count_shear_reduced,eta_min_c_stresses,x_c_stresses,y_c_stresses,z_c_stresses,Location_c_stresses
0,0,10.0,5800,9720,400,400,2780,90,0,0,30,30,30,12,14,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,1.7688831388030926,9642.4013671875,2593.99853515625,-360.0,eta_1,0,2.9840367035835462,9642.4013671875,152.94117736816406,-641.1768798828125,eta_3_bot,0,0.697239210457109,9536.4,178.20000000000005,0.0,bot,6,1.080682187370446,9536.4,534.6000000000001,0.0,bot,0,1.792374253996337,9642.4013671875,152.94117736816406,-641.1768798828125,eta_y_bot_stresses
1,1,11.428571428571429,5800,9720,400,400,2780,90,0,0,30,30,30,12,14,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,1.7849028420500914,9642.4013671875,2806.00146484375,-354.28570556640625,eta_1,0,3.127934816109533,9642.4013671875,152.94117736816406,-641.1768798828125,eta_3_bot,0,0.7433125481672916,9536.4,178.20000000000005,0.0,bot,5,1.1539739819044077,9536.4,534.6000000000001,0.0,bot,0,1.8615638844732263,9642.4013671875,152.94117736816406,-641.1768798828125,eta_y_bot_stresses
2,2,12.857142857142858,5800,9720,400,400,2780,90,0,0,30,30,30,12,14,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,1.811440773126352,9642.4013671875,2806.00146484375,-352.941162109375,eta_1,0,3.251929889144879,9642.4013671875,152.94117736816406,-641.1768798828125,eta_3_bot,0,0.7415208587053753,9536.4,178.20000000000005,0.0,bot,5,1.169647277686222,9536.4,5221.8,0.0,bot,0,1.9214205753639004,9642.4013671875,152.94117736816406,-641.1768798828125,eta_y_bot_stresses
3,3,14.285714285714285,5800,9720,400,400,2780,90,0,0,30,30,30,12,14,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,1.87468682990738,9642.4013671875,2806.00146484375,-352.941162109375,eta_1,0,3.3441927998280008,9642.4013671875,152.94117736816406,-641.1768798828125,eta_3_bot,0,0.7527404474778626,9536.4,178.20000000000005,0.0,bot,5,1.1835349288950234,9536.4,5221.8,0.0,bot,0,1.9660824745622627,9642.4013671875,152.94117736816406,-641.1768798828125,eta_y_bot_stresses
4,4,15.714285714285715,5800,9720,400,400,2780,90,0,0,30,30,30,12,14,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,2.1117094680967803,9642.4013671875,2806.00146484375,-352.941162109375,eta_1,0,3.424164919243007,9642.4013671875,152.94117736816406,-641.1768798828125,eta_3_bot,0,0.7639862855104168,9536.4,178.20000000000005,0.0,bot,5,1.196497945568485,9536.4,5221.8,0.0,bot,0,2.0048662022502555,9642.4013671875,152.94117736816406,-641.1768798828125,eta_y_bot_stresses
5,5,17.142857142857142,5800,9720,400,400,2780,90,0,0,30,30,30,12,14,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,2.353750798493828,9642.4013671875,2806.00146484375,-352.941162109375,eta_1,0,3.5035503152811427,9642.4013671875,152.94117736816406,-641.1768798828125,eta_3_bot,0,0.7751291397420079,9536.4,178.20000000000005,0.0,bot,5,1.2087379588863485,9536.4,5221.8,0.0,bot,0,2.043428719074558,9642.4013671875,152.94117736816406,-641.1768798828125,eta_y_bot_stresses
6,6,18.57142857142857,5800,9720,400,400,2780,90,0,0,30,30,30,12,14,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,2.605896982674781,9642.4013671875,2806.00146484375,-352.941162109375,eta_1,0,3.5815095518940816,9642.4013671875,152.94117736816406,-641.1768798828125,eta_3_bot,0,0.7859701695934419,9536.4,178.20000000000005,0.0,bot,4,1.2205990847239014,9536.4,5221.8,0.0,bot,0,2.0813552561075865,9642.4013671875,152.94117736816406,-641.1768798828125,eta_y_bot_stresses
7,7,20.0,5800,9720,400,400,2780,90,0,0,30,30,30,12,14,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,2.8686582595168018,9642.4013671875,2806.00146484375,-352.941162109375,eta_1,0,3.660033005312628,9642.4013671875,152.94117736816406,-641.1768798828125,eta_3_bot,0,0.7969981922872481,9536.4,178.20000000000005,0.0,bot,4,1.231548814083337,9536.4,5221.8,0.0,bot,0,2.119608695720809,9642.4013671875,152.94117736816406,-641.1768798828125,eta_y_bot_stresses
8,8,21.42857142857143,5800,9720,400,400,2780,90,0,0,30,30,30,12,14,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,3.1405814245335693,9642.4013671875,2806.00146484375,-352.941162109375,eta_1,0,3.73703619971413,9642.4013671875,152.94117736816406,-641.1768798828125,eta_3_bot,0,0.8077494356278806,9536.4,178.20000000000005,0.0,bot,4,1.2425592717681242,9536.4,5221.8,0.0,bot,0,2.1571691947599976,9642.4013671875,152.94117736816406,-641.1768798828125,eta_y_bot_stresses
9,9,22.857142857142858,5800,9720,400,400,2780,90,0,0,30,30,30,12,14,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,3.25272979948382,9642.4013671875,152.94117736816406,-641.1768798828125,eta_4,0,3.820550869365409,9642.4013671875,152.94117736816406,-641.1768798828125,eta_3_bot,0,0.8212529155363507,9536.4,178.20000000000005,0.0,bot,3,1.259419351857959,9536.4,5221.8,0.0,bot,0,2.1979499104455624,9642.4013671875,152.94117736816406,-641.1768798828125,eta_y_bot_stresses
