,ID,t_p,L,b1,t_w,h_w,alpha_l,h_v,l_v,oo,uu,d4_plate,d3_plate,d2_plate,d1_plate,s_plate,d4_walls,d3_walls,d2_walls,d1_walls,s_walls,fcc,fsy,fsu_fac,esu,s,beta,h_G,gamma_E,phi_k,q_Gl,b_Bs,Q_k,l_sec,b_sec1_b1,b_sec2_b1,h_S1_3,h_S7_9,mesh_size_factor,b2,b_sec1_b2,b_sec2_b2,ecu,fsu,eta_min_s,x_s,y_s,z_s,Location_s,GP_count_s,eta_min_c,x_c,y_c,z_c,Location_c,GP_count_c
11,11,424.48979591836735,5800,9720,400,2580,90,0,0,30,30,24,12,12,24,200,24,12,12,14,200,12.8,390,1.08,0.045,0.18179012,5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,421.2000000000001,3.7144844040354488,225.94854736328125,2506.003662109375,-374.5498046875,eta_1_x,0,3.640254354433161,225.94854736328125,152.94117736816406,-1095.968017578125,eta_3_bot,0
12,12,444.8979591836735,5800,9720,400,2580,90,0,0,30,30,24,12,12,24,200,24,12,12,14,200,12.8,390,1.08,0.045,0.18179012,5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,421.2000000000001,3.915480054965845,225.94854736328125,2506.003662109375,-392.5570373535156,eta_1_x,0,3.793164366371686,225.94854736328125,152.94117736816406,-1116.3759765625,eta_3_bot,0
13,13,465.3061224489796,5800,9720,400,2580,90,0,0,30,30,24,12,12,24,200,24,12,12,14,200,12.8,390,1.08,0.045,0.18179012,5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,421.2000000000001,4.118499807760539,225.94854736328125,2506.003662109375,-410.5642395019531,eta_1_x,0,3.9512432157062887,225.94854736328125,152.94117736816406,-1136.7840576171875,eta_3_bot,0
14,14,485.7142857142857,5800,9720,400,2580,90,0,0,30,30,24,12,12,24,200,24,12,12,14,200,12.8,390,1.08,0.045,0.18179012,5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,421.2000000000001,4.439040328015024,225.94854736328125,2506.003662109375,-442.8571472167969,eta_1_x,0,4.188359157945677,225.94854736328125,152.94117736816406,-1157.1920166015625,eta_3_bot,0
15,15,506.1224489795918,5800,9720,400,2580,90,0,0,30,30,24,12,12,24,200,24,12,12,14,200,12.8,390,1.08,0.045,0.18179012,5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,421.2000000000001,4.647382481920769,225.94854736328125,2506.003662109375,-461.464599609375,eta_1_x,0,4.36284193675342,225.94854736328125,152.94117736816406,-1177.5999755859375,eta_3_bot,0
16,16,526.530612244898,5800,9720,400,2580,90,0,0,30,30,24,12,12,24,200,24,12,12,14,200,12.8,390,1.08,0.045,0.18179012,5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,421.2000000000001,4.796746835210129,225.94854736328125,2506.003662109375,-480.072021484375,eta_1_x,0,4.498172520761169,225.94854736328125,152.94117736816406,-1198.009033203125,eta_3_bot,0
17,17,546.9387755102041,5800,9720,400,2580,90,0,0,30,30,24,12,12,24,200,24,12,12,14,200,12.8,390,1.08,0.045,0.18179012,5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,421.2000000000001,5.0039322282372165,225.94854736328125,2506.003662109375,-498.6794738769531,eta_1_x,0,4.679195007277253,225.94854736328125,152.94117736816406,-1218.4169921875,eta_3_bot,0
18,18,567.3469387755101,5800,9720,400,2580,90,0,0,30,30,24,12,12,24,200,24,12,12,14,200,12.8,390,1.08,0.045,0.18179012,5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,421.2000000000001,5.21370411179042,225.94854736328125,2506.003662109375,-517.2869262695312,eta_1_x,0,4.866105436533415,225.94854736328125,152.94117736816406,-1238.824951171875,eta_3_bot,0
19,19,587.7551020408164,5800,9720,400,2580,90,0,0,30,30,24,12,12,24,200,24,12,12,14,200,12.8,390,1.08,0.045,0.18179012,5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,421.2000000000001,5.425943496083933,225.94854736328125,2506.003662109375,-535.8943481445312,eta_1_x,0,5.058515421596463,225.94854736328125,152.94117736816406,-1259.2330322265625,eta_3_bot,0
20,20,608.1632653061224,5800,9720,400,2580,90,0,0,30,30,24,12,12,24,200,24,12,12,14,200,12.8,390,1.08,0.045,0.18179012,5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,421.2000000000001,5.63798935428328,225.94854736328125,1975.9962158203125,-554.5018310546875,eta_1_x,0,5.15488141702108,225.94854736328125,152.94117736816406,-1279.6409912109375,eta_3_bot,0
