,ID,d2_plate,L,b1,t_p,t_w,h_w,alpha_l,h_v,l_v,oo,uu,d4_plate,d3_plate,d1_plate,s_plate,d4_walls,d3_walls,d2_walls,d1_walls,s_walls,fcc,fsy,fsu_fac,esu,s1,beta1,s2,beta2,h_G,gamma_E,phi_k,q_Gl,b_Bs,Q_k,l_sec,b_sec1_b1,b_sec2_b1,h_S1_3,h_S7_9,mesh_size_factor,b2,b_sec1_b2,b_sec2_b2,ecu,fsu,eta_min_s,x_s,y_s,z_s,Location_s,GP_count_s,eta_min_c,x_c,y_c,z_c,Location_c,GP_count_c,eta_min_shear,x_c_shear,y_c_shear,z_c_shear,Location_c_shear,element_count_shear,eta_min_shear_reduced,x_c_shear_reduced,y_c_shear_reduced,z_c_shear_reduced,Location_c_shear_reduced,element_count_shear_reduced,eta_min_c_stresses,x_c_stresses,y_c_stresses,z_c_stresses,Location_c_stresses
0,0,10.0,5800,15000,400,1000,2780,90,0,0,30,30,30,12,30,200,30,12,12,30,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,15000,0.33,0.33,-0.002,407.94,5.828431779743059,1603.54296875,2167.823486328125,-350.0,eta_2,0,8.246187622476528,1984.31201171875,83.68464660644531,-350.0,eta_3_bot,0,1.4124813924396666,2094.230769230769,198.0,0.0,bot,0,2.4153628364708464,2855.769230769231,4602.0,0.0,bot,0,4.393406730866782,1984.31201171875,83.68464660644531,-350.0,eta_y_bot_stresses
1,1,11.428571428571429,5800,15000,400,1000,2780,90,0,0,30,30,30,12,30,200,30,12,12,30,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,15000,0.33,0.33,-0.002,407.94,6.79693793004901,1984.31201171875,83.68464660644531,-354.28570556640625,eta_4,0,8.64984340743993,1984.31201171875,83.68464660644531,-354.28570556640625,eta_3_bot,0,1.439218885254876,2094.230769230769,198.0,0.0,bot,0,2.453245648374207,2855.769230769231,4602.0,0.0,bot,0,4.59466618371886,1984.31201171875,83.68464660644531,-354.28570556640625,eta_y_bot_stresses
2,2,12.857142857142858,5800,15000,400,1000,2780,90,0,0,30,30,30,12,30,200,30,12,12,30,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,15000,0.33,0.33,-0.002,407.94,6.782230399739898,1984.31201171875,83.68464660644531,-352.941162109375,eta_4,0,8.629487307732033,1984.31201171875,83.68464660644531,-352.941162109375,eta_3_bot,0,1.4207029724821676,2094.230769230769,198.0,0.0,bot,0,2.4285429553844637,2855.769230769231,4602.0,0.0,bot,0,4.584489709501839,1984.31201171875,83.68464660644531,-352.941162109375,eta_y_bot_stresses
3,3,14.285714285714285,5800,15000,400,1000,2780,90,0,0,30,30,30,12,30,200,30,12,12,30,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,15000,0.33,0.33,-0.002,407.94,6.799639770942277,1984.31201171875,83.68464660644531,-352.941162109375,eta_4,0,8.655861419510362,1984.31201171875,83.68464660644531,-352.941162109375,eta_3_bot,0,1.4232306294257222,2094.230769230769,198.0,0.0,bot,0,2.4331893775413,2855.769230769231,4602.0,0.0,bot,0,4.597559221580947,1984.31201171875,83.68464660644531,-352.941162109375,eta_y_bot_stresses
4,4,15.714285714285715,5800,15000,400,1000,2780,90,0,0,30,30,30,12,30,200,30,12,12,30,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,15000,0.33,0.33,-0.002,407.94,6.823312759678673,1984.31201171875,312.3153381347656,-352.941162109375,eta_4,0,8.682986906557487,1984.31201171875,83.68464660644531,-352.941162109375,eta_3_bot,0,1.4255767567295254,2094.230769230769,198.0,0.0,bot,0,2.43762241290496,2855.769230769231,4602.0,0.0,bot,0,4.610846050396052,1984.31201171875,312.3153381347656,-352.941162109375,eta_y_bot_stresses
5,5,17.142857142857142,5800,15000,400,1000,2780,90,0,0,30,30,30,12,30,200,30,12,12,30,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,15000,0.33,0.33,-0.002,407.94,6.8389668136492885,1984.31201171875,312.3153381347656,-352.941162109375,eta_4,0,8.70584254732967,1984.31201171875,83.68464660644531,-352.941162109375,eta_3_bot,0,1.4277996268945763,2094.230769230769,198.0,0.0,bot,0,2.441801717199642,2855.769230769231,4602.0,0.0,bot,0,4.621329411268592,2204.14892578125,312.3153381347656,-352.941162109375,eta_y_bot_stresses
6,6,18.57142857142857,5800,15000,400,1000,2780,90,0,0,30,30,30,12,30,200,30,12,12,30,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,15000,0.33,0.33,-0.002,407.94,6.853579758186716,1984.31201171875,312.3153381347656,-352.941162109375,eta_4,0,8.72617084352315,2204.14892578125,83.68464660644531,-352.941162109375,eta_3_bot,0,1.4299197554886252,2094.230769230769,198.0,0.0,bot,0,2.4458875423208406,2855.769230769231,4602.0,0.0,bot,0,4.631292351165766,2204.14892578125,312.3153381347656,-352.941162109375,eta_y_bot_stresses
7,7,20.0,5800,15000,400,1000,2780,90,0,0,30,30,30,12,30,200,30,12,12,30,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,15000,0.33,0.33,-0.002,407.94,6.867824929405493,1984.31201171875,312.3153381347656,-352.941162109375,eta_4,0,8.74572102744678,2204.14892578125,83.68464660644531,-352.941162109375,eta_3_bot,0,1.4320299138026609,2094.230769230769,198.0,0.0,bot,0,2.449816444043149,2855.769230769231,4602.0,0.0,bot,0,4.640927507017606,2204.14892578125,312.3153381347656,-352.941162109375,eta_y_bot_stresses
8,8,21.42857142857143,5800,15000,400,1000,2780,90,0,0,30,30,30,12,30,200,30,12,12,30,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,15000,0.33,0.33,-0.002,407.94,6.862238717192856,1984.31201171875,312.3153381347656,-352.941162109375,eta_4,0,8.736408673799378,2204.14892578125,83.68464660644531,-352.941162109375,eta_3_bot,0,1.429417567206601,2094.230769230769,198.0,0.0,bot,0,2.4436365389078367,2855.769230769231,4602.0,0.0,bot,0,4.6363183740739,2204.14892578125,312.3153381347656,-352.941162109375,eta_y_bot_stresses
9,9,22.857142857142858,5800,15000,400,1000,2780,90,0,0,30,30,30,12,30,200,30,12,12,30,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,15000,0.33,0.33,-0.002,407.94,6.874239346775704,1984.31201171875,312.3153381347656,-352.941162109375,eta_4,0,8.752939490004925,2204.14892578125,83.68464660644531,-352.941162109375,eta_3_bot,0,1.4311450440244673,2094.230769230769,198.0,0.0,bot,0,2.4472701927129807,2855.769230769231,4602.0,0.0,bot,0,4.644463944064046,2204.14892578125,312.3153381347656,-352.941162109375,eta_y_bot_stresses
