,ID,h_G,L,b1,t_p,t_w,h_w,alpha_l,h_v,l_v,oo,uu,d4_plate,d3_plate,d2_plate,d1_plate,s_plate,d4_walls,d3_walls,d2_walls,d1_walls,s_walls,fcc,fsy,fsu_fac,esu,s1,beta1,s2,beta2,gamma_E,phi_k,q_Gl,b_Bs,Q_k,l_sec,b_sec1_b1,b_sec2_b1,h_S1_3,h_S7_9,mesh_size_factor,b2,b_sec1_b2,b_sec2_b2,ecu,fsu,eta_min_s,x_s,y_s,z_s,Location_s,GP_count_s,eta_min_c,x_c,y_c,z_c,Location_c,GP_count_c,eta_min_shear,x_c_shear,y_c_shear,z_c_shear,Location_c_shear,element_count_shear,eta_min_shear_reduced,x_c_shear_reduced,y_c_shear_reduced,z_c_shear_reduced,Location_c_shear_reduced,element_count_shear_reduced,eta_min_c_stresses,x_c_stresses,y_c_stresses,z_c_stresses,Location_c_stresses
0,0,300.0,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,1.0563963438035042,9487.2041015625,188.2904510498047,-352.941162109375,eta_4,0,3.326203467816171,9487.2041015625,2506.003662109375,-352.941162109375,eta_3_top,0,0.6226231324977354,9169.2,445.5,0.0,bot,2,0.6226231324977354,9169.2,445.5,0.0,bot,2,1.9573502368144668,9487.2041015625,2506.003662109375,-352.941162109375,eta_y_top_stresses
1,1,385.7142857142857,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,1.1025904713875,9487.2041015625,188.2904510498047,-352.941162109375,eta_4,0,3.5122116591799903,9487.2041015625,2506.003662109375,-352.941162109375,eta_3_top,0,0.6715187504278942,9169.2,445.5,0.0,bot,2,0.6715187504278942,9169.2,445.5,0.0,bot,2,2.047620027840965,9487.2041015625,2506.003662109375,-352.941162109375,eta_y_top_stresses
2,2,471.4285714285714,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,1.146080053018522,9487.2041015625,188.2904510498047,-352.941162109375,eta_4,0,3.704758113142406,9487.2041015625,2506.003662109375,-352.941162109375,eta_3_top,0,0.7203994539967564,9169.2,445.5,0.0,bot,2,0.7203994539967564,9169.2,445.5,0.0,bot,2,2.141398606813134,9487.2041015625,2506.003662109375,-352.941162109375,eta_y_top_stresses
3,3,557.1428571428571,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,1.1938276690733751,9487.2041015625,188.2904510498047,-352.941162109375,eta_4,0,3.899507957791931,9487.2041015625,2506.003662109375,-352.941162109375,eta_3_top,0,0.7732617837834571,9169.2,445.5,0.0,bot,2,0.7732617837834571,9169.2,445.5,0.0,bot,2,2.236536786282825,9487.2041015625,2506.003662109375,-352.941162109375,eta_y_top_stresses
4,4,642.8571428571429,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,1.242301134910815,9487.2041015625,188.2904510498047,-352.941162109375,eta_4,0,4.09860883830692,9487.2041015625,2506.003662109375,-352.941162109375,eta_3_top,0,0.8280629701680055,9169.2,445.5,0.0,bot,1,0.8280629701680055,9169.2,445.5,0.0,bot,1,2.33405096913664,9487.2041015625,2506.003662109375,-352.941162109375,eta_y_top_stresses
5,5,728.5714285714286,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,1.2914730533332288,9487.2041015625,188.2904510498047,-352.941162109375,eta_4,0,4.302162663053958,9487.2041015625,2506.003662109375,-352.941162109375,eta_3_top,0,0.8847688382832232,9169.2,445.5,0.0,bot,1,0.8847688382832232,9169.2,445.5,0.0,bot,1,2.433966918864359,9487.2041015625,2506.003662109375,-352.941162109375,eta_y_top_stresses
6,6,814.2857142857142,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,1.3411901261052448,9487.2041015625,188.2904510498047,-352.941162109375,eta_4,0,4.510203509781513,9487.2041015625,2506.003662109375,-352.941162109375,eta_3_top,0,0.94320261353719,9169.2,445.5,0.0,bot,1,0.94320261353719,9169.2,445.5,0.0,bot,1,2.536280874113738,9487.2041015625,2506.003662109375,-352.941162109375,eta_y_top_stresses
7,7,900.0,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,1.3195410182328433,9487.2041015625,188.2904510498047,-352.941162109375,eta_4,0,4.590106557543489,9487.2041015625,2506.003662109375,-352.941162109375,eta_3_top,0,0.9462692038947264,9169.2,445.5,0.0,bot,1,0.9462692038947264,9169.2,445.5,0.0,bot,1,2.575641356644279,9487.2041015625,2506.003662109375,-352.941162109375,eta_y_top_stresses
8,8,985.7142857142856,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,1.3682453370507728,9487.2041015625,188.2904510498047,-352.941162109375,eta_4,0,4.800785899665884,9487.2041015625,2506.003662109375,-352.941162109375,eta_3_top,0,1.0052477989247397,9169.2,445.5,0.0,bot,0,1.0052477989247397,9169.2,445.5,0.0,bot,0,2.679484432374011,9487.2041015625,2506.003662109375,-352.941162109375,eta_y_top_stresses
9,9,1071.428571428571,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,1.417063401073037,9487.2041015625,188.2904510498047,-352.941162109375,eta_4,0,5.016111002301356,9487.2041015625,2506.003662109375,-352.941162109375,eta_3_top,0,1.0655793576429542,9169.2,445.5,0.0,bot,0,1.0655793576429542,9169.2,445.5,0.0,bot,0,2.785762212275581,9487.2041015625,2506.003662109375,-352.941162109375,eta_y_top_stresses
