,ID,s_walls,L,b1,t_p,t_w,h_w,alpha_l,h_v,l_v,oo,uu,d4_plate,d3_plate,d2_plate,d1_plate,s_plate,d4_walls,d3_walls,d2_walls,d1_walls,fcc,fsy,fsu_fac,esu,s1,beta1,s2,beta2,h_G,gamma_E,phi_k,q_Gl,b_Bs,Q_k,l_sec,b_sec1_b1,b_sec2_b1,h_S1_3,h_S7_9,mesh_size_factor,b2,b_sec1_b2,b_sec2_b2,ecu,fsu,eta_min_s,x_s,y_s,z_s,Location_s,GP_count_s,eta_min_c,x_c,y_c,z_c,Location_c,GP_count_c,eta_min_shear,x_c_shear,y_c_shear,z_c_shear,Location_c_shear,element_count_shear,eta_min_c_stresses,x_c_stresses,y_c_stresses,z_c_stresses,Location_c_stresses
0,0,100.0,5800,9720,1000,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,9.833672769218506,9487.2041015625,1975.9962158203125,-941.1764526367188,eta_1,0,17.980903840615028,9487.2041015625,152.94117736816406,-1193.869384765625,eta_3_bot,0,3.424435014974601,9169.2,445.5,0.0,bot,0,9.250340880084837,9487.2041015625,152.94117736816406,-1723.530517578125,eta_y_bot_stresses
1,1,128.57142857142858,5800,9720,1000,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,9.79545166510609,9487.2041015625,1975.9962158203125,-941.1764526367188,eta_1,0,17.357419310970627,9487.2041015625,152.94117736816406,-1193.869384765625,eta_3_bot,0,3.472306246716612,9169.2,445.5,0.0,bot,0,8.938881251415655,9487.2041015625,152.94117736816406,-1723.530517578125,eta_y_bot_stresses
2,2,157.14285714285714,5800,9720,1000,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,9.770549279072382,9487.2041015625,1975.9962158203125,-941.1764526367188,eta_1,0,16.92733972428203,9487.2041015625,152.94117736816406,-1193.869384765625,eta_3_bot,0,3.521570580796595,9169.2,445.5,0.0,bot,0,8.723996810604227,9487.2041015625,152.94117736816406,-1723.530517578125,eta_y_bot_stresses
3,3,185.7142857142857,5800,9720,1000,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,9.75275486442364,9487.2041015625,1975.9962158203125,-941.1764526367188,eta_1,0,16.608479364193954,9487.2041015625,152.94117736816406,-1193.869384765625,eta_3_bot,0,3.569284989907468,9169.2,445.5,0.0,bot,0,8.56464903249386,9487.2041015625,152.94117736816406,-1723.530517578125,eta_y_bot_stresses
4,4,214.28571428571428,5800,9720,1000,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,9.737655927663123,9487.2041015625,1975.9962158203125,-941.1764526367188,eta_1,0,16.356972393709516,9487.2041015625,152.94117736816406,-1193.869384765625,eta_3_bot,0,3.612096990881778,9169.2,445.5,0.0,bot,0,8.439003391735895,9487.2041015625,152.94117736816406,-1723.530517578125,eta_y_bot_stresses
5,5,242.8571428571429,5800,9720,1000,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,9.725038326950918,9487.2041015625,1975.9962158203125,-941.1764526367188,eta_1,0,16.151252445151837,9487.2041015625,152.94117736816406,-1193.869384765625,eta_3_bot,0,3.6514746804052343,9169.2,445.5,0.0,bot,0,8.336248742831499,9487.2041015625,152.94117736816406,-1723.530517578125,eta_y_bot_stresses
6,6,271.42857142857144,5800,9720,1000,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,9.7142019542901,9487.2041015625,1975.9962158203125,-941.1764526367188,eta_1,0,15.978977146075286,9487.2041015625,152.94117736816406,-1193.869384765625,eta_3_bot,0,3.688286484647788,9169.2,445.5,0.0,bot,0,8.250034578556722,9487.2041015625,152.94117736816406,-1723.530517578125,eta_y_bot_stresses
7,7,300.0,5800,9720,1000,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,9.704369554766611,9487.2041015625,1975.9962158203125,-941.1764526367188,eta_1,0,15.832007285727746,9487.2041015625,152.94117736816406,-1193.869384765625,eta_3_bot,0,3.7223166483696617,9169.2,445.5,0.0,bot,0,8.176786224266422,9487.2041015625,152.94117736816406,-1723.530517578125,eta_y_bot_stresses
8,8,328.57142857142856,5800,9720,1000,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,9.695667589228556,9487.2041015625,1975.9962158203125,-941.1764526367188,eta_1,0,15.705925051861144,9487.2041015625,152.94117736816406,-1193.869384765625,eta_3_bot,0,3.754237830024851,9169.2,445.5,0.0,bot,0,8.113722523166034,9487.2041015625,152.94117736816406,-1723.530517578125,eta_y_bot_stresses
9,9,357.1428571428572,5800,9720,1000,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,9.687815538226346,9487.2041015625,1975.9962158203125,-941.1764526367188,eta_1,0,15.594389547957825,9487.2041015625,152.94117736816406,-1193.869384765625,eta_3_bot,0,3.7841771415832897,9169.2,445.5,0.0,bot,0,8.05800357763624,9487.2041015625,152.94117736816406,-1723.530517578125,eta_y_bot_stresses
