,eta_min_s,x_s,y_s,z_s,Location_s,GP_count_s,eta_min_c,x_c,y_c,z_c,Location_c,GP_count_c,ID
0,1.7843273729351876,9698.65625,4987.52197265625,-2517.141845703125,eta_1_x,0,5.430790265503021,173.8590850830078,98.31417846679688,-4067.336669921875,eta_3_bot,0,1
0,4.50959439672437,293.14288330078125,6500.8232421875,-1904.2977294921875,eta_4_x,0,18.27000134021796,293.14288330078125,6500.8232421875,-1090.09130859375,eta_3_bot,0,2
0,11.349899068206728,4091.96337890625,2073.840576171875,-326.4898681640625,eta_2_y,0,13.517033566047598,3468.395751953125,2073.840576171875,-326.4898681640625,eta_3_top,0,3
0,10.560859444941809,3381.48974609375,1656.87060546875,-425.10980224609375,eta_1_x,0,17.884413352487048,3381.48974609375,2101.281494140625,-425.10980224609375,eta_3_top,0,4
0,1.3726833855865033,4590.8125,2499.15478515625,-175.34649658203125,eta_1_x,0,3.1712812607323446,4590.8125,2499.15478515625,-175.34649658203125,eta_3_top,0,5
0,8.601192787278977,5685.056640625,181.96861267089844,-1925.824462890625,eta_1_x,0,14.921328420027303,721.1093139648438,3824.63037109375,-314.5281066894531,eta_3_bot,0,6
0,2.6813707211277666,14869.0234375,2850.520751953125,-648.5917358398438,eta_1_x,0,6.639411578248071,16751.23046875,5981.39892578125,-843.3324584960938,eta_3_bot,0,7
0,17.80720029360457,9562.642578125,4765.33056640625,-617.995849609375,eta_4_x,0,34.37101420884889,9562.642578125,2058.504638671875,-617.995849609375,eta_3_top,0,8
0,4.045950676977202,11518.751953125,5098.2080078125,-368.6977844238281,eta_4_x,0,7.373986362742801,11518.751953125,2451.427490234375,-368.6977844238281,eta_3_top,0,9
0,1.5224644387182986,10432.51171875,3592.884521484375,-317.557861328125,eta_1_x,0,3.8891931863895315,10432.51171875,3036.735595703125,-317.557861328125,eta_3_top,0,10
0,4.99493794054843,776.7283935546875,456.977294921875,-178.4423370361328,eta_4_x,0,8.214257084417374,135.5061492919922,122.44670104980469,-178.4423370361328,eta_3_bot,0,11
