,eta_min_s,x_s,y_s,z_s,Location_s,GP_count_s,eta_min_c,x_c,y_c,z_c,Location_c,GP_count_c
0,26.96259901587147,225.94854736328125,1555.1888427734375,-352.941162109375,eta_1_x,0,22.026495215122562,225.94854736328125,2447.058837890625,-579.9219970703125,eta_3_bot,0
0,15.275901735311516,225.94854736328125,1887.493896484375,-352.941162109375,eta_1_x,0,14.055191125772728,225.94854736328125,1268.0611572265625,-352.941162109375,eta_3_top,0
0,8.792805041122357,225.94854736328125,1722.2335205078125,-352.941162109375,eta_1_x,0,8.001735050195201,225.94854736328125,1357.989501953125,-352.941162109375,eta_3_top,0
0,6.015036597186073,225.94854736328125,1980.0521240234375,-352.941162109375,eta_1_x,0,5.601337935724973,225.94854736328125,1561.2808837890625,-352.941162109375,eta_3_top,0
0,4.5089777409816945,225.94854736328125,2237.87158203125,-352.941162109375,eta_1_x,0,4.268794516420852,225.94854736328125,1764.572509765625,-352.941162109375,eta_3_top,0
0,3.5361421377771323,225.94854736328125,2495.691162109375,-352.941162109375,eta_1_x,0,3.3603688969866963,225.94854736328125,1967.8648681640625,-352.941162109375,eta_3_top,0
0,2.9370357499714768,225.94854736328125,2171.156494140625,-352.941162109375,eta_1_x,0,2.7899266938743428,225.94854736328125,2171.156494140625,-352.941162109375,eta_3_top,0
0,2.5304221220595844,225.94854736328125,2374.44775390625,-352.941162109375,eta_1_x,0,2.4067569563230524,225.94854736328125,2374.44775390625,-352.941162109375,eta_3_top,0
0,2.1618326889119044,225.94854736328125,2577.740234375,-352.941162109375,eta_1_x,0,1.9789079045186944,225.94854736328125,152.94117736816406,-1071.47802734375,eta_3_bot,0
0,2.3738355050850957,225.94854736328125,4048.645751953125,-352.941162109375,eta_1_x,0,2.208280650699656,225.94854736328125,3551.354248046875,-352.941162109375,eta_3_top,0
