,ID,fcc,L,b1,t_p,t_w,h_w,alpha_l,h_v,l_v,oo,uu,d4_plate,d3_plate,d2_plate,d1_plate,s_plate,d4_walls,d3_walls,d2_walls,d1_walls,s_walls,fsy,fsu_fac,esu,s1,beta1,s2,beta2,h_G,gamma_E,phi_k,q_Gl,b_Bs,Q_k,l_sec,b_sec1_b1,b_sec2_b1,h_S1_3,h_S7_9,mesh_size_factor,b2,b_sec1_b2,b_sec2_b2,ecu,fsu,eta_min_s,x_s,y_s,z_s,Location_s,GP_count_s,eta_min_c,x_c,y_c,z_c,Location_c,GP_count_c,eta_min_shear,x_c_shear,y_c_shear,z_c_shear,Location_c_shear,element_count_shear,eta_min_c_stresses,x_c_stresses,y_c_stresses,z_c_stresses,Location_c_stresses
0,0,8.0,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,10.23742620263547,225.94854736328125,1975.9962158203125,-1129.4117431640625,eta_1,0,15.467478205871409,225.94854736328125,160.0,-1923.530517578125,eta_3_bot,0,4.525580793911395,534.5999999999999,0.0,-1658.7,bot,0,7.992629457551718,225.94854736328125,160.0,-1923.530517578125,eta_y_bot_stresses
1,1,10.5,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,10.256165479574252,225.94854736328125,1975.9962158203125,-1129.4117431640625,eta_1,0,15.7463779814832,225.94854736328125,152.94117736816406,-1923.530517578125,eta_3_bot,0,4.518197277852814,534.5999999999999,0.0,-1658.7,bot,0,8.131933990614641,225.94854736328125,152.94117736816406,-1923.530517578125,eta_y_bot_stresses
2,2,13.5,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,10.2653671301021,225.94854736328125,1975.9962158203125,-1129.4117431640625,eta_1,0,15.902072095110482,225.94854736328125,152.94117736816406,-1923.530517578125,eta_3_bot,0,4.515705968520418,534.5999999999999,0.0,-1658.7,bot,0,8.209723282676093,225.94854736328125,152.94117736816406,-1923.530517578125,eta_y_bot_stresses
3,3,16.5,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,10.276713380135371,225.94854736328125,1975.9962158203125,-1129.4117431640625,eta_1,0,16.080390569265838,225.94854736328125,152.94117736816406,-1923.530517578125,eta_3_bot,0,4.514119553350237,534.5999999999999,0.0,-1658.7,bot,0,8.298816334164513,225.94854736328125,152.94117736816406,-1923.530517578125,eta_y_bot_stresses
4,4,20.0,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,10.28822269485129,225.94854736328125,1975.9962158203125,-1129.4117431640625,eta_1,0,16.282675448763264,225.94854736328125,152.94117736816406,-1923.530517578125,eta_3_bot,0,4.512919894114679,534.5999999999999,0.0,-1658.7,bot,0,8.39989386909862,225.94854736328125,152.94117736816406,-1923.530517578125,eta_y_bot_stresses
5,5,22.0,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,10.300665060491353,225.94854736328125,1975.9962158203125,-1129.4117431640625,eta_1,0,16.513328296874032,225.94854736328125,152.94117736816406,-1923.530517578125,eta_3_bot,0,4.510682085650867,534.5999999999999,0.0,-1658.7,bot,0,8.515145278152884,225.94854736328125,152.94117736816406,-1923.530517578125,eta_y_bot_stresses
6,6,24.0,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,10.315186922910865,225.94854736328125,1975.9962158203125,-1129.4117431640625,eta_1,0,16.766171243760137,225.94854736328125,152.94117736816406,-1923.530517578125,eta_3_bot,0,4.508311731516022,534.5999999999999,0.0,-1658.7,bot,0,8.641477312134493,225.94854736328125,152.94117736816406,-1923.530517578125,eta_y_bot_stresses
7,7,26.0,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,10.342246392503666,225.94854736328125,1975.9962158203125,-1129.4117431640625,eta_1,0,17.347425801387377,225.94854736328125,152.94117736816406,-1923.530517578125,eta_3_bot,0,4.505910220544736,534.5999999999999,0.0,-1658.7,bot,0,8.931946898452741,225.94854736328125,152.94117736816406,-1923.530517578125,eta_y_bot_stresses
8,8,28.0,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,10.371337641287075,225.94854736328125,1975.9962158203125,-1129.4117431640625,eta_1,0,18.034283963930108,225.94854736328125,152.94117736816406,-1923.530517578125,eta_3_bot,0,4.502967463748048,534.5999999999999,0.0,-1658.7,bot,0,9.275204957742154,225.94854736328125,152.94117736816406,-1923.530517578125,eta_y_bot_stresses
