,ID,t_p,L,b1,t_w,h_w,d1_plate,d4_plate,d2_plate,s_plate,d1_walls,d4_walls,s_walls,fcc,fsy,fsu_fac,s,beta,ecu,fsu,b2,alpha_l,l_sec,b_sec1_b1,b_sec2_b1,b_sec1_b2,b_sec2_b2,h_S1_3,h_S7_9,h_v,l_v,left_p,right_p,h_b,b_b,esu,h_G,gamma_E,phi_k,q_Gl,b_Bs,Q_k,withMPCs,offsetmodeling,mesh_size_factor,oo,uu,d3_plate,d2_walls,d3_walls,eta_min_s,x_s,y_s,z_s,Location_s,GP_count_s,eta_min_c,x_c,y_c,z_c,Location_c,GP_count_c
0,0,200.0,8000,9720,400,2580,24,24,12,200,14,24,200,12.8,390,1.08,0.18179012,5,-0.002,421.2000000000001,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,1,30,30,12,12,12,0.0,,,,,,0.0,,,,,
1,1,252.6315789473684,8000,9720,400,2580,24,24,12,200,14,24,200,12.8,390,1.08,0.18179012,5,-0.002,421.2000000000001,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,1,30,30,12,12,12,0.0,,,,,,0.0,,,,,
2,2,305.2631578947368,8000,9720,400,2580,24,24,12,200,14,24,200,12.8,390,1.08,0.18179012,5,-0.002,421.2000000000001,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,1,30,30,12,12,12,1.7492254587359513,61.62232971191406,219.7777404785156,-258.2995910644531,eta_4_x,0.0,0.4444860895492608,61.62232971191406,58.88926696777344,-258.2995910644531,eta_3_bot,110.0
3,3,357.89473684210526,8000,9720,400,2580,24,24,12,200,14,24,200,12.8,390,1.08,0.18179012,5,-0.002,421.2000000000001,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,1,30,30,12,12,12,1.7962890689537712,75.3161849975586,247.2496490478516,-310.1754455566406,eta_4_x,0.0,1.0754264795802626,75.3161849975586,66.2503433227539,-310.1754455566406,eta_3_bot,0.0
4,4,410.5263157894736,8000,9720,400,2580,24,24,12,200,14,24,200,12.8,390,1.08,0.18179012,5,-0.002,421.2000000000001,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,1,30,30,12,12,12,1.841816910613686,75.3161849975586,282.5712585449219,-362.2290954589844,eta_4_x,0.0,1.702365501845416,281.0838317871094,152.94117736816406,-634.3519897460938,eta_3_bot,0.0
5,5,463.1578947368421,8000,9720,400,2580,24,24,12,200,14,24,200,12.8,390,1.08,0.18179012,5,-0.002,421.2000000000001,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,1,30,30,12,12,12,2.1026559121155537,75.3161849975586,282.5712585449219,-408.6687316894531,eta_4_x,0.0,1.7213868295269987,75.3161849975586,152.94117736816406,-686.9840087890625,eta_3_bot,0.0
6,6,515.7894736842105,8000,9720,400,2580,24,24,12,200,14,24,200,12.8,390,1.08,0.18179012,5,-0.002,421.2000000000001,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,1,30,30,12,12,12,2.2694199353580227,75.3161849975586,152.94117736816406,-739.614990234375,eta_4_x,0.0,1.8282009252810296,75.3161849975586,152.94117736816406,-739.614990234375,eta_3_bot,0.0
7,7,568.421052631579,8000,9720,400,2580,24,24,12,200,14,24,200,12.8,390,1.08,0.18179012,5,-0.002,421.2000000000001,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,1,30,30,12,12,12,2.3563981016146345,75.3161849975586,152.94117736816406,-792.2470092773438,eta_4_x,0.0,1.859104675640576,75.3161849975586,152.94117736816406,-792.2470092773438,eta_3_bot,0.0
8,8,621.0526315789473,8000,9720,400,2580,24,24,12,200,14,24,200,12.8,390,1.08,0.18179012,5,-0.002,421.2000000000001,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,1,30,30,12,12,12,2.472775111764007,75.3161849975586,152.94117736816406,-844.8790283203125,eta_4_x,0.0,1.9028849177832263,75.3161849975586,152.94117736816406,-844.8790283203125,eta_3_bot,0.0
9,9,673.6842105263158,8000,9720,400,2580,24,24,12,200,14,24,200,12.8,390,1.08,0.18179012,5,-0.002,421.2000000000001,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,1,30,30,12,12,12,2.674807158015127,75.3161849975586,7447.05859375,-897.510009765625,eta_4_x,0.0,2.018694473317661,75.3161849975586,152.94117736816406,-897.510009765625,eta_3_bot,0.0
