,eta_min_s,x_s,y_s,z_s,Location_s,GP_count_s,eta_min_c,x_c,y_c,z_c,Location_c,GP_count_c,eta_min_shear,x_c_shear,y_c_shear,z_c_shear,Location_c_shear,element_count_shear,eta_min_c_stresses,x_c_stresses,y_c_stresses,z_c_stresses,Location_c_stresses,ID,eta_min_shear_reduced,x_c_shear_reduced,y_c_shear_reduced,z_c_shear_reduced,Location_c_shear_reduced,element_count_shear_reduced
0,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,0,,,,,,
0,0.9986404071125945,9666.2783203125,200.77381896972656,-224.22360229492188,eta_4,296,0.9906746236474565,9666.2783203125,53.797183990478516,-224.22360229492188,eta_3_bot,2,0.08578017903887517,9592.89230769231,127.28571428571428,0.0,bot,74,0.9972207154883641,9666.2783203125,200.77381896972656,-224.22360229492188,eta_y_bot_stresses,1,0.12966138185529535,9592.89230769231,5272.714285714286,0.0,bot,37.0
0,0.9997588418351019,9650.1611328125,234.23651123046875,-295.5664978027344,eta_4,22,2.42321286112388,9650.1611328125,62.763484954833984,-295.5664978027344,eta_3_bot,0,0.190318650825662,9554.76,148.5,0.0,bot,43,1.5307938971679451,9650.1611328125,62.763484954833984,-295.5664978027344,eta_y_bot_stresses,2,0.3203015600458817,9554.76,5251.5,0.0,bot,18.0
0,1.0069687442427977,9642.4013671875,281.0838317871094,-365.54620361328125,eta_4,0,3.704492892785704,9642.4013671875,75.3161849975586,-365.54620361328125,eta_3_bot,0,0.29371705600242637,9536.400000000001,178.20000000000005,0.0,bot,23,2.1457331908176656,9642.4013671875,281.0838317871094,-365.54620361328125,eta_y_bot_stresses,3,0.5490785503411347,9536.400000000001,5221.8,0.0,bot,5.0
0,1.0356200320767432,9642.4013671875,281.0838317871094,-442.8571472167969,eta_4,0,5.220215997653012,9642.4013671875,152.94117736816406,-726.890869140625,eta_3_bot,0,0.6685278742644022,9536.400000000001,178.20000000000005,0.0,bot,6,2.886611588252075,9642.4013671875,152.94117736816406,-726.890869140625,eta_y_bot_stresses,4,1.095156299987588,9536.400000000001,5221.8,0.0,bot,0.0
0,1.2587472834186462,9642.4013671875,281.0838317871094,-507.9831848144531,eta_4,0,5.66646550253117,9642.4013671875,152.94117736816406,-798.3198852539062,eta_3_bot,0,0.8754046873782083,9536.400000000001,178.20000000000005,0.0,bot,2,3.1074276970129193,9642.4013671875,152.94117736816406,-798.3198852539062,eta_y_bot_stresses,5,1.2363531590627397,9536.400000000001,5221.8,0.0,bot,0.0
0,1.8638526725551023,9642.4013671875,2226.798583984375,-573.1092529296875,eta_1,0,5.8028889804815575,9642.4013671875,2806.00146484375,-573.1092529296875,eta_3_top,0,0.2611779155983487,9536.400000000001,178.20000000000005,0.0,bot,54,3.1751933121176195,9642.4013671875,2593.99853515625,-573.1092529296875,eta_y_top_stresses,6,0.41879403127579595,9536.400000000001,5221.8,0.0,bot,27.0
0,1.9748418443746425,9642.4013671875,281.0838317871094,-638.2352905273438,eta_4,0,7.150647744776538,9642.4013671875,152.94117736816406,-941.1768798828125,eta_3_bot,0,1.7008714462816652,9536.400000000001,178.20000000000005,0.0,bot,0,3.8443929964648293,9642.4013671875,152.94117736816406,-941.1768798828125,eta_y_bot_stresses,7,2.388209461744725,9536.400000000001,5221.8,0.0,bot,0.0
0,2.4346429470832143,9430.3984375,281.0838317871094,-726.0504150390625,eta_4,0,7.844232440348793,9642.4013671875,152.94117736816406,-836.0521240234375,eta_3_bot,0,2.054869281998488,9536.400000000001,178.20000000000005,0.0,bot,0,4.1891469525577145,9642.4013671875,152.94117736816406,-1012.6058349609375,eta_y_bot_stresses,8,2.8073093706108576,9536.400000000001,5221.8,0.0,bot,0.0
0,2.8671596695599306,9275.201171875,281.0838317871094,-793.2772827148438,eta_4,0,8.61532341163638,9642.4013671875,152.94117736816406,-1084.0338134765625,eta_3_bot,0,2.4637422508722127,9536.400000000001,178.20000000000005,0.0,bot,0,4.573078772080549,9642.4013671875,152.94117736816406,-1084.0338134765625,eta_y_bot_stresses,9,3.3342985294176417,9536.400000000001,5221.8,0.0,bot,0.0
0,3.2956501878712534,9642.4013671875,2806.00146484375,-860.5042114257812,eta_1,0,13.383527800926688,9642.4013671875,2593.99853515625,-860.5042114257812,eta_3_top,0,0.5018731699192299,9536.400000000001,178.20000000000005,0.0,bot,27,6.951619851776013,9642.4013671875,2593.99853515625,-860.5042114257812,eta_y_top_stresses,10,1.1711127310487655,9536.400000000001,5221.8,0.0,bot,0.0
