,ID,t_p,L,b1,t_w,h_w,d1_plate,d4_plate,d2_plate,s_plate,d1_walls,d4_walls,s_walls,fcc,fsy,fsu_fac,s,beta,ecu,fsu,b2,alpha_l,l_sec,b_sec1_b1,b_sec2_b1,b_sec1_b2,b_sec2_b2,h_S1_3,h_S7_9,h_v,l_v,left_p,right_p,h_b,b_b,esu,h_G,gamma_E,phi_k,q_Gl,b_Bs,Q_k,withMPCs,offsetmodeling,mesh_size_factor,oo,uu,d3_plate,d2_walls,d3_walls,eta_min_s,x_s,y_s,z_s,Location_s,GP_count_s,eta_min_c,x_c,y_c,z_c,Location_c,GP_count_c
0,0,200.0,5800,9720,400,2580,24,24,12,200,14,24,200,12.8,390,1.08,0.18179012,5,-0.002,421.2000000000001,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,1,30,30,12,12,12,0.0,,,,,,0.0,,,,,
1,1,252.6315789473684,5800,9720,400,2580,24,24,12,200,14,24,200,12.8,390,1.08,0.18179012,5,-0.002,421.2000000000001,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,1,30,30,12,12,12,1.810079365743064,1039.0958251953125,175.67738342285156,-206.6985626220703,eta_4_x,0.0,1.1150272407512718,934.8118896484376,175.67738342285156,-206.6985626220703,eta_3_bot,0.0
2,2,305.2631578947368,5800,9720,400,2580,24,24,12,200,14,24,200,12.8,390,1.08,0.18179012,5,-0.002,421.2000000000001,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,1,30,30,12,12,12,2.175345118677896,1104.7777099609375,62.763484954833984,-258.2995910644531,eta_4_x,0.0,2.0424137167552434,1104.7777099609375,62.763484954833984,-258.2995910644531,eta_3_bot,0.0
3,3,357.89473684210526,5800,9720,400,2580,24,24,12,200,14,24,200,12.8,390,1.08,0.18179012,5,-0.002,421.2000000000001,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,1,30,30,12,12,12,3.116990387622913,993.8837890625,281.0838317871094,-310.1754455566406,eta_4_x,0.0,3.1622969575913054,1144.5162353515625,75.3161849975586,-310.1754455566406,eta_3_bot,0.0
4,4,410.5263157894736,5800,9720,400,2580,24,24,12,200,14,24,200,12.8,390,1.08,0.18179012,5,-0.002,421.2000000000001,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,1,30,30,12,12,12,3.8896711768991423,75.3161849975586,281.0838317871094,-362.2290954589844,eta_4_x,0.0,3.473333006619196,431.7161865234375,152.94117736816406,-634.3519897460938,eta_3_bot,0.0
5,5,463.1578947368421,5800,9720,400,2580,24,24,12,200,14,24,200,12.8,390,1.08,0.18179012,5,-0.002,421.2000000000001,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,1,30,30,12,12,12,4.542999613344692,75.3161849975586,281.0838317871094,-408.6687316894531,eta_4_x,0.0,3.556192709438938,431.7161865234375,152.94117736816406,-686.9840087890625,eta_3_bot,0.0
6,6,515.7894736842105,5800,9720,400,2580,24,24,12,200,14,24,200,12.8,390,1.08,0.18179012,5,-0.002,421.2000000000001,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,1,30,30,12,12,12,5.058974473610487,75.3161849975586,5247.05859375,-739.614990234375,eta_4_x,0.0,3.859463504428532,431.7161865234375,152.94117736816406,-739.614990234375,eta_3_bot,0.0
7,7,568.421052631579,5800,9720,400,2580,24,24,12,200,14,24,200,12.8,390,1.08,0.18179012,5,-0.002,421.2000000000001,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,1,30,30,12,12,12,5.275435887178867,75.3161849975586,5247.05859375,-792.2470092773438,eta_4_x,0.0,3.937061802945119,75.3161849975586,152.94117736816406,-792.2470092773438,eta_3_bot,0.0
8,8,621.0526315789473,5800,9720,400,2580,24,24,12,200,14,24,200,12.8,390,1.08,0.18179012,5,-0.002,421.2000000000001,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,1,30,30,12,12,12,5.619964640827124,75.3161849975586,5247.05859375,-844.8790283203125,eta_4_x,0.0,4.110741339800821,75.3161849975586,152.94117736816406,-844.8790283203125,eta_3_bot,0.0
9,9,673.6842105263158,5800,9720,400,2580,24,24,12,200,14,24,200,12.8,390,1.08,0.18179012,5,-0.002,421.2000000000001,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,1,30,30,12,12,12,5.779527423068775,75.3161849975586,2226.798583984375,-614.2415161132812,eta_1_x,0.0,4.2333448758980445,75.3161849975586,152.94117736816406,-897.510009765625,eta_3_bot,0.0
10,10,726.3157894736842,5800,9720,400,2580,24,24,12,200,14,24,200,12.8,390,1.08,0.18179012,5,-0.002,421.2000000000001,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,1,30,30,12,12,12,6.142256894674226,75.3161849975586,2438.801513671875,-683.59130859375,eta_1_x,0.0,4.547500515733631,75.3161849975586,152.94117736816406,-950.1420288085938,eta_3_bot,0.0
11,11,778.9473684210526,5800,9720,400,2580,24,24,12,200,14,24,200,12.8,390,1.08,0.18179012,5,-0.002,421.2000000000001,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,1,30,30,12,12,12,6.555275692348856,75.3161849975586,2226.798583984375,-733.126953125,eta_1_x,0.0,4.8497163463150095,75.3161849975586,152.94117736816406,-1002.7730102539062,eta_3_bot,0.0
12,12,831.578947368421,5800,9720,400,2580,24,24,12,200,14,24,200,12.8,390,1.08,0.18179012,5,-0.002,421.2000000000001,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,1,30,30,12,12,12,6.853999866800989,75.3161849975586,2593.99853515625,-782.6625366210938,eta_1_x,0.0,4.959050125106558,75.3161849975586,5247.05859375,-891.552978515625,eta_3_bot,0.0
13,13,884.2105263157895,5800,9720,400,2580,24,24,12,200,14,24,200,12.8,390,1.08,0.18179012,5,-0.002,421.2000000000001,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,1,30,30,12,12,12,7.26684541972433,75.3161849975586,2806.00146484375,-832.1981201171875,eta_1_x,0.0,5.245916958151127,75.3161849975586,5247.05859375,-944.1849975585938,eta_3_bot,0.0
