,mu_min_s,x_s,y_s,z_s,GP_count_s,mu_min_c,x_c,y_c,z_c,GP_count_c
0,1.6879963814584948,2025.42578125,152.94117736816406,-379.9219970703125,0,0.8979540699790657,956.2257080078125,429.4336242675781,-152.94117736816406,16
0,1.6554346524956598,135.56912231445312,147.82608032226562,-446.5889892578125,0,2.3927299430635967,135.56912231445312,147.82608032226562,-446.5889892578125,0
0,1.7059269873869793,169.46141052246094,157.14285278320312,-513.2550048828125,0,3.453240731103665,169.46141052246094,157.14285278320312,-513.2550048828125,0
0,1.7125330586655896,225.94854736328125,152.94117736816406,-579.9219970703125,0,3.325192713901473,225.94854736328125,2415.1064453125,-352.941162109375,0
0,1.7789319151920122,225.94854736328125,152.94117736816406,-646.5889892578125,0,4.309997874838766,225.94854736328125,2415.1064453125,-411.76470947265625,0
0,1.8838562674238835,225.94854736328125,152.94117736816406,-1204.81103515625,0,5.967062358273592,225.94854736328125,2415.1064453125,-486.2745056152344,0
0,2.334687460293522,225.94854736328125,152.94117736816406,-779.9219970703125,0,7.644529001430246,225.94854736328125,2415.1064453125,-547.058837890625,0
0,2.776028384182365,225.94854736328125,152.94117736816406,-846.5889892578125,0,8.98877672778567,225.94854736328125,2415.1064453125,-607.8431396484375,0
0,3.5783310476748618,225.94854736328125,152.94117736816406,-913.2550048828125,0,11.907202255038897,225.94854736328125,2415.1064453125,-690.1961059570312,0
0,4.421354505697331,225.94854736328125,152.94117736816406,-979.9219970703125,0,15.091239720304845,225.94854736328125,2415.1064453125,-752.941162109375,0
