,ID,h_G,L,b1,t_p,t_w,h_w,alpha_l,h_v,l_v,oo,uu,d4_plate,d3_plate,d2_plate,d1_plate,s_plate,d4_walls,d3_walls,d2_walls,d1_walls,s_walls,fcc,fsy,fsu_fac,esu,s1,beta1,s2,beta2,gamma_E,phi_k,q_Gl,b_Bs,Q_k,l_sec,b_sec1_b1,b_sec2_b1,h_S1_3,h_S7_9,mesh_size_factor,b2,b_sec1_b2,b_sec2_b2,ecu,fsu,eta_min_s,x_s,y_s,z_s,Location_s,GP_count_s,eta_min_c,x_c,y_c,z_c,Location_c,GP_count_c,eta_min_shear,x_c_shear,y_c_shear,z_c_shear,Location_c_shear,element_count_shear,eta_min_shear_reduced,x_c_shear_reduced,y_c_shear_reduced,z_c_shear_reduced,Location_c_shear_reduced,element_count_shear_reduced,eta_min_c_stresses,x_c_stresses,y_c_stresses,z_c_stresses,Location_c_stresses
0,0,300.0,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,1.0214384826258414,9642.4013671875,281.0838317871094,-352.941162109375,eta_4,0,4.729112861770942,9642.4013671875,75.3161849975586,-352.941162109375,eta_3_bot,0,0.4967395187574374,9536.4,178.20000000000005,0.0,bot,10,0.9786530405306888,9536.4,5221.8,0.0,bot,1,2.646147388142429,9642.4013671875,281.0838317871094,-352.941162109375,eta_y_bot_stresses
1,1,385.7142857142857,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,1.0248308652569291,9642.4013671875,281.0838317871094,-352.941162109375,eta_4,0,5.004261645938365,9642.4013671875,75.3161849975586,-352.941162109375,eta_3_bot,0,0.5660178063609804,9536.4,178.20000000000005,0.0,bot,9,1.0755998561474804,9536.4,5221.8,0.0,bot,0,2.7811836754420485,9642.4013671875,281.0838317871094,-352.941162109375,eta_y_bot_stresses
2,2,471.4285714285714,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,1.028341315305547,9642.4013671875,281.0838317871094,-352.941162109375,eta_4,0,5.273010164817352,9642.4013671875,75.3161849975586,-352.941162109375,eta_3_bot,0,0.6399130866762347,9536.4,178.20000000000005,0.0,bot,8,1.1748702012168313,9536.4,5221.8,0.0,bot,0,2.9134030108936555,9642.4013671875,281.0838317871094,-352.941162109375,eta_y_bot_stresses
3,3,557.1428571428571,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,1.032181528556434,9642.4013671875,281.0838317871094,-352.941162109375,eta_4,0,5.528753578068896,9642.4013671875,75.3161849975586,-352.941162109375,eta_3_bot,0,0.7143459025725745,9536.4,178.20000000000005,0.0,bot,7,1.2656631246865655,9536.4,5221.8,0.0,bot,0,3.0394223892088443,9642.4013671875,281.0838317871094,-352.941162109375,eta_y_bot_stresses
4,4,642.8571428571429,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,1.0365161070801734,9642.4013671875,281.0838317871094,-352.941162109375,eta_4,0,5.741222511745493,9642.4013671875,281.0838317871094,-352.941162109375,eta_3_bot,0,0.7868680831663329,9536.4,178.20000000000005,0.0,bot,7,1.371721145661342,9536.4,5221.8,0.0,bot,0,3.144497036577875,9642.4013671875,281.0838317871094,-352.941162109375,eta_y_bot_stresses
5,5,728.5714285714286,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,1.0252859371762726,9642.4013671875,281.0838317871094,-352.941162109375,eta_4,0,5.005238477612203,9642.4013671875,75.3161849975586,-352.941162109375,eta_3_bot,0,0.5847273291867263,9536.4,178.20000000000005,0.0,bot,8,1.184599883538691,9536.4,5221.8,0.0,bot,0,2.781572861929046,9642.4013671875,281.0838317871094,-352.941162109375,eta_y_bot_stresses
6,6,814.2857142857142,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,1.0278526322133568,9642.4013671875,281.0838317871094,-352.941162109375,eta_4,0,5.1771536268753575,9642.4013671875,75.3161849975586,-352.941162109375,eta_3_bot,0,0.5983873972271306,9536.4,178.20000000000005,0.0,bot,10,1.2669368437060402,9536.4,5221.8,0.0,bot,0,2.8662779176426207,9642.4013671875,281.0838317871094,-352.941162109375,eta_y_bot_stresses
7,7,900.0,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,1.0097269085293257,9642.4013671875,281.0838317871094,-352.941162109375,eta_4,0,3.824455953418752,9642.4013671875,75.3161849975586,-352.941162109375,eta_3_bot,0,0.3290568936860941,9536.4,178.20000000000005,0.0,bot,15,0.6641628949388197,9536.4,5221.8,0.0,bot,2,2.204294996576896,9642.4013671875,281.0838317871094,-352.941162109375,eta_y_bot_stresses
8,8,985.7142857142856,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,1.012477394662601,9642.4013671875,281.0838317871094,-352.941162109375,eta_4,0,3.99832180544921,9642.4013671875,75.3161849975586,-352.941162109375,eta_3_bot,0,0.3697363118758263,9536.4,178.20000000000005,0.0,bot,14,0.7603986350481984,9536.4,5221.8,0.0,bot,1,2.2884838090642425,9642.4013671875,281.0838317871094,-352.941162109375,eta_y_bot_stresses
9,9,1071.428571428571,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,1.0151515635901505,9642.4013671875,281.0838317871094,-352.941162109375,eta_4,0,4.174408297173481,9642.4013671875,75.3161849975586,-352.941162109375,eta_3_bot,0,0.4153110535001684,9536.4,178.20000000000005,0.0,bot,13,0.8678896606536188,9536.4,5221.8,0.0,bot,1,2.3736463997784387,9642.4013671875,281.0838317871094,-352.941162109375,eta_y_bot_stresses
10,10,1157.142857142857,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,1.0177956974804692,9642.4013671875,281.0838317871094,-352.941162109375,eta_4,0,4.349700942237722,9642.4013671875,75.3161849975586,-352.941162109375,eta_3_bot,0,0.4644520648971922,9536.4,178.20000000000005,0.0,bot,11,0.9624516521216384,9536.4,5221.8,0.0,bot,1,2.459216473765652,9642.4013671875,281.0838317871094,-352.941162109375,eta_y_bot_stresses
11,11,1242.857142857143,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,1.019060950218012,9642.4013671875,281.0838317871094,-352.941162109375,eta_4,0,4.428292100413191,9642.4013671875,75.3161849975586,-352.941162109375,eta_3_bot,0,0.494470104971115,9536.4,178.20000000000005,0.0,bot,11,0.848724747935127,9536.4,5221.8,0.0,bot,1,2.4974940457559978,9642.4013671875,281.0838317871094,-352.941162109375,eta_y_bot_stresses
12,12,1328.5714285714284,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,1.0216929539249096,9642.4013671875,281.0838317871094,-352.941162109375,eta_4,0,4.625085365578697,9642.4013671875,75.3161849975586,-352.941162109375,eta_3_bot,0,0.5489519645465811,9536.4,178.20000000000005,0.0,bot,7,0.9235546581610374,9536.4,5221.8,0.0,bot,1,2.5940698432950984,9642.4013671875,281.0838317871094,-352.941162109375,eta_y_bot_stresses
13,13,1414.2857142857142,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,1.0243546387489342,9642.4013671875,281.0838317871094,-352.941162109375,eta_4,0,4.83270749125999,9642.4013671875,75.3161849975586,-352.941162109375,eta_3_bot,0,0.6060918288678614,9536.4,178.20000000000005,0.0,bot,7,0.988159416060865,9536.4,5221.8,0.0,bot,1,2.696088259647724,9642.4013671875,281.0838317871094,-352.941162109375,eta_y_bot_stresses
14,14,1500.0,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,1.0270661362441114,9642.4013671875,281.0838317871094,-352.941162109375,eta_4,0,5.035989183386738,9642.4013671875,75.3161849975586,-352.941162109375,eta_3_bot,0,0.6664371966006443,9536.4,178.20000000000005,0.0,bot,5,1.054671055620762,9536.4,5221.8,0.0,bot,0,2.796132355084787,9642.4013671875,281.0838317871094,-352.941162109375,eta_y_bot_stresses
