,ID,t_w,L,b1,t_p,h_w,alpha_l,h_v,l_v,oo,uu,d4_plate,d3_plate,d2_plate,d1_plate,s_plate,d4_walls,d3_walls,d2_walls,d1_walls,s_walls,fcc,fsy,fsu_fac,esu,s1,beta1,s2,beta2,h_G,gamma_E,phi_k,q_Gl,b_Bs,Q_k,l_sec,b_sec1_b1,b_sec2_b1,h_S1_3,h_S7_9,mesh_size_factor,b2,b_sec1_b2,b_sec2_b2,ecu,fsu,eta_min_s,x_s,y_s,z_s,Location_s,GP_count_s,eta_min_c,x_c,y_c,z_c,Location_c,GP_count_c,eta_min_shear,x_c_shear,y_c_shear,z_c_shear,Location_c_shear,element_count_shear,eta_min_shear_reduced,x_c_shear_reduced,y_c_shear_reduced,z_c_shear_reduced,Location_c_shear_reduced,element_count_shear_reduced,eta_min_c_stresses,x_c_stresses,y_c_stresses,z_c_stresses,Location_c_stresses
0,0,200.0,5800,9720,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,1.0322269055009838,9484.5185546875,145.74716186523438,-352.941162109375,eta_4,0.0,1.5703904720631532,9678.91796875,52.94117736816406,-544.7061157226562,eta_3_bot,0.0,0.5356795809142143,9622.8,92.4,0.0,bot,29.0,0.8257751608369731,9622.8,5507.6,0.0,bot,1.0,1.151989323731099,9678.91796875,52.94117736816406,-544.7061157226562,eta_y_bot_stresses
1,1,271.42857142857144,5800,9720,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,0.0,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,
2,2,342.8571428571429,5800,9720,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,0.9998625023522294,9650.1611328125,236.7153167724609,-344.8275756835937,eta_4,16.0,2.8929860944482955,9650.1611328125,63.42768096923828,-344.8275756835937,eta_3_bot,0.0,0.1987125274099195,9554.76,150.07142857142856,0.0,bot,31.0,0.3456584474899344,9554.76,5307.071428571428,0.0,bot,8.0,1.7526198469478256,9650.1611328125,236.7153167724609,-344.8275756835937,eta_y_bot_stresses
3,3,414.2857142857143,5800,9720,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,1.0026948892737633,9642.4013671875,280.340087890625,-352.941162109375,eta_4,0.0,3.3763555018898304,9642.4013671875,75.11690521240234,-352.941162109375,eta_3_bot,0.0,0.2542815533506166,9536.4,177.7285714285714,0.0,bot,24.0,0.4626076030627549,9536.4,5207.9857142857145,0.0,bot,6.0,1.987074365649612,9642.4013671875,280.340087890625,-352.941162109375,eta_y_bot_stresses
4,4,485.7142857142857,5800,9720,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,1.0035111591776409,9642.4013671875,276.6222839355469,-352.941162109375,eta_4,0.0,3.3579544514833457,9642.4013671875,74.12071990966797,-352.941162109375,eta_3_bot,0.0,0.2632614953760637,9536.4,175.37142857142862,0.0,bot,24.0,0.4688891914399113,9536.4,5138.914285714286,0.0,bot,6.0,1.9775297157098268,9642.4013671875,74.12071990966797,-352.941162109375,eta_y_bot_stresses
5,5,557.1428571428571,5800,9720,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,1.0053656132016835,9642.4013671875,272.90447998046875,-352.941162109375,eta_4,0.0,3.4117876739791617,9642.4013671875,73.1245346069336,-352.941162109375,eta_3_bot,0.0,0.2819105654204927,9536.4,173.01428571428573,0.0,bot,23.0,1.7640362857181766,8802.0,519.0428571428572,0.0,bot,0.0,2.003097562868108,9642.4013671875,73.1245346069336,-352.941162109375,eta_y_bot_stresses
6,6,628.5714285714286,5800,9720,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,1.0074026849566513,9642.4013671875,269.18585205078125,-352.941162109375,eta_4,0.0,3.59242352193805,9642.4013671875,72.12813568115234,-352.941162109375,eta_3_bot,0.0,0.3087962459208678,9536.4,170.65714285714287,0.0,bot,22.0,1.7694397790431813,8802.000000000002,511.9714285714287,0.0,bot,0.0,2.0885019687110185,9642.4013671875,72.12813568115234,-352.941162109375,eta_y_bot_stresses
7,7,700.0,5800,9720,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,1.0344276726925523,9642.4013671875,265.4680480957031,-352.941162109375,eta_4,0.0,3.806834513006765,9642.4013671875,2449.887451171875,-352.941162109375,eta_3_top,0.0,0.4029865866279383,8802.0,0.0,-552.9,bot,62.0,2.105789000480753,9536.4,1178.1,0.0,top,0.0,2.191222424183473,9642.4013671875,2449.887451171875,-352.941162109375,eta_y_top_stresses
8,8,771.4285714285714,5800,9720,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,1.0129938036563122,9642.4013671875,261.750244140625,-352.941162109375,eta_4,0.0,3.6929666471842206,9642.4013671875,70.1357650756836,-352.941162109375,eta_3_bot,0.0,0.3715621691854574,9536.4,165.94285714285718,0.0,bot,18.0,1.918949923928976,9536.399999999998,4530.742857142857,0.0,bot,0.0,2.137860857587348,9642.4013671875,70.1357650756836,-352.941162109375,eta_y_bot_stresses
9,9,842.8571428571429,5800,9720,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,1.0226503904398894,9642.4013671875,258.0316467285156,-352.941162109375,eta_4,0.0,4.31610244038134,9642.4013671875,69.13936614990234,-352.941162109375,eta_3_bot,0.0,0.5483117787636848,9536.4,163.5857142857143,0.0,bot,14.0,2.018461461138551,9536.4,4466.385714285714,0.0,bot,0.0,2.441704829842029,9642.4013671875,69.13936614990234,-352.941162109375,eta_y_bot_stresses
