,Unnamed: 0,ID,L,b1,t_p,t_w,h_w,d1_plate,d4_plate,d2_plate,s_plate,d1_walls,d4_walls,s_walls,fcc,fsy,s,beta,ecu,fsu,b2,alpha_l,l_sec,b_sec1_b1,b_sec2_b1,b_sec1_b2,b_sec2_b2,h_S1_3,h_S7_9,h_v,l_v,left_p,right_p,h_b,b_b,esu,h_G,gamma_E,phi_k,q_Gl,b_Bs,Q_k,withMPCs,offsetmodeling,mesh_size_factor,oo,uu,d3_plate,d2_walls,d3_walls,eta_min_s,x_s,y_s,z_s,Location_s,GP_count_s,eta_min_c,x_c,y_c,z_c,Location_c,GP_count_c,eta_min_tot,vol_plate_conc,vol_plate_steel,w_plate_steel,vol_walls_conc,vol_walls_steel,w_walls_steel,GWP,AP,ADP-minerals-metals,ADP-fossil,ODP,POCP
10,10,8,6504.832701805115,7091.821565207918,775.5711262032268,380.5083186992356,3548.726164189723,19.42201161562864,16.415036385455743,27.19363487582111,112.63239305575864,13.44828158165576,13.890418120356616,340.3937014502434,43.27876937109598,307.6356962157333,0.5648825599470885,-34.309310956411665,-0.002,332.24655191299195,7091.821565207918,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,2.3104613948206523,944.9547119140624,5981.63330078125,-899.3101806640625,eta_4_x,0.0,6.930850896110777,164.85452270507812,5981.63330078125,-899.3101806640625,eta_3_bot,0.0,2.3104613948206523,35.77795913268947,0.4922183925356891,3863.9143814051595,19.152454527594386,0.10472089193481429,822.0590016882921,16868.19225827993,28.251304291895813,0.04828117112251355,123469.93664266344,0.0001799910640257781,5.068135918302818
11,11,9,14594.978781193013,11740.957466429596,959.721392287651,692.3524490285749,2073.2306103665883,20.350477407658445,22.55135464464657,28.57531131356977,318.9245314002675,23.12755245531629,11.570813256162769,260.5605013126577,49.95844526548,309.6492495067818,0.2553114016712857,6.687060614343864,-0.002,334.4211894673244,11740.957466429596,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,2.150126138881633,409.3907775878906,13602.6064453125,-1499.3056640625,eta_4_x,0.0,1.437186417966272,409.3907775878906,13602.6064453125,-2888.37060546875,eta_3_top,0.0,1.437186417966272,164.45692214372082,0.7947267356809729,6238.604875095637,33.70608840733758,0.3956543727400847,3105.8868260096647,61732.60484305263,97.80213168028445,0.196139044410047,370830.69870811823,0.0003671065718652994,12.909293755917819
12,12,10,14010.424750794064,6865.412345479579,1192.31183537242,520.2578748550628,4378.137503569102,29.51838782213739,20.7341315768497,10.61249983232306,386.06831818984006,10.97859321714252,27.23527962101256,390.3091194347599,41.43622761190567,420.0344797289813,0.1718684733469626,16.06821430602801,-0.002,453.6372381072998,6865.412345479579,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,1.6994632487658108,239.3873291015625,7186.4345703125,-1144.619384765625,eta_1_x,0.0,2.965672712910338,6618.7705078125,13251.7158203125,-2331.778076171875,eta_3_bot,0.0,1.6994632487658108,114.68530753096287,0.3048409810780088,2393.001701462369,31.27553029789797,0.21579502410796192,1693.990939247501,42726.42611228727,67.00831283370286,0.14163015007327268,245558.21216366885,0.00016454208972921117,6.907292929315128
13,13,11,14421.464595390764,3782.395993152272,673.9322671975183,1179.6556747221928,3074.888826292627,24.183177957551777,12.84212115429403,11.717829961521602,227.2720596131763,24.64596220741125,13.538616574428822,193.11465047546068,35.211573797268464,320.77207633188414,0.1967883154870802,-46.34943650121564,-0.002,346.4338424384349,3782.395993152272,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,2.1309496186223256,3510.629150390625,12933.9931640625,-627.4541625976562,eta_4_x,0.0,4.8595288283206335,263.7738037109375,1148.783447265625,-627.4541625976562,eta_3_bot,0.0,2.1309496186223256,36.761448325363645,0.19435758149616458,1525.707014744892,27.43984602135093,0.20258671990488653,1590.3057512533592,14822.150924963147,25.030365592950286,0.04035608223196023,97711.2636836733,0.00012069766580855328,3.475000283864431
14,14,11,14421.464595390764,3782.395993152272,673.9322671975183,1179.6556747221928,3074.888826292627,24.183177957551777,12.84212115429403,11.717829961521602,227.2720596131763,24.64596220741125,13.538616574428822,193.11465047546068,35.211573797268464,320.77207633188414,0.1967883154870802,-46.34943650121564,-0.002,346.4338424384349,3782.395993152272,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,2.1309496186223256,3510.629150390625,12933.9931640625,-627.4541625976562,eta_4_x,0.0,4.8595288283206335,263.7738037109375,1148.783447265625,-627.4541625976562,eta_3_bot,0.0,2.1309496186223256,36.761448325363645,0.19435758149616458,1525.707014744892,27.43984602135093,0.20258671990488653,1590.3057512533592,14822.150924963147,25.030365592950286,0.04035608223196023,97711.2636836733,0.00012069766580855328,3.475000283864431
15,15,12,16762.567042181676,3515.995165045586,221.2837987159259,1003.759538587016,4709.5730347406425,10.011527568523016,16.920702451260087,13.862634225247572,301.05985297490065,17.133832262203843,26.39653385675326,363.7937678640442,30.61807033210105,304.0055423273163,0.5981545304547226,-0.8949309823384652,-0.002,328.3259857135016,3515.995165045586,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,0.0,,,,,,0.0,,,,,,0.0,13.041826407594872,0.11111993800384128,872.291513330154,33.24217920509767,0.1440979887280005,1131.169211514804,10624.721917554642,17.810777426247896,0.02948088363674635,68045.19011199243,7.790159125362295e-05,2.3146802704074543
16,16,12,16762.567042181676,3515.995165045586,221.2837987159259,1003.759538587016,4709.5730347406425,10.011527568523016,16.920702451260087,13.862634225247572,301.05985297490065,17.133832262203843,26.39653385675326,363.7937678640442,30.61807033210105,304.0055423273163,0.5981545304547226,-0.8949309823384652,-0.002,328.3259857135016,3515.995165045586,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,0.0,,,,,,0.0,,,,,,0.0,13.041826407594872,0.11111993800384128,872.291513330154,33.24217920509767,0.1440979887280005,1131.169211514804,10624.721917554642,17.810777426247896,0.02948088363674635,68045.19011199243,7.790159125362295e-05,2.3146802704074543
17,17,13,13009.538905225168,12624.441519572516,257.4816680207035,1154.712032676519,2328.0654272181814,19.430053217235987,28.49390925738656,27.065849770462343,487.6719219136998,17.34309062129194,13.005717000893396,422.57117584824255,39.12682384518379,303.02519880108184,0.7934500272525981,-9.421449195120914,-0.002,327.2672147051684,12624.441519572516,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,0.0,,,,,,0.0,,,,,,0.0,42.28831618909105,0.5464676228764416,4289.770839580066,67.8751876674785,0.22716812037502165,1783.26974494392,32996.35427490712,53.45423922772946,0.10212980299882808,214818.12848369454,0.00023627338543793776,7.556847729419276
18,18,14,8117.579303069114,18381.234381456423,870.0676011728999,341.64022461621346,2038.3033195656,25.40789574985096,21.298217643533587,25.11450952526132,190.28969064796507,19.614006197828207,16.69423900937648,102.56455410928685,37.21937893445602,434.7171266485842,0.4050445147610791,49.79661942621706,-0.002,469.49449678047097,18381.234381456423,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,4.309627328852176,12320.2861328125,4142.37109375,-810.0629272460938,eta_1_x,0.0,9.219654883633506,12320.2861328125,3633.56787109375,-810.0629272460938,eta_3_top,0.0,4.309627328852176,129.8237680156502,1.1540521929548313,9059.309714695426,25.600148172105524,1.0388046539798304,8154.616533741668,38305.54179170748,69.91500636963781,0.08227750440790416,331957.00473515317,0.0006549035227007506,15.996407171451928
19,19,15,2946.795384294208,16821.141568672276,890.8124339447475,386.66867628651664,4115.168458630715,23.588087845947065,13.525242078594134,24.48104408330221,212.68866947934703,29.83269646877944,20.9024650486125,361.7017283262866,42.82957662459396,379.0747525921336,0.828029357356139,-27.332840449773983,-0.002,409.40073279950434,16821.141568672276,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,3.17794815704826,14291.7451171875,146.4654083251953,-4862.49072265625,eta_4_x,0.0,9.475369365519777,14291.7451171875,146.4654083251953,-4862.49072265625,eta_3_bot,0.0,3.17794815704826,44.15620257786773,0.2713876489797471,2130.3930444910147,53.531827697140194,0.4608849893009548,3617.947166012495,29350.63628621206,47.750673342693155,0.0899852207746839,194072.83872053731,0.0002231331881184282,6.985780043178468
