,eta_min_s,x_s,y_s,z_s,Location_s,GP_count_s,eta_min_c,x_c,y_c,z_c,Location_c,GP_count_c
0,1.659568721019223,225.94854736328125,2506.003662109375,-360.0,eta_1_x,0,2.59859012313448,225.94854736328125,188.2904510498047,-360.0,eta_3_bot,0
0,1.7685261921924156,225.94854736328125,2506.003662109375,-352.941162109375,eta_1_x,0,2.9422357795207357,225.94854736328125,152.94117736816406,-1071.47802734375,eta_3_bot,0
0,1.8359188605440113,225.94854736328125,1975.9962158203125,-352.941162109375,eta_1_x,0,3.0791623510569335,225.94854736328125,152.94117736816406,-1071.47802734375,eta_3_bot,0
0,2.1606883369613508,225.94854736328125,2506.003662109375,-352.941162109375,eta_1_x,0,3.149594442445123,225.94854736328125,1975.9962158203125,-352.941162109375,eta_3_top,0
0,2.527305183035779,225.94854736328125,2506.003662109375,-352.941162109375,eta_1_x,0,3.197359084863451,225.94854736328125,1975.9962158203125,-352.941162109375,eta_3_top,0
0,2.930354558846626,225.94854736328125,1975.9962158203125,-352.941162109375,eta_1_x,0,3.2492987020011994,225.94854736328125,1975.9962158203125,-352.941162109375,eta_3_top,0
0,3.368375606568836,225.94854736328125,2506.003662109375,-352.941162109375,eta_1_x,0,3.3138297185856245,225.94854736328125,1975.9962158203125,-352.941162109375,eta_3_top,0
0,3.83950693831798,225.94854736328125,1975.9962158203125,-352.941162109375,eta_1_x,0,3.3694871170072136,225.94854736328125,1975.9962158203125,-352.941162109375,eta_3_top,0
0,4.337259295304931,225.94854736328125,2506.003662109375,-352.941162109375,eta_1_x,0,3.4246341880764413,225.94854736328125,1975.9962158203125,-352.941162109375,eta_3_top,0
0,4.866692760748725,225.94854736328125,2506.003662109375,-352.941162109375,eta_1_x,0,3.4762967938303557,225.94854736328125,1975.9962158203125,-352.941162109375,eta_3_top,0
