,mu_min_s,x_s,y_s,z_s,GP_count_s,mu_min_c,x_c,y_c,z_c,GP_count_c
0,1.6638482117638844,1716.7742919921875,152.94117736816406,-379.9219970703125,0,1.4565385415071712,1182.17431640625,5274.47314453125,-152.94117736816406,0
0,1.6967075920547954,1147.4708251953125,147.82608032226562,-938.14501953125,0,2.7882112918710606,1788.9908447265625,2876.669189453125,-220.28985595703125,0
0,1.682326478992311,169.46141052246094,157.14285278320312,-513.2550048828125,0,2.9644721670525573,169.46141052246094,1975.9962158203125,-285.71429443359375,0
0,1.7870401685166664,225.94854736328125,152.94117736816406,-579.9219970703125,0,4.278336599449826,225.94854736328125,1975.9962158203125,-352.941162109375,0
0,1.9192952587721697,225.94854736328125,152.94117736816406,-646.5889892578125,0,5.511185758127838,225.94854736328125,1975.9962158203125,-411.76470947265625,0
0,2.4420904362699023,225.94854736328125,152.94117736816406,-1204.81103515625,0,7.39571438506459,225.94854736328125,1975.9962158203125,-486.2745056152344,0
0,3.012933171335595,225.94854736328125,152.94117736816406,-1271.47802734375,0,9.288393952009239,225.94854736328125,1975.9962158203125,-547.058837890625,0
0,3.53776335992271,225.94854736328125,152.94117736816406,-1338.14501953125,0,11.569087394750301,225.94854736328125,1975.9962158203125,-607.8431396484375,0
0,5.387121371869899,225.94854736328125,152.94117736816406,-1404.81103515625,0,15.605656397709277,225.94854736328125,1975.9962158203125,-690.1961059570312,0
0,6.247021767106805,225.94854736328125,152.94117736816406,-979.9219970703125,0,20.26420685159223,225.94854736328125,1975.9962158203125,-752.941162109375,0
