,eta_min_s,x_s,y_s,z_s,Location_s,GP_count_s,eta_min_c,x_c,y_c,z_c,Location_c,GP_count_c
0,3.5249917302325664,232.4573516845703,2506.003662109375,-352.941162109375,eta_1_x,0,3.3468290372942455,232.4573516845703,1975.9962158203125,-352.941162109375,eta_3_top,0
0,4.713395952302182,1639.61865234375,1975.9962158203125,-352.941162109375,eta_1_x,0,4.300870778752685,2027.0474853515625,1975.9962158203125,-352.941162109375,eta_3_top,0
0,5.040216802538549,2229.7529296875,2506.003662109375,-352.941162109375,eta_1_x,0,4.393568586001147,2229.7529296875,1975.9962158203125,-352.941162109375,eta_3_top,0
0,4.901774244584676,2432.457275390625,2506.003662109375,-352.941162109375,eta_1_x,0,4.251918218506949,2432.457275390625,1975.9962158203125,-352.941162109375,eta_3_top,0
0,4.753035824710933,2635.161865234375,2506.003662109375,-352.941162109375,eta_1_x,0,4.128717517929747,2635.161865234375,1975.9962158203125,-352.941162109375,eta_3_top,0
0,4.425359285556391,2863.039794921875,2506.003662109375,-352.941162109375,eta_1_x,0,3.894915641787458,2863.039794921875,1975.9962158203125,-352.941162109375,eta_3_top,0
0,4.708831064087254,2432.457275390625,2506.003662109375,-352.941162109375,eta_1_x,0,4.133226645873668,2432.457275390625,1975.9962158203125,-352.941162109375,eta_3_top,0
0,5.186711373631157,2594.621337890625,2506.003662109375,-352.941162109375,eta_1_x,0,4.545045649947469,2594.621337890625,1975.9962158203125,-352.941162109375,eta_3_top,0
0,5.220040582438305,3336.2099609375,2506.003662109375,-352.941162109375,eta_2_y,0,4.561353777628859,3336.2099609375,2506.003662109375,-352.941162109375,eta_3_top,0
0,5.148524142163054,3532.457275390625,1975.9962158203125,-352.941162109375,eta_1_x,0,4.463932149793346,3532.457275390625,2506.003662109375,-352.941162109375,eta_3_top,0
