,ID,beta1,L,b1,t_p,t_w,h_w,alpha_l,h_v,l_v,oo,uu,d4_plate,d3_plate,d2_plate,d1_plate,s_plate,d4_walls,d3_walls,d2_walls,d1_walls,s_walls,fcc,fsy,fsu_fac,esu,s1,h_G,gamma_E,phi_k,q_Gl,b_Bs,Q_k,l_sec,b_sec1_b1,b_sec2_b1,h_S1_3,h_S7_9,mesh_size_factor,b2,b_sec1_b2,b_sec2_b2,ecu,fsu,eta_min_s,x_s,y_s,z_s,Location_s,GP_count_s,eta_min_c,x_c,y_c,z_c,Location_c,GP_count_c,eta_min_shear,x_c_shear,y_c_shear,z_c_shear,Location_c_shear,element_count_shear,eta_min_shear_reduced,x_c_shear_reduced,y_c_shear_reduced,z_c_shear_reduced,Location_c_shear_reduced,element_count_shear_reduced,eta_min_c_stresses,x_c_stresses,y_c_stresses,z_c_stresses,Location_c_stresses
0,0,-50.0,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,0.5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,1.632791641535441,225.94854736328125,188.2904510498047,-352.941162109375,eta_4,0,5.736528612114302,2364.3486328125,1975.9962158203125,-352.941162109375,eta_3_top,0,1.4927760545660411,2673.0,445.5,0.0,bot,0,1.4927760545660411,2673.0,445.5,0.0,bot,0,3.1425629334201965,1912.451416015625,1975.9962158203125,-352.941162109375,eta_y_top_stresses
1,1,-42.85714285714285,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,0.5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,1.772425762775656,2364.3486328125,188.2904510498047,-352.941162109375,eta_4,0,5.9777004272453,2981.6513671875,1975.9962158203125,-352.941162109375,eta_3_top,0,1.4715034420868354,2673.0,445.5,0.0,bot,0,1.4715034420868354,2673.0,445.5,0.0,bot,0,3.261670217284881,2981.6513671875,1975.9962158203125,-352.941162109375,eta_y_top_stresses
2,2,-35.714285714285715,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,0.5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,1.8892227514301183,2364.3486328125,188.2904510498047,-352.941162109375,eta_4,0,7.269010080222049,2981.6513671875,1975.9962158203125,-352.941162109375,eta_3_top,0,1.7302980589462054,3742.2000000000007,445.5,0.0,bot,0,1.7302980589462054,3742.2000000000007,445.5,0.0,bot,0,3.902974795564598,2981.6513671875,1975.9962158203125,-352.941162109375,eta_y_top_stresses
3,3,-28.57142857142857,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,0.5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,1.8213599724404197,3433.548583984375,188.2904510498047,-352.941162109375,eta_4,0,6.346069224395835,4050.8515625,1975.9962158203125,-352.941162109375,eta_3_top,0,1.5555338179184903,3742.2000000000007,445.5,0.0,bot,0,1.5555338179184903,3742.2000000000007,445.5,0.0,bot,0,3.4444488460395197,4050.8515625,1975.9962158203125,-352.941162109375,eta_y_top_stresses
4,4,-21.428571428571427,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,0.5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,2.154694433063244,3433.548583984375,188.2904510498047,-352.941162109375,eta_4,0,7.845033912563509,4050.8515625,1975.9962158203125,-352.941162109375,eta_3_top,0,1.853832593830167,4811.400000000001,445.5,0.0,bot,0,1.853832593830167,4811.400000000001,445.5,0.0,bot,0,4.189567645577164,4050.8515625,1975.9962158203125,-352.941162109375,eta_y_top_stresses
5,5,-14.285714285714285,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,0.5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,1.9581396714649,4050.8515625,188.2904510498047,-352.941162109375,eta_4,0,6.866991079438861,4050.8515625,2506.003662109375,-352.941162109375,eta_3_top,0,1.6356347245970262,4811.400000000001,445.5,0.0,bot,0,1.6356347245970262,4811.400000000001,445.5,0.0,bot,0,3.703453615063022,4050.8515625,2506.003662109375,-352.941162109375,eta_y_top_stresses
6,6,-7.142857142857139,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,0.5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,1.834140284905214,4502.74853515625,188.2904510498047,-352.941162109375,eta_4,0,6.228728100352172,4502.74853515625,1975.9962158203125,-352.941162109375,eta_3_top,0,1.420687735938332,4811.400000000001,445.5,0.0,bot,0,1.420687735938332,4811.400000000001,445.5,0.0,bot,0,3.386404738732153,4502.74853515625,1975.9962158203125,-352.941162109375,eta_y_top_stresses
7,7,0.0,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,0.5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,1.83020428484796,4502.74853515625,188.2904510498047,-352.941162109375,eta_4,0,6.18300120016998,4502.74853515625,1975.9962158203125,-352.941162109375,eta_3_top,0,1.4148678580609722,4811.400000000001,445.5,0.0,bot,0,1.4148678580609722,4811.400000000001,445.5,0.0,bot,0,3.363728138500307,4502.74853515625,1975.9962158203125,-352.941162109375,eta_y_top_stresses
8,8,7.142857142857146,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,0.5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,1.7409963366377024,5120.05126953125,188.2904510498047,-352.941162109375,eta_4,0,5.866942229729932,5120.05126953125,2506.003662109375,-352.941162109375,eta_3_top,0,1.3445611562789388,4811.400000000001,445.5,0.0,bot,0,1.3445611562789388,4811.400000000001,445.5,0.0,bot,0,3.20682365116892,5120.05126953125,2506.003662109375,-352.941162109375,eta_y_top_stresses
9,9,14.285714285714292,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,0.5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,1.955219834713652,5571.94873046875,188.2904510498047,-352.941162109375,eta_4,0,6.864207593118,5571.94873046875,1975.9962158203125,-352.941162109375,eta_3_top,0,1.632711869525365,4811.400000000001,445.5,0.0,bot,0,1.632711869525365,4811.400000000001,445.5,0.0,bot,0,3.702076440365191,5571.94873046875,2506.003662109375,-352.941162109375,eta_y_top_stresses
