,eta_min_s,x_s,y_s,z_s,Location_s,GP_count_s,eta_min_c,x_c,y_c,z_c,Location_c,GP_count_c,ID
0,6.009173856267083,225.94854736328125,5247.05859375,-1071.47802734375,eta_4_x,0,4.050106942968732,225.94854736328125,152.94117736816406,-1071.47802734375,eta_3_bot,0,0
0,5.78764533225723,225.94854736328125,5247.05859375,-1071.47802734375,eta_4_x,0,3.890137245902248,225.94854736328125,152.94117736816406,-1071.47802734375,eta_3_bot,0,1
0,5.579885888030068,225.94854736328125,1975.9962158203125,-352.941162109375,eta_1_x,0,3.7807710859918506,225.94854736328125,152.94117736816406,-1071.47802734375,eta_3_bot,0,2
0,4.90073924576928,225.94854736328125,2506.003662109375,-352.941162109375,eta_1_x,0,3.6989630840457965,225.94854736328125,152.94117736816406,-1071.47802734375,eta_3_bot,0,3
0,4.381616346151436,225.94854736328125,2506.003662109375,-352.941162109375,eta_1_x,0,3.640305649000667,225.94854736328125,152.94117736816406,-1071.47802734375,eta_3_bot,0,4
0,3.970601377233688,225.94854736328125,1975.9962158203125,-352.941162109375,eta_1_x,0,3.5260622592810495,225.94854736328125,2506.003662109375,-352.941162109375,eta_3_top,0,5
0,3.6307474492543976,225.94854736328125,2506.003662109375,-352.941162109375,eta_1_x,0,3.3856575485760816,225.94854736328125,1975.9962158203125,-352.941162109375,eta_3_top,0,6
0,3.352520398216382,225.94854736328125,1975.9962158203125,-352.941162109375,eta_1_x,0,3.263844860179374,225.94854736328125,1975.9962158203125,-352.941162109375,eta_3_top,0,7
0,3.1170538064274993,225.94854736328125,1975.9962158203125,-352.941162109375,eta_1_x,0,3.157067158570143,225.94854736328125,1975.9962158203125,-352.941162109375,eta_3_top,0,8
0,2.9133682375024588,225.94854736328125,1975.9962158203125,-352.941162109375,eta_1_x,0,3.063763354400582,225.94854736328125,2506.003662109375,-352.941162109375,eta_3_top,0,9
