,eta_min_s,x_s,y_s,z_s,Location_s,GP_count_s,eta_min_c,x_c,y_c,z_c,Location_c,GP_count_c
0,2.5928247220920846,956.2257080078125,2424.590576171875,-352.941162109375,eta_1_x,0,1.5051044880752853,112.97427368164062,52.94117736816406,-735.739013671875,eta_3_bot,0
0,2.617152522578567,135.56912231445312,2947.69775390625,-347.8260803222656,eta_1_x,0,1.630979696901286,135.56912231445312,86.9565200805664,-735.739013671875,eta_3_bot,0
0,3.0618210397413184,169.46141052246094,2536.94189453125,-357.1428527832031,eta_1_x,0,2.6267694127650194,169.46141052246094,119.04762268066406,-1071.47802734375,eta_3_bot,0
0,3.5060048217493036,225.94854736328125,1975.9962158203125,-352.941162109375,eta_1_x,0,3.331092717057099,225.94854736328125,1975.9962158203125,-352.941162109375,eta_3_top,0
0,3.8688009689318834,225.94854736328125,1951.601318359375,-352.941162109375,eta_1_x,0,3.6278937707449317,225.94854736328125,2475.065673828125,-352.941162109375,eta_3_top,0
0,4.195141909677426,225.94854736328125,2444.126953125,-352.941162109375,eta_1_x,0,3.9011655976793564,225.94854736328125,1927.2061767578125,-352.941162109375,eta_3_top,0
0,4.467661333540372,225.94854736328125,1902.8111572265625,-352.941162109375,eta_1_x,0,4.121831069977793,225.94854736328125,1902.8111572265625,-352.941162109375,eta_3_top,0
0,4.630045618576655,225.94854736328125,4954.3408203125,-352.941162109375,eta_4_x,0,4.335018258753987,225.94854736328125,1878.416259765625,-352.941162109375,eta_3_top,0
0,4.73120491919408,225.94854736328125,176.66758728027344,-352.941162109375,eta_4_x,0,4.515971608043801,225.94854736328125,2351.31201171875,-352.941162109375,eta_3_top,0
0,4.841766043982306,225.94854736328125,174.343017578125,-352.941162109375,eta_4_x,0,4.68710771849475,225.94854736328125,1829.6260986328125,-352.941162109375,eta_3_top,0
