,ID,h_w,L,b1,t_p,t_w,alpha_l,h_v,l_v,oo,uu,d4_plate,d3_plate,d2_plate,d1_plate,s_plate,d4_walls,d3_walls,d2_walls,d1_walls,s_walls,fcc,fsy,fsu_fac,esu,s1,beta1,s2,beta2,h_G,gamma_E,phi_k,q_Gl,b_Bs,Q_k,l_sec,b_sec1_b1,b_sec2_b1,h_S1_3,h_S7_9,mesh_size_factor,b2,b_sec1_b2,b_sec2_b2,ecu,fsu,eta_min_s,x_s,y_s,z_s,Location_s,GP_count_s,eta_min_c,x_c,y_c,z_c,Location_c,GP_count_c,eta_min_shear,x_c_shear,y_c_shear,z_c_shear,Location_c_shear,element_count_shear,eta_min_shear_reduced,x_c_shear_reduced,y_c_shear_reduced,z_c_shear_reduced,Location_c_shear_reduced,element_count_shear_reduced,eta_min_c_stresses,x_c_stresses,y_c_stresses,z_c_stresses,Location_c_stresses
0,0,2000.0,5800,9720,1000,400,90,0,0,30,30,30,30,30,30,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,8.768814849138813,9487.2041015625,1975.9962158203125,-928.5714111328124,eta_1,0,15.5511610926539,9487.2041015625,152.94117736816406,-1139.474365234375,eta_3_bot,0,4.376549486578933,9169.2,0.0,-1330.0,bot,0,4.376549486578933,9169.2,0.0,-1330.0,bot,0,8.034331203241598,9487.2041015625,152.94117736816406,-1139.474365234375,eta_y_bot_stresses
1,1,2214.285714285714,5800,9720,1000,400,90,0,0,30,30,30,30,30,30,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,8.685197728928003,9487.2041015625,1975.9962158203125,-928.5714111328124,eta_1,0,15.867148273072193,9487.2041015625,152.94117736816406,-1154.4180908203125,eta_3_bot,0,4.589948346056746,9169.2,0.0,-1365.357142857143,bot,0,4.589948346056746,9169.2,0.0,-1365.357142857143,bot,0,8.192352733782903,9487.2041015625,152.94117736816406,-1154.4180908203125,eta_y_bot_stresses
2,2,2428.5714285714284,5800,9720,1000,400,90,0,0,30,30,30,30,30,30,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,8.69961846227708,9487.2041015625,1975.9962158203125,-928.5714111328124,eta_1,0,16.158027449104882,9487.2041015625,152.94117736816406,-1169.36181640625,eta_3_bot,0,4.734546718983828,9169.2,0.0,-1400.7142857142858,bot,0,4.734546718983828,9169.2,0.0,-1400.7142857142858,bot,0,8.337861972487357,9487.2041015625,152.94117736816406,-1169.36181640625,eta_y_bot_stresses
3,3,2642.857142857143,5800,9720,1000,400,90,0,0,30,30,30,30,30,30,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,8.804488603256369,9487.2041015625,1975.9962158203125,-928.5714111328124,eta_1,0,16.403819845681895,9487.2041015625,152.94117736816406,-1184.3055419921875,eta_3_bot,0,4.811574255707856,9169.2,0.0,-1436.071428571429,bot,0,4.811574255707856,9169.2,0.0,-1436.071428571429,bot,0,8.460859176764906,9487.2041015625,152.94117736816406,-1184.3055419921875,eta_y_bot_stresses
4,4,2857.142857142857,5800,9720,1000,400,90,0,0,30,30,30,30,30,30,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,8.99920764373287,9487.2041015625,1975.9962158203125,-928.5714111328124,eta_1,0,16.590548032078523,9487.2041015625,152.94117736816406,-1199.2491455078125,eta_3_bot,0,4.827534418618488,9169.2,0.0,-1471.428571428571,bot,0,4.827534418618488,9169.2,0.0,-1471.428571428571,bot,0,8.55435508400219,9487.2041015625,152.94117736816406,-1199.2491455078125,eta_y_bot_stresses
5,5,3071.428571428572,5800,9720,1000,400,90,0,0,30,30,30,30,30,30,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,9.305436487042437,9487.2041015625,1975.9962158203125,-928.5714111328124,eta_1,0,16.7001500670095,9487.2041015625,152.94117736816406,-1214.1927490234375,eta_3_bot,0,4.7877504915476745,9169.2,0.0,-1506.7857142857142,bot,0,4.7877504915476745,9169.2,0.0,-1506.7857142857142,bot,0,8.60931485185896,9487.2041015625,152.94117736816406,-1214.1927490234375,eta_y_bot_stresses
6,6,3285.714285714286,5800,9720,1000,400,90,0,0,30,30,30,30,30,30,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,9.75368261310759,9487.2041015625,1975.9962158203125,-928.5714111328124,eta_1,0,16.737029354627584,9487.2041015625,152.94117736816406,-1229.1365966796875,eta_3_bot,0,4.392408032788919,8067.5999999999985,5400.0,-3743.571428571429,bot,0,4.700522289009023,9169.2,0.0,-1542.142857142857,bot,0,8.627916985800006,9487.2041015625,152.94117736816406,-1229.1365966796875,eta_y_bot_stresses
7,7,3500.0,5800,9720,1000,400,90,0,0,30,30,30,30,30,30,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,10.39290615042587,9487.2041015625,1975.9962158203125,-928.5714111328124,eta_1,0,16.635765288189837,9487.2041015625,152.94117736816406,-1244.0802001953125,eta_3_bot,0,3.882110360412126,9169.2,5400.0,-3922.5,bot,0,4.562630586259336,9169.2,0.0,-1577.5,bot,0,8.577550380928757,9487.2041015625,152.94117736816406,-1244.0802001953125,eta_y_bot_stresses
8,8,3714.285714285714,5800,9720,1000,400,90,0,0,30,30,30,30,30,30,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,5.606041282658635,8851.1953125,5247.05859375,-2359.150634765625,eta_1,0,10.71285400055342,9487.2041015625,5247.05859375,-4584.77392578125,eta_3_bot,0,2.572565512975056,9169.2,5400.0,-4407.857142857142,bot,0,3.4730052240077995,9169.2,0.0,-1306.4285714285716,bot,0,5.618785348458423,9487.2041015625,5247.05859375,-4584.77392578125,eta_y_bot_stresses
9,9,3928.571428571429,5800,9720,1000,400,90,0,0,30,30,30,30,30,30,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,4.205075274485895,8851.1953125,5247.05859375,-2437.563720703125,eta_1,0,9.065404879340944,9487.2041015625,5247.05859375,-4791.58740234375,eta_3_bot,0,2.247275244766465,9169.2,5400.0,-4604.464285714286,bot,0,3.223795770237968,9169.2,0.0,-1324.107142857143,bot,0,4.797428136465718,9487.2041015625,5247.05859375,-4791.58740234375,eta_y_bot_stresses
10,10,4142.857142857143,5800,9720,1000,400,90,0,0,30,30,30,30,30,30,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,3.362507804111368,9487.2041015625,5247.05859375,-2515.97607421875,eta_1,0,7.749700445182632,9487.2041015625,5247.05859375,-4998.4013671875,eta_3_bot,0,1.9651106985866171,9169.2,5400.0,-4801.071428571429,bot,0,2.95376931142937,9169.2,0.0,-1341.7857142857142,bot,0,4.142239137894767,9487.2041015625,5247.05859375,-4998.4013671875,eta_y_bot_stresses
11,11,4357.142857142857,5800,9720,1000,400,90,0,0,30,30,30,30,30,30,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,2.7926302955681788,9487.2041015625,5247.05859375,-2594.38818359375,eta_1,0,6.681678200654697,9487.2041015625,5247.05859375,-5205.21533203125,eta_3_bot,0,1.7178194687655202,9169.2,5400.0,-4997.678571428571,bot,0,2.681781413263785,9169.2,0.0,-1359.4642857142858,bot,0,3.61120775822202,9487.2041015625,5247.05859375,-5205.21533203125,eta_y_bot_stresses
12,12,4571.428571428572,5800,9720,1000,400,90,0,0,30,30,30,30,30,30,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,2.3827306654250893,9487.2041015625,5247.05859375,-2672.800537109375,eta_1,0,5.805121363693538,9487.2041015625,5247.05859375,-5412.02978515625,eta_3_bot,0,1.5016033978744294,9169.2,5400.0,-5194.285714285714,bot,0,2.4211502319931544,9169.2,0.0,-1377.142857142857,bot,0,3.1762672073810614,9487.2041015625,5247.05859375,-5412.02978515625,eta_y_bot_stresses
13,13,4785.714285714286,5800,9720,1000,400,90,0,0,30,30,30,30,30,30,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,2.0744831087655102,9487.2041015625,5247.05859375,-2751.2138671875,eta_1,0,5.080011284925898,9487.2041015625,5247.05859375,-5618.8427734375,eta_3_bot,0,1.3157055307136938,9169.2,5400.0,-5390.892857142858,bot,0,2.177163878400177,9169.2,0.0,-1394.821428571429,bot,0,2.81742529268316,9487.2041015625,5247.05859375,-5618.8427734375,eta_y_bot_stresses
14,14,5000.0,5800,9720,1000,400,90,0,0,30,30,30,30,30,30,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,1.8346789839074265,9487.2041015625,5247.05859375,-2829.626220703125,eta_1,0,4.474377530432119,9487.2041015625,5247.05859375,-5825.6572265625,eta_3_bot,0,1.155555271825847,9169.2,5400.0,-5587.5,bot,0,1.9534248288718363,9169.2,0.0,-1412.5,bot,0,2.518740892141595,9487.2041015625,5247.05859375,-5825.6572265625,eta_y_bot_stresses
