,eta_min_s,x_s,y_s,z_s,Location_s,GP_count_s,eta_min_c,x_c,y_c,z_c,Location_c,GP_count_c,eta_min_shear,x_c_shear,y_c_shear,z_c_shear,Location_c_shear,element_count_shear,eta_min_c_stresses,x_c_stresses,y_c_stresses,z_c_stresses,Location_c_stresses,ID
0,4.257337572452726,2189.211669921875,2506.003662109375,-350.0,eta_2,0,8.359205372654985,2189.211669921875,1975.9962158203125,-350.0,eta_3_top,0,1.6640433246910296,2475.0,445.5,0.0,bot,0,4.451243963594472,2189.211669921875,1975.9962158203125,-350.0,eta_y_top_stresses,0
0,5.030807967083581,2189.211669921875,2506.003662109375,-354.28570556640625,eta_2,0,8.662514552996601,2189.211669921875,1975.9962158203125,-354.28570556640625,eta_3_top,0,1.6922199340088175,2475.0,445.5,0.0,bot,0,4.601863403346922,2189.211669921875,1975.9962158203125,-354.28570556640625,eta_y_top_stresses,1
0,5.832743034822657,2189.211669921875,2506.003662109375,-352.941162109375,eta_2,0,8.669718215737715,2189.211669921875,1975.9962158203125,-352.941162109375,eta_3_top,0,1.6781713449600197,2475.0,445.5,0.0,bot,0,4.6050647214309866,2189.211669921875,1975.9962158203125,-352.941162109375,eta_y_top_stresses,2
0,6.003770143999245,5159.21142578125,2506.003662109375,-352.941162109375,eta_3,0,8.731908881481223,2189.211669921875,1975.9962158203125,-352.941162109375,eta_3_top,0,1.6825101828961313,2475.0,445.5,0.0,bot,0,4.635742873531982,2189.211669921875,1975.9962158203125,-352.941162109375,eta_y_top_stresses,3
0,5.9983505969790185,5159.21142578125,2506.003662109375,-352.941162109375,eta_3,0,8.790179270880289,2189.211669921875,1975.9962158203125,-352.941162109375,eta_3_top,0,1.6866980648169831,2475.0,445.5,0.0,bot,0,4.66453695206637,2189.211669921875,1975.9962158203125,-352.941162109375,eta_y_top_stresses,4
0,5.991727044663178,5159.21142578125,2506.003662109375,-352.941162109375,eta_3,0,8.843877127084793,2189.211669921875,1975.9962158203125,-352.941162109375,eta_3_top,0,1.6907058828942607,2475.0,445.5,0.0,bot,0,4.691098505064306,2189.211669921875,1975.9962158203125,-352.941162109375,eta_y_top_stresses,5
0,5.988697782835281,5159.21142578125,2506.003662109375,-352.941162109375,eta_3,0,8.895587535700905,2189.211669921875,1975.9962158203125,-352.941162109375,eta_3_top,0,1.69462612356778,2475.0,445.5,0.0,bot,0,4.716714085272315,2189.211669921875,1975.9962158203125,-352.941162109375,eta_y_top_stresses,6
0,5.985224388264217,5159.21142578125,2506.003662109375,-352.941162109375,eta_3,0,8.942465006385804,2189.211669921875,1975.9962158203125,-352.941162109375,eta_3_top,0,1.698396650705784,2475.0,445.5,0.0,bot,0,4.7399344385222415,2189.211669921875,1975.9962158203125,-352.941162109375,eta_y_top_stresses,7
0,5.964796692696278,5159.21142578125,2506.003662109375,-352.941162109375,eta_3,0,8.938773583121407,2189.211669921875,1975.9962158203125,-352.941162109375,eta_3_top,0,1.694788397839587,2475.0,445.5,0.0,bot,0,4.738192333416184,2189.211669921875,1975.9962158203125,-352.941162109375,eta_y_top_stresses,8
0,5.95884593226559,5159.21142578125,2506.003662109375,-352.941162109375,eta_3,0,8.979968289702883,2189.211669921875,1975.9962158203125,-352.941162109375,eta_3_top,0,1.6979822721647613,2475.0,445.5,0.0,bot,0,4.758615652624477,2189.211669921875,1975.9962158203125,-352.941162109375,eta_y_top_stresses,9
0,5.952504894778581,5159.21142578125,2506.003662109375,-352.941162109375,eta_3,0,9.018694606984292,2189.211669921875,1975.9962158203125,-352.941162109375,eta_3_top,0,1.701085449412113,2475.0,445.5,0.0,bot,0,4.777824315667361,2189.211669921875,1975.9962158203125,-352.941162109375,eta_y_top_stresses,10
0,5.945580195914924,5159.21142578125,2506.003662109375,-352.941162109375,eta_3,0,9.055827484645697,2189.211669921875,1975.9962158203125,-352.941162109375,eta_3_top,0,1.7040751678200499,2475.0,445.5,0.0,bot,0,4.796260609649046,2189.211669921875,1975.9962158203125,-352.941162109375,eta_y_top_stresses,11
0,5.937442334101048,5159.21142578125,2506.003662109375,-352.941162109375,eta_3,0,9.090777934296803,2189.211669921875,1975.9962158203125,-352.941162109375,eta_3_top,0,1.7069156659208815,2475.0,445.5,0.0,bot,0,4.813610517949804,2189.211669921875,1975.9962158203125,-352.941162109375,eta_y_top_stresses,12
0,5.929343482991937,5159.21142578125,2506.003662109375,-352.941162109375,eta_3,0,9.123671059679578,2189.211669921875,1975.9962158203125,-352.941162109375,eta_3_top,0,1.7096309720140919,2475.0,445.5,0.0,bot,0,4.829936700400211,2189.211669921875,1975.9962158203125,-352.941162109375,eta_y_top_stresses,13
0,5.92099438140775,5159.21142578125,2506.003662109375,-352.941162109375,eta_3,0,9.15541173100684,2189.211669921875,1975.9962158203125,-352.941162109375,eta_3_top,0,1.7122759234598448,2475.0,445.5,0.0,bot,0,4.845697327294846,2189.211669921875,1975.9962158203125,-352.941162109375,eta_y_top_stresses,14
