,eta_min_s,x_s,y_s,z_s,Location_s,GP_count_s,eta_min_c,x_c,y_c,z_c,Location_c,GP_count_c
0,3.693399858372207,225.94854736328125,2506.003662109375,-352.941162109375,eta_1_x,0,3.3235414216914574,225.94854736328125,152.94117736816406,-920.5255737304688,eta_3_bot,0
0,3.566037594682177,225.94854736328125,2506.003662109375,-352.941162109375,eta_1_x,0,3.3635324297996756,225.94854736328125,1975.9962158203125,-352.941162109375,eta_3_top,0
0,3.4897010896515095,225.94854736328125,1975.9962158203125,-352.941162109375,eta_1_x,0,3.3220456113761014,225.94854736328125,1975.9962158203125,-352.941162109375,eta_3_top,0
0,3.445989719560987,225.94854736328125,2506.003662109375,-352.941162109375,eta_1_x,0,3.2946599415202997,225.94854736328125,1975.9962158203125,-352.941162109375,eta_3_top,0
0,3.4358983171598894,225.94854736328125,2506.003662109375,-352.941162109375,eta_1_x,0,3.28226472335246,225.94854736328125,1975.9962158203125,-352.941162109375,eta_3_top,0
0,3.395842924474428,225.94854736328125,1975.9962158203125,-352.941162109375,eta_1_x,0,3.141485058586491,225.94854736328125,152.94117736816406,-877.1484375,eta_3_bot,0
0,3.4755705337763847,225.94854736328125,1975.9962158203125,-352.941162109375,eta_1_x,0,3.2616574878534133,225.94854736328125,1975.9962158203125,-352.941162109375,eta_3_top,0
0,3.6560272678452455,225.94854736328125,1975.9962158203125,-352.941162109375,eta_1_x,0,3.314160860137392,225.94854736328125,2506.003662109375,-352.941162109375,eta_3_top,0
0,4.012422152152061,225.94854736328125,2506.003662109375,-352.941162109375,eta_1_x,0,3.3147258073820933,225.94854736328125,1975.9962158203125,-352.941162109375,eta_3_top,0
0,3.826592601086655,9487.2041015625,152.94117736816406,-2720.373779296875,eta_1_x,0,3.4496347353153225,225.94854736328125,1975.9962158203125,-352.941162109375,eta_3_top,0
