,ID,d4_walls,L,b1,t_p,t_w,h_w,alpha_l,h_v,l_v,oo,uu,d4_plate,d3_plate,d2_plate,d1_plate,s_plate,d3_walls,d2_walls,d1_walls,s_walls,fcc,fsy,fsu_fac,esu,s1,beta1,s2,beta2,h_G,gamma_E,phi_k,q_Gl,b_Bs,Q_k,l_sec,b_sec1_b1,b_sec2_b1,h_S1_3,h_S7_9,mesh_size_factor,b2,b_sec1_b2,b_sec2_b2,ecu,fsu,eta_min_s,x_s,y_s,z_s,Location_s,GP_count_s,eta_min_c,x_c,y_c,z_c,Location_c,GP_count_c,eta_min_shear,x_c_shear,y_c_shear,z_c_shear,Location_c_shear,element_count_shear,eta_min_shear_reduced,x_c_shear_reduced,y_c_shear_reduced,z_c_shear_reduced,Location_c_shear_reduced,element_count_shear_reduced,eta_min_c_stresses,x_c_stresses,y_c_stresses,z_c_stresses,Location_c_stresses
0,0,10.0,5800,9720,1200,400,2780,90,0,0,30,30,30,12,14,30,200,12,12,30,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,8.060949395103187,225.94854736328125,150.0,-1393.869384765625,eta_4,0,17.975383251324818,225.94854736328125,150.0,-1923.530517578125,eta_3_bot,0,4.933921130436239,534.5999999999999,0.0,-1658.7,bot,0,4.933921130436239,534.5999999999999,0.0,-1658.7,bot,0,9.245271053588798,225.94854736328125,150.0,-1923.530517578125,eta_y_bot_stresses
1,1,11.428571428571429,5800,9720,1200,400,2780,90,0,0,30,30,30,12,14,30,200,12,12,30,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,9.60232185048814,225.94854736328125,154.2857208251953,-1393.869384765625,eta_4,0,18.22623747758835,225.94854736328125,154.2857208251953,-1923.530517578125,eta_3_bot,0,4.900368137897263,534.5999999999999,0.0,-1658.7,bot,0,4.900368137897263,534.5999999999999,0.0,-1658.7,bot,0,9.370616788952548,225.94854736328125,154.2857208251953,-1923.530517578125,eta_y_bot_stresses
2,2,12.857142857142858,5800,9720,1200,400,2780,90,0,0,30,30,30,12,14,30,200,12,12,30,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,11.079794568153556,225.94854736328125,152.94117736816406,-1393.869384765625,eta_4,0,18.27727443814474,225.94854736328125,152.94117736816406,-1923.530517578125,eta_3_bot,0,4.884096097552368,534.5999999999999,0.0,-1658.7,bot,0,4.884096097552368,534.5999999999999,0.0,-1658.7,bot,0,9.396113424298363,225.94854736328125,152.94117736816406,-1923.530517578125,eta_y_bot_stresses
3,3,14.285714285714285,5800,9720,1200,400,2780,90,0,0,30,30,30,12,14,30,200,12,12,30,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,12.610657127100572,225.94854736328125,152.94117736816406,-1393.869384765625,eta_4,0,18.338965136486493,225.94854736328125,152.94117736816406,-1923.530517578125,eta_3_bot,0,4.864315220297214,534.5999999999999,0.0,-1658.7,bot,0,4.864315220297214,534.5999999999999,0.0,-1658.7,bot,0,9.426930724307962,225.94854736328125,152.94117736816406,-1923.530517578125,eta_y_bot_stresses
4,4,15.714285714285715,5800,9720,1200,400,2780,90,0,0,30,30,30,12,14,30,200,12,12,30,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,14.207602492371674,225.94854736328125,152.94117736816406,-1393.869384765625,eta_4,0,18.40424000709715,225.94854736328125,152.94117736816406,-1923.530517578125,eta_3_bot,0,4.844545902049232,534.5999999999999,0.0,-1658.7,bot,0,4.844545902049232,534.5999999999999,0.0,-1658.7,bot,0,9.459543277083638,225.94854736328125,152.94117736816406,-1923.530517578125,eta_y_bot_stresses
5,5,17.142857142857142,5800,9720,1200,400,2780,90,0,0,30,30,30,12,14,30,200,12,12,30,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,14.669340060445146,225.94854736328125,1975.9962158203125,-1129.4117431640625,eta_1,0,18.469895577505447,225.94854736328125,152.94117736816406,-1923.530517578125,eta_3_bot,0,4.824446209705179,534.5999999999999,0.0,-1658.7,bot,0,4.824446209705179,534.5999999999999,0.0,-1658.7,bot,0,9.492340696290698,225.94854736328125,152.94117736816406,-1923.530517578125,eta_y_bot_stresses
6,6,18.57142857142857,5800,9720,1200,400,2780,90,0,0,30,30,30,12,14,30,200,12,12,30,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,14.702996917759158,225.94854736328125,1975.9962158203125,-1129.4117431640625,eta_1,0,18.536883773163947,225.94854736328125,152.94117736816406,-1923.530517578125,eta_3_bot,0,4.804064913159567,534.5999999999999,0.0,-1658.7,bot,0,4.804064913159567,534.5999999999999,0.0,-1658.7,bot,0,9.525808505655556,225.94854736328125,152.94117736816406,-1923.530517578125,eta_y_bot_stresses
7,7,20.0,5800,9720,1200,400,2780,90,0,0,30,30,30,12,14,30,200,12,12,30,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,14.735895031631513,225.94854736328125,1975.9962158203125,-1129.4117431640625,eta_1,0,18.60433824850409,225.94854736328125,152.94117736816406,-1923.530517578125,eta_3_bot,0,4.783467037876491,534.5999999999999,0.0,-1658.7,bot,0,4.783467037876491,534.5999999999999,0.0,-1658.7,bot,0,9.559505599531905,225.94854736328125,152.94117736816406,-1923.530517578125,eta_y_bot_stresses
8,8,21.42857142857143,5800,9720,1200,400,2780,90,0,0,30,30,30,12,14,30,200,12,12,30,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,14.767020255084072,225.94854736328125,1975.9962158203125,-1129.4117431640625,eta_1,0,18.673359835286234,225.94854736328125,152.94117736816406,-1923.530517578125,eta_3_bot,0,4.762569301051275,534.5999999999999,0.0,-1658.7,bot,0,4.762569301051275,534.5999999999999,0.0,-1658.7,bot,0,9.593988051158403,225.94854736328125,152.94117736816406,-1923.530517578125,eta_y_bot_stresses
9,9,22.857142857142858,5800,9720,1200,400,2780,90,0,0,30,30,30,12,14,30,200,12,12,30,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,14.7974569944061,225.94854736328125,1975.9962158203125,-1129.4117431640625,eta_1,0,18.742889075522186,225.94854736328125,152.94117736816406,-1923.530517578125,eta_3_bot,0,4.74049117354726,534.5999999999999,0.0,-1658.7,bot,0,4.74049117354726,534.5999999999999,0.0,-1658.7,bot,0,9.628733903942406,225.94854736328125,152.94117736816406,-1923.530517578125,eta_y_bot_stresses
