,ID,d2_plate,L,b1,t_p,t_w,h_w,alpha_l,h_v,l_v,oo,uu,d4_plate,d3_plate,d1_plate,s_plate,d4_walls,d3_walls,d2_walls,d1_walls,s_walls,fcc,fsy,fsu_fac,esu,s1,beta1,s2,beta2,h_G,gamma_E,phi_k,q_Gl,b_Bs,Q_k,l_sec,b_sec1_b1,b_sec2_b1,h_S1_3,h_S7_9,mesh_size_factor,b2,b_sec1_b2,b_sec2_b2,ecu,fsu,eta_min_s,x_s,y_s,z_s,Location_s,GP_count_s,eta_min_c,x_c,y_c,z_c,Location_c,GP_count_c,eta_min_shear,x_c_shear,y_c_shear,z_c_shear,Location_c_shear,element_count_shear,eta_min_shear_reduced,x_c_shear_reduced,y_c_shear_reduced,z_c_shear_reduced,Location_c_shear_reduced,element_count_shear_reduced,eta_min_c_stresses,x_c_stresses,y_c_stresses,z_c_stresses,Location_c_stresses
0,0,10.0,5800,15000,400,400,2780,90,0,0,30,30,30,12,30,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,15000,0.33,0.33,-0.002,407.94,2.514192575327082,2204.14892578125,2438.801513671875,-350.0,eta_2,0,5.897170712635428,2365.0810546875,141.1764678955078,-641.1768798828125,eta_3_bot,0,1.2364755592369,8186.538461538462,178.20000000000005,0.0,bot,0,1.9487335586916328,3236.538461538461,5221.8,0.0,bot,0,3.223318713523414,2365.0810546875,141.1764678955078,-641.1768798828125,eta_y_bot_stresses
1,1,11.428571428571429,5800,15000,400,400,2780,90,0,0,30,30,30,12,30,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,15000,0.33,0.33,-0.002,407.94,2.7504537145195247,2204.14892578125,152.94117736816406,-641.1768798828125,eta_4,0,5.947794784284339,2365.0810546875,152.94117736816406,-641.1768798828125,eta_3_bot,0,1.264526568023928,8186.538461538462,178.20000000000005,0.0,bot,0,1.9916157946689343,3236.538461538461,5221.8,0.0,bot,0,3.2482827479419787,2365.0810546875,152.94117736816406,-641.1768798828125,eta_y_bot_stresses
2,2,12.857142857142858,5800,15000,400,400,2780,90,0,0,30,30,30,12,30,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,15000,0.33,0.33,-0.002,407.94,2.7533380149343967,2204.14892578125,152.94117736816406,-641.1768798828125,eta_4,0,5.95367746659738,2365.0810546875,152.94117736816406,-641.1768798828125,eta_3_bot,0,1.244426262465313,8186.538461538462,178.20000000000005,0.0,bot,0,1.9680403851364257,3236.538461538461,5221.8,0.0,bot,0,3.251128370145762,2365.0810546875,152.94117736816406,-641.1768798828125,eta_y_bot_stresses
3,3,14.285714285714285,5800,15000,400,400,2780,90,0,0,30,30,30,12,30,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,15000,0.33,0.33,-0.002,407.94,2.760924625520744,2204.14892578125,152.94117736816406,-641.1768798828125,eta_4,0,5.96855391798335,2365.0810546875,152.94117736816406,-641.1768798828125,eta_3_bot,0,1.2449097932185555,8186.538461538462,178.20000000000005,0.0,bot,0,1.972160813508638,3236.538461538461,5221.8,0.0,bot,0,3.258416955382902,2365.0810546875,152.94117736816406,-641.1768798828125,eta_y_bot_stresses
4,4,15.714285714285715,5800,15000,400,400,2780,90,0,0,30,30,30,12,30,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,15000,0.33,0.33,-0.002,407.94,2.768031694005403,2204.14892578125,152.94117736816406,-641.1768798828125,eta_4,0,5.982559447218441,2365.0810546875,152.94117736816406,-641.1768798828125,eta_3_bot,0,1.2454691812545338,8186.538461538462,178.20000000000005,0.0,bot,0,1.975758761810071,3236.538461538461,5221.8,0.0,bot,0,3.265283868014008,2365.0810546875,152.94117736816406,-641.1768798828125,eta_y_bot_stresses
5,5,17.142857142857142,5800,15000,400,400,2780,90,0,0,30,30,30,12,30,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,15000,0.33,0.33,-0.002,407.94,2.774601261914708,2204.14892578125,152.94117736816406,-641.1768798828125,eta_4,0,5.995674978894575,2365.0810546875,152.94117736816406,-641.1768798828125,eta_3_bot,0,1.246015423996644,8186.538461538462,178.20000000000005,0.0,bot,0,1.9790585109397385,3236.538461538461,5221.8,0.0,bot,0,3.271715696953688,2365.0810546875,152.94117736816406,-641.1768798828125,eta_y_bot_stresses
6,6,18.57142857142857,5800,15000,400,400,2780,90,0,0,30,30,30,12,30,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,15000,0.33,0.33,-0.002,407.94,2.780779339384923,2204.14892578125,152.94117736816406,-641.1768798828125,eta_4,0,6.008008121713799,2365.0810546875,152.94117736816406,-641.1768798828125,eta_3_bot,0,1.2467221143451632,8186.538461538462,178.20000000000005,0.0,bot,0,1.9819009208297564,3236.538461538461,5221.8,0.0,bot,0,3.27730047766468,8076.6201171875,152.94117736816406,-464.6231384277344,eta_y_bot_stresses
7,7,20.0,5800,15000,400,400,2780,90,0,0,30,30,30,12,30,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,15000,0.33,0.33,-0.002,407.94,2.786588429930963,2204.14892578125,152.94117736816406,-641.1768798828125,eta_4,0,6.017670187304914,8076.6201171875,152.94117736816406,-464.6231384277344,eta_3_bot,0,1.247391732625841,8186.538461538462,178.20000000000005,0.0,bot,0,1.9846023220621425,3236.538461538461,5221.8,0.0,bot,0,3.2815084915539248,8076.6201171875,152.94117736816406,-641.1768798828125,eta_y_bot_stresses
8,8,21.42857142857143,5800,15000,400,400,2780,90,0,0,30,30,30,12,30,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,15000,0.33,0.33,-0.002,407.94,2.785489887005184,2204.14892578125,152.94117736816406,-641.1768798828125,eta_4,0,6.011004169509859,8076.6201171875,152.94117736816406,-464.6231384277344,eta_3_bot,0,1.2449611259014524,8186.538461538462,178.20000000000005,0.0,bot,0,1.982328980795196,3236.538461538461,5221.8,0.0,bot,0,3.2782063036670275,8076.6201171875,152.94117736816406,-464.6231384277344,eta_y_bot_stresses
9,9,22.857142857142858,5800,15000,400,400,2780,90,0,0,30,30,30,12,30,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,15000,0.33,0.33,-0.002,407.94,2.790511540650082,2204.14892578125,152.94117736816406,-641.1768798828125,eta_4,0,6.018589344370768,8076.6201171875,152.94117736816406,-464.6231384277344,eta_3_bot,0,1.2456124515329574,8186.538461538462,178.20000000000005,0.0,bot,0,1.9843731326169527,3236.538461538461,5221.8,0.0,bot,0,3.281970526714828,8076.6201171875,152.94117736816406,-641.1768798828125,eta_y_bot_stresses
