,mu_min_s,x_s,y_s,z_s,GP_count_s,mu_min_c,x_c,y_c,z_c,GP_count_c
0,1.416887115409804,1360.6494140625,152.94117736816406,-259.9739990234375,0,1.1214207075108866,417.2381896972656,5358.15771484375,-152.94117736816406,0
0,1.572577895661516,792.3570556640625,147.82608032226562,-490.4930114746094,0,1.905445610260204,52.141876220703125,147.82608032226562,-490.4930114746094,0
0,1.7854011256680697,573.7354125976562,157.14285278320312,-557.1589965820312,0,4.6071331015044565,67.78456115722656,157.14285278320312,-393.3070068359375,0
0,1.8342045165215126,75.3161849975586,152.94117736816406,-459.9739990234375,0,5.694529169478251,75.3161849975586,152.94117736816406,-459.9739990234375,0
0,2.086276472557057,75.3161849975586,152.94117736816406,-526.6409912109375,0,7.27451419710802,281.0838317871094,152.94117736816406,-526.6409912109375,0
0,2.566853018502632,75.3161849975586,152.94117736816406,-593.3070068359375,0,9.79788594401147,75.3161849975586,2438.801513671875,-486.2745056152344,0
0,2.947218859634357,75.3161849975586,152.94117736816406,-659.9739990234375,0,10.744182878266871,75.3161849975586,2438.801513671875,-547.058837890625,0
0,3.3434886677181956,281.0838317871094,152.94117736816406,-726.6409912109375,0,11.502955184918694,75.3161849975586,2438.801513671875,-607.8431396484375,0
0,4.023613722195205,75.3161849975586,152.94117736816406,-793.3070068359375,0,14.125399795023924,75.3161849975586,2226.798583984375,-690.1961059570312,0
0,4.613710818811371,431.7161865234375,152.94117736816406,-859.9739990234375,0,16.39114276103532,75.3161849975586,2226.798583984375,-752.941162109375,0
