,eta_min_s,x_s,y_s,z_s,Location_s,GP_count_s,eta_min_c,x_c,y_c,z_c,Location_c,GP_count_c,ID
0,2.4167122496266296,225.94854736328125,2415.1064453125,-352.941162109375,eta_1_x,0,2.189800725851814,225.94854736328125,160.0,-1071.47802734375,eta_3_bot,0,0
0,2.4371271167496706,225.94854736328125,2415.1064453125,-352.941162109375,eta_1_x,0,2.2996623679072847,225.94854736328125,152.94117736816406,-1071.47802734375,eta_3_bot,0,1
0,2.4514906809322268,225.94854736328125,2415.1064453125,-352.941162109375,eta_1_x,0,2.326168105649998,225.94854736328125,2415.1064453125,-352.941162109375,eta_3_top,0,2
0,2.4659750678240977,225.94854736328125,2415.1064453125,-352.941162109375,eta_1_x,0,2.336084510880281,225.94854736328125,2415.1064453125,-352.941162109375,eta_3_top,0,3
0,2.4804999236177574,225.94854736328125,2415.1064453125,-352.941162109375,eta_1_x,0,2.346173773046246,225.94854736328125,2415.1064453125,-352.941162109375,eta_3_top,0,4
0,2.4948298784961964,225.94854736328125,2415.1064453125,-352.941162109375,eta_1_x,0,2.3560566557770217,225.94854736328125,2415.1064453125,-352.941162109375,eta_3_top,0,5
0,2.5089439702614187,225.94854736328125,2415.1064453125,-352.941162109375,eta_1_x,0,2.3658716401578235,225.94854736328125,2415.1064453125,-352.941162109375,eta_3_top,0,6
0,2.5223624439876464,225.94854736328125,2415.1064453125,-352.941162109375,eta_1_x,0,2.375395579172655,225.94854736328125,2415.1064453125,-352.941162109375,eta_3_top,0,7
0,2.5353213318105405,225.94854736328125,2415.1064453125,-352.941162109375,eta_1_x,0,2.3844931791247554,225.94854736328125,2415.1064453125,-352.941162109375,eta_3_top,0,8
0,2.5477057165438524,225.94854736328125,2415.1064453125,-352.941162109375,eta_1_x,0,2.3930990721307563,225.94854736328125,2415.1064453125,-352.941162109375,eta_3_top,0,9
