,ID,h_w,L,b1,t_p,t_w,alpha_l,h_v,l_v,oo,uu,d4_plate,d3_plate,d2_plate,d1_plate,s_plate,d4_walls,d3_walls,d2_walls,d1_walls,s_walls,fcc,fsy,fsu_fac,esu,s1,beta1,s2,beta2,h_G,gamma_E,phi_k,q_Gl,b_Bs,Q_k,l_sec,b_sec1_b1,b_sec2_b1,h_S1_3,h_S7_9,mesh_size_factor,b2,b_sec1_b2,b_sec2_b2,ecu,fsu,eta_min_s,x_s,y_s,z_s,Location_s,GP_count_s,eta_min_c,x_c,y_c,z_c,Location_c,GP_count_c,eta_min_shear,x_c_shear,y_c_shear,z_c_shear,Location_c_shear,element_count_shear,eta_min_shear_reduced,x_c_shear_reduced,y_c_shear_reduced,z_c_shear_reduced,Location_c_shear_reduced,element_count_shear_reduced,eta_min_c_stresses,x_c_stresses,y_c_stresses,z_c_stresses,Location_c_stresses
0,0,2000.0,5800,9720,400,400,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,1.2502833312536803,9487.2041015625,188.2904510498047,-352.941162109375,eta_4,0,4.262807874121154,9487.2041015625,2506.003662109375,-352.941162109375,eta_3_top,0,0.8507443258300367,9169.2,445.5,0.0,bot,1,0.8507443258300367,9169.2,445.5,0.0,bot,1,2.414677890959729,9487.2041015625,2506.003662109375,-352.941162109375,eta_y_top_stresses
1,1,2214.285714285714,5800,9720,400,400,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,1.2374174572614878,9487.2041015625,188.2904510498047,-352.941162109375,eta_4,0,4.230043530384772,9487.2041015625,2506.003662109375,-352.941162109375,eta_3_top,0,0.8448397480131249,9169.2,445.5,0.0,bot,1,0.8448397480131249,9169.2,445.5,0.0,bot,1,2.398578394642942,9487.2041015625,2506.003662109375,-352.941162109375,eta_y_top_stresses
2,2,2428.5714285714284,5800,9720,400,400,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,1.2281833056245806,9487.2041015625,188.2904510498047,-352.941162109375,eta_4,0,4.20479777295767,9487.2041015625,2506.003662109375,-352.941162109375,eta_3_top,0,0.8406086780987388,9169.2,445.5,0.0,bot,2,0.8406086780987388,9169.2,445.5,0.0,bot,2,2.3861746972311764,9487.2041015625,2506.003662109375,-352.941162109375,eta_y_top_stresses
3,3,2642.857142857143,5800,9720,400,400,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,1.22215725999338,9487.2041015625,188.2904510498047,-352.941162109375,eta_4,0,4.185276177405658,9487.2041015625,2506.003662109375,-352.941162109375,eta_3_top,0,0.8379248749009099,9169.2,445.5,0.0,bot,2,0.8379248749009099,9169.2,445.5,0.0,bot,2,2.376583207229968,9487.2041015625,2506.003662109375,-352.941162109375,eta_y_top_stresses
4,4,2857.142857142857,5800,9720,400,400,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,1.217593206313244,9487.2041015625,188.2904510498047,-352.941162109375,eta_4,0,4.171086546941652,9487.2041015625,2506.003662109375,-352.941162109375,eta_3_top,0,0.835876289016611,9169.2,445.5,0.0,bot,2,0.835876289016611,9169.2,445.5,0.0,bot,2,2.3696124493655355,9487.2041015625,2506.003662109375,-352.941162109375,eta_y_top_stresses
5,5,3071.428571428572,5800,9720,400,400,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,1.2123775345673125,9487.2041015625,188.2904510498047,-352.941162109375,eta_4,0,4.162823410196124,9487.2041015625,2506.003662109375,-352.941162109375,eta_3_top,0,0.8330980325014702,9169.2,445.5,0.0,bot,2,0.8330980325014702,9169.2,445.5,0.0,bot,2,2.365552833319388,9487.2041015625,2506.003662109375,-352.941162109375,eta_y_top_stresses
6,6,3285.714285714286,5800,9720,400,400,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,1.206075769323916,9487.2041015625,188.2904510498047,-352.941162109375,eta_4,0,4.160968758406998,9487.2041015625,2506.003662109375,-352.941162109375,eta_3_top,0,0.8293492985087104,9169.2,445.5,0.0,bot,2,0.8293492985087104,9169.2,445.5,0.0,bot,2,2.3646373687412514,9487.2041015625,2506.003662109375,-352.941162109375,eta_y_top_stresses
7,7,3500.0,5800,9720,400,400,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,1.1976227460906974,9487.2041015625,188.2904510498047,-352.941162109375,eta_4,0,4.16629997466977,9487.2041015625,2506.003662109375,-352.941162109375,eta_3_top,0,0.8243641186504049,9169.2,445.5,0.0,bot,2,0.8243641186504049,9169.2,445.5,0.0,bot,2,2.3672507238772043,9487.2041015625,2506.003662109375,-352.941162109375,eta_y_top_stresses
8,8,3714.285714285714,5800,9720,400,400,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,1.2101617986133102,9487.2041015625,188.2904510498047,-352.941162109375,eta_4,0,4.12894177312602,9487.2041015625,2506.003662109375,-352.941162109375,eta_3_top,0,0.828276045546774,9169.2,445.5,0.0,bot,2,0.828276045546774,9169.2,445.5,0.0,bot,2,2.3489203326897083,9487.2041015625,2506.003662109375,-352.941162109375,eta_y_top_stresses
9,9,3928.571428571429,5800,9720,400,400,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,1.1913262758458667,9487.2041015625,188.2904510498047,-352.941162109375,eta_4,0,4.150314817304432,9487.2041015625,2506.003662109375,-352.941162109375,eta_3_top,0,0.8164651859715737,9169.2,445.5,0.0,bot,2,0.8164651859715737,9169.2,445.5,0.0,bot,2,2.3594037489314243,9487.2041015625,2506.003662109375,-352.941162109375,eta_y_top_stresses
