,ID,L,b1,t_p,t_w,h_w,alpha_l,h_v,l_v,oo,uu,d4_plate,d3_plate,d2_plate,d1_plate,s_plate,d4_walls,d3_walls,d2_walls,d1_walls,s_walls,fcc,fsy,fsu_fac,esu,s,beta,h_G,gamma_E,phi_k,q_Gl,b_Bs,Q_k,l_sec,b_sec1_b1,b_sec2_b1,h_S1_3,h_S7_9,mesh_size_factor,b2,b_sec1_b2,b_sec2_b2,ecu,fsu,eta_min_s,x_s,y_s,z_s,Location_s,GP_count_s,eta_min_c,x_c,y_c,z_c,Location_c,GP_count_c
12,12,5918.367346938776,9720,400,400,2580,90,0,0,30,30,24,12,12,24,200,24,12,12,14,200,12.8,390,1.08,0.045,0.18179012,5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,421.2000000000001,3.32387811703035,225.94854736328125,2560.935302734375,-352.941162109375,eta_1_x,0.0,3.157801231625381,225.94854736328125,2019.3096923828125,-352.941162109375,eta_3_top,0.0
13,13,6244.897959183673,9720,400,400,2580,90,0,0,30,30,24,12,12,24,200,24,12,12,14,200,12.8,390,1.08,0.045,0.18179012,5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,421.2000000000001,2.9545684088063644,225.94854736328125,2138.79541015625,-352.941162109375,eta_1_x,0.0,2.777405678673865,225.94854736328125,2138.79541015625,-352.941162109375,eta_3_top,0.0
14,14,6571.428571428572,9720,400,400,2580,90,0,0,30,30,24,12,12,24,200,24,12,12,14,200,12.8,390,1.08,0.045,0.18179012,5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,421.2000000000001,2.7654236246322266,225.94854736328125,2258.281005859375,-352.941162109375,eta_1_x,0.0,2.651239337901175,225.94854736328125,2258.281005859375,-352.941162109375,eta_3_top,0.0
15,15,6897.959183673469,9720,400,400,2580,90,0,0,30,30,24,12,12,24,200,24,12,12,14,200,12.8,390,1.08,0.045,0.18179012,5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,421.2000000000001,2.523690998206896,225.94854736328125,2377.767578125,-352.941162109375,eta_1_x,0.0,2.399644937003952,225.94854736328125,2377.767578125,-352.941162109375,eta_3_top,0.0
16,16,7224.489795918367,9720,400,400,2580,90,0,0,30,30,24,12,12,24,200,24,12,12,14,200,12.8,390,1.08,0.045,0.18179012,5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,421.2000000000001,2.296007025542331,225.94854736328125,2497.253173828125,-352.941162109375,eta_1_x,0.0,2.157676918326597,225.94854736328125,152.94117736816406,-1071.47802734375,eta_3_bot,0.0
17,17,7551.0204081632655,9720,400,400,2580,90,0,0,30,30,24,12,12,24,200,24,12,12,14,200,12.8,390,1.08,0.045,0.18179012,5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,421.2000000000001,2.3895360567048107,225.94854736328125,3809.467041015625,-352.941162109375,eta_1_x,0.0,2.267238625383078,225.94854736328125,3341.553955078125,-352.941162109375,eta_3_top,0.0
18,18,7877.551020408163,9720,400,400,2580,90,0,0,30,30,24,12,12,24,200,24,12,12,14,200,12.8,390,1.08,0.045,0.18179012,5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,421.2000000000001,2.447215394424721,225.94854736328125,3983.414794921875,-352.941162109375,eta_1_x,0.0,2.283258013907912,225.94854736328125,3494.13623046875,-352.941162109375,eta_3_top,0.0
19,19,8204.081632653062,9720,400,400,2580,90,0,0,30,30,24,12,12,24,200,24,12,12,14,200,12.8,390,1.08,0.045,0.18179012,5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,421.2000000000001,2.279848742945338,225.94854736328125,4157.36328125,-352.941162109375,eta_1_x,0.0,2.132172914086367,225.94854736328125,3646.71875,-352.941162109375,eta_3_top,0.0
20,20,8530.612244897959,9720,400,400,2580,90,0,0,30,30,24,12,12,24,200,24,12,12,14,200,12.8,390,1.08,0.045,0.18179012,5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,421.2000000000001,1.9017515118398,225.94854736328125,4331.3115234375,-352.941162109375,eta_1_x,0.0,1.7103849414890575,225.94854736328125,3799.300537109375,-352.941162109375,eta_3_top,0.0
21,21,8857.142857142857,9720,400,400,2580,90,0,0,30,30,24,12,12,24,200,24,12,12,14,200,12.8,390,1.08,0.045,0.18179012,5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,421.2000000000001,2.0253628777731394,225.94854736328125,733.6934204101562,-352.941162109375,eta_4_x,0.0,1.859713851293204,225.94854736328125,152.94117736816406,-1071.47802734375,eta_3_bot,0.0
22,22,9183.673469387755,9720,400,400,2580,90,0,0,30,30,24,12,12,24,200,24,12,12,14,200,12.8,390,1.08,0.045,0.18179012,5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,421.2000000000001,1.8371448852796732,225.94854736328125,762.0210571289062,-352.941162109375,eta_4_x,0.0,1.5212031643391846,225.94854736328125,152.94117736816406,-1071.47802734375,eta_3_bot,0.0
23,23,9510.204081632652,9720,400,400,2580,90,0,0,30,30,24,12,12,24,200,24,12,12,14,200,12.8,390,1.08,0.045,0.18179012,5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,421.2000000000001,1.8257277850966251,225.94854736328125,790.3486938476562,-352.941162109375,eta_4_x,0.0,1.4430308165021155,225.94854736328125,152.94117736816406,-1071.47802734375,eta_3_bot,0.0
24,24,9836.734693877552,9720,400,400,2580,90,0,0,30,30,24,12,12,24,200,24,12,12,14,200,12.8,390,1.08,0.045,0.18179012,5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,421.2000000000001,1.808346522489245,225.94854736328125,818.6771240234375,-352.941162109375,eta_4_x,0.0,1.1251458711645774,225.94854736328125,5027.1044921875,-352.941162109375,eta_3_top,0.0
25,25,10163.265306122448,9720,400,400,2580,90,0,0,30,30,24,12,12,24,200,24,12,12,14,200,12.8,390,1.08,0.045,0.18179012,5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,421.2000000000001,1.796458398055591,225.94854736328125,5201.05224609375,-352.941162109375,eta_1_x,0.0,0.8922615191683436,225.94854736328125,5201.05224609375,-352.941162109375,eta_3_top,4.0
26,26,10489.795918367348,9720,400,400,2580,90,0,0,30,30,24,12,12,24,200,24,12,12,14,200,12.8,390,1.08,0.045,0.18179012,5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,421.2000000000001,1.7884612104597073,225.94854736328125,5375.0009765625,-352.941162109375,eta_1_x,0.0,0.7728099974125513,225.94854736328125,5375.0009765625,-352.941162109375,eta_3_top,8.0
27,27,10816.326530612245,9720,400,400,2580,90,0,0,30,30,24,12,12,24,200,24,12,12,14,200,12.8,390,1.08,0.045,0.18179012,5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,421.2000000000001,1.7679367237490964,225.94854736328125,5548.94921875,-352.941162109375,eta_1_x,0.0,0.5416102385417194,225.94854736328125,5548.94921875,-352.941162109375,eta_3_top,58.0
28,28,11142.857142857143,9720,400,400,2580,90,0,0,30,30,24,12,12,24,200,24,12,12,14,200,12.8,390,1.08,0.045,0.18179012,5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,421.2000000000001,1.7083871647937108,225.94854736328125,4651.255859375,-352.941162109375,eta_1_x,0.0,0.3099206832248073,225.94854736328125,5178.458984375,-352.941162109375,eta_3_top,154.0
29,29,11469.38775510204,9720,400,400,2580,90,0,0,30,30,24,12,12,24,200,24,12,12,14,200,12.8,390,1.08,0.045,0.18179012,5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,421.2000000000001,0.0,,,,,,0.0,,,,,
30,30,11795.918367346938,9720,400,400,2580,90,0,0,30,30,24,12,12,24,200,24,12,12,14,200,12.8,390,1.08,0.045,0.18179012,5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,421.2000000000001,0.0,,,,,,0.0,,,,,
31,31,12122.448979591836,9720,400,400,2580,90,0,0,30,30,24,12,12,24,200,24,12,12,14,200,12.8,390,1.08,0.045,0.18179012,5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,421.2000000000001,0.0,,,,,,0.0,,,,,
32,32,12448.979591836734,9720,400,400,2580,90,0,0,30,30,24,12,12,24,200,24,12,12,14,200,12.8,390,1.08,0.045,0.18179012,5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,421.2000000000001,0.0,,,,,,0.0,,,,,
33,33,12775.510204081633,9720,400,400,2580,90,0,0,30,30,24,12,12,24,200,24,12,12,14,200,12.8,390,1.08,0.045,0.18179012,5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,421.2000000000001,0.0,,,,,,0.0,,,,,
34,34,13102.040816326533,9720,400,400,2580,90,0,0,30,30,24,12,12,24,200,24,12,12,14,200,12.8,390,1.08,0.045,0.18179012,5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,421.2000000000001,0.0,,,,,,0.0,,,,,
35,35,13428.571428571428,9720,400,400,2580,90,0,0,30,30,24,12,12,24,200,24,12,12,14,200,12.8,390,1.08,0.045,0.18179012,5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,421.2000000000001,0.0,,,,,,0.0,,,,,
36,36,13755.102040816326,9720,400,400,2580,90,0,0,30,30,24,12,12,24,200,24,12,12,14,200,12.8,390,1.08,0.045,0.18179012,5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,421.2000000000001,0.0,,,,,,0.0,,,,,
37,37,14081.632653061224,9720,400,400,2580,90,0,0,30,30,24,12,12,24,200,24,12,12,14,200,12.8,390,1.08,0.045,0.18179012,5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,421.2000000000001,0.0,,,,,,0.0,,,,,
38,38,14408.163265306122,9720,400,400,2580,90,0,0,30,30,24,12,12,24,200,24,12,12,14,200,12.8,390,1.08,0.045,0.18179012,5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,421.2000000000001,0.0,,,,,,0.0,,,,,
39,39,14734.69387755102,9720,400,400,2580,90,0,0,30,30,24,12,12,24,200,24,12,12,14,200,12.8,390,1.08,0.045,0.18179012,5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,421.2000000000001,0.0,,,,,,0.0,,,,,
40,40,15061.224489795915,9720,400,400,2580,90,0,0,30,30,24,12,12,24,200,24,12,12,14,200,12.8,390,1.08,0.045,0.18179012,5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,421.2000000000001,0.0,,,,,,0.0,,,,,
41,41,15387.755102040815,9720,400,400,2580,90,0,0,30,30,24,12,12,24,200,24,12,12,14,200,12.8,390,1.08,0.045,0.18179012,5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,421.2000000000001,0.0,,,,,,0.0,,,,,
42,42,15714.285714285714,9720,400,400,2580,90,0,0,30,30,24,12,12,24,200,24,12,12,14,200,12.8,390,1.08,0.045,0.18179012,5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,421.2000000000001,0.0,,,,,,0.0,,,,,
43,43,16040.816326530612,9720,400,400,2580,90,0,0,30,30,24,12,12,24,200,24,12,12,14,200,12.8,390,1.08,0.045,0.18179012,5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,421.2000000000001,0.0,,,,,,0.0,,,,,
44,44,16367.34693877551,9720,400,400,2580,90,0,0,30,30,24,12,12,24,200,24,12,12,14,200,12.8,390,1.08,0.045,0.18179012,5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,421.2000000000001,0.0,,,,,,0.0,,,,,
45,45,16693.877551020407,9720,400,400,2580,90,0,0,30,30,24,12,12,24,200,24,12,12,14,200,12.8,390,1.08,0.045,0.18179012,5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,421.2000000000001,0.0,,,,,,0.0,,,,,
46,46,17020.408163265303,9720,400,400,2580,90,0,0,30,30,24,12,12,24,200,24,12,12,14,200,12.8,390,1.08,0.045,0.18179012,5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,421.2000000000001,0.0,,,,,,0.0,,,,,
47,47,17346.938775510203,9720,400,400,2580,90,0,0,30,30,24,12,12,24,200,24,12,12,14,200,12.8,390,1.08,0.045,0.18179012,5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,421.2000000000001,0.0,,,,,,0.0,,,,,
48,48,17673.469387755104,9720,400,400,2580,90,0,0,30,30,24,12,12,24,200,24,12,12,14,200,12.8,390,1.08,0.045,0.18179012,5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,421.2000000000001,0.0,,,,,,0.0,,,,,
49,49,18000.0,9720,400,400,2580,90,0,0,30,30,24,12,12,24,200,24,12,12,14,200,12.8,390,1.08,0.045,0.18179012,5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,421.2000000000001,0.0,,,,,,0.0,,,,,
