,eta_min_s,x_s,y_s,z_s,Location_s,GP_count_s,eta_min_c,x_c,y_c,z_c,Location_c,GP_count_c,eta_min_shear,eta_min_c_stresses,x_c_stresses,y_c_stresses,z_c_stresses,Location_c_stresses,ID,x_c_shear,y_c_shear,z_c_shear,Location_c_shear,element_count_shear
0,0.0,,,,,,0.0,,,,,,0.0,0.0,,,,,0,,,,,
0,1.762686406476787,9642.4013671875,281.0838317871094,-354.28570556640625,eta_4,0,0.8207746616237531,8695.998046875,75.3161849975586,-354.28570556640625,eta_3_bot,92,0.033432015626978936,0.9797475418822865,8540.8017578125,281.0838317871094,-354.28570556640625,eta_y_bot_stresses,1,9536.400000000001,178.20000000000005,0.0,bot,57.0
0,1.7656018008525312,9642.4013671875,75.3161849975586,-352.941162109375,eta_4,0,1.2036534160791805,9642.4013671875,75.3161849975586,-352.941162109375,eta_3_bot,0,0.05651047254023699,1.0335829677806603,9642.4013671875,281.0838317871094,-352.941162109375,eta_y_bot_stresses,2,9536.400000000001,178.20000000000005,0.0,bot,55.0
0,1.7672287681631322,9642.4013671875,281.0838317871094,-352.941162109375,eta_4,0,1.641934169598373,9642.4013671875,2226.798583984375,-352.941162109375,eta_3_top,0,0.08941989900232052,1.1810805583941424,9642.4013671875,2438.801513671875,-352.941162109375,eta_y_top_stresses,3,9536.400000000001,178.20000000000005,0.0,bot,48.0
0,1.7679792509189678,9642.4013671875,75.3161849975586,-352.941162109375,eta_4,0,1.9453322579195045,9642.4013671875,2226.798583984375,-352.941162109375,eta_3_top,0,0.12318028207399603,1.3105118583283175,9642.4013671875,2438.801513671875,-352.941162109375,eta_y_top_stresses,4,9536.400000000001,178.20000000000005,0.0,bot,35.0
0,1.768410732509153,9642.4013671875,281.0838317871094,-352.941162109375,eta_4,0,2.4360277902124534,9642.4013671875,2226.798583984375,-352.941162109375,eta_3_top,0,0.15428716321975355,1.5341012212151526,9642.4013671875,2438.801513671875,-352.941162109375,eta_y_top_stresses,5,9536.400000000001,178.20000000000005,0.0,bot,32.0
0,1.7686737533182837,9642.4013671875,75.3161849975586,-352.941162109375,eta_4,0,2.6974695304129837,9642.4013671875,75.3161849975586,-352.941162109375,eta_3_bot,0,0.17983704420463914,1.6611306347913701,9642.4013671875,281.0838317871094,-352.941162109375,eta_y_bot_stresses,6,9536.400000000001,178.20000000000005,0.0,bot,29.0
0,1.768830622016457,9642.4013671875,75.3161849975586,-352.941162109375,eta_4,0,2.879154558483817,9642.4013671875,75.3161849975586,-352.941162109375,eta_3_bot,0,0.19943951877912253,1.7476619654737915,9642.4013671875,281.0838317871094,-352.941162109375,eta_y_bot_stresses,7,9536.400000000001,178.20000000000005,0.0,bot,28.0
0,1.7689591345229234,9642.4013671875,75.3161849975586,-352.941162109375,eta_4,0,3.057639830066546,9642.4013671875,75.3161849975586,-352.941162109375,eta_3_bot,0,0.2187399813343738,1.833223024677752,9642.4013671875,281.0838317871094,-352.941162109375,eta_y_bot_stresses,8,9536.400000000001,178.20000000000005,0.0,bot,25.0
0,1.7702228400175934,9642.4013671875,281.0838317871094,-352.941162109375,eta_4,0,3.2431522214723607,9642.4013671875,75.3161849975586,-352.941162109375,eta_3_bot,0,0.238790926584527,1.9224966975058562,9642.4013671875,281.0838317871094,-352.941162109375,eta_y_bot_stresses,9,9536.400000000001,178.20000000000005,0.0,bot,24.0
0,1.7747145956512838,9642.4013671875,281.0838317871094,-352.941162109375,eta_4,0,3.428017408395115,9642.4013671875,75.3161849975586,-352.941162109375,eta_3_bot,0,0.25788844598801897,2.0120924352424097,9642.4013671875,281.0838317871094,-352.941162109375,eta_y_bot_stresses,10,9536.400000000001,178.20000000000005,0.0,bot,24.0
0,1.778876519913566,9642.4013671875,281.0838317871094,-352.941162109375,eta_4,0,3.6174531407281054,9642.4013671875,75.3161849975586,-352.941162109375,eta_3_bot,0,0.2771730396006635,2.10425625248263,9642.4013671875,281.0838317871094,-352.941162109375,eta_y_bot_stresses,11,9536.400000000001,178.20000000000005,0.0,bot,23.0
0,1.78280888124907,9642.4013671875,281.0838317871094,-352.941162109375,eta_4,0,3.7320350583699726,9642.4013671875,2226.798583984375,-352.941162109375,eta_3_top,0,0.29646764450194923,2.1552551005714395,9642.4013671875,2438.801513671875,-352.941162109375,eta_y_top_stresses,12,9536.400000000001,178.20000000000005,0.0,bot,23.0
0,1.7864869934091518,9642.4013671875,281.0838317871094,-352.941162109375,eta_4,0,3.827203601430467,9642.4013671875,2226.798583984375,-352.941162109375,eta_3_top,0,0.31538053433331703,2.2016389902357,9642.4013671875,2438.801513671875,-352.941162109375,eta_y_top_stresses,13,9536.400000000001,178.20000000000005,0.0,bot,21.0
0,1.789898093303518,9642.4013671875,281.0838317871094,-352.941162109375,eta_4,0,3.9177273687950414,9642.4013671875,2226.798583984375,-352.941162109375,eta_3_top,0,0.33363554540564816,2.2459743228965494,9642.4013671875,2438.801513671875,-352.941162109375,eta_y_top_stresses,14,9536.400000000001,178.20000000000005,0.0,bot,20.0
